,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,117,117,117,117,117,117,117,117,117,117,117
Regularized.training.gain,2.3429,2.226,2.1579,2.3281,2.1946,2.1096,2.1316,2.2841,2.1527,2.1851,2.2113
Unregularized.training.gain,2.9663,2.605,2.5324,2.8442,2.5593,2.4655,2.6343,2.7365,2.5294,2.59,2.6463
Iterations,2320,2100,1660,2720,2000,2000,2380,2240,1700,2480,2160
Training.AUC,0.9545,0.967,0.964,0.9691,0.9648,0.9646,0.9639,0.9685,0.963,0.9643,0.9644
X.Test.samples,29,29,29,29,29,29,29,29,29,29,29
Test.gain,-2.5764,1.7901,2.1792,1.5539,2.0327,2.1919,2.3709,1.3645,2.1326,2.0119,1.5051
Test.AUC,0.8788,0.9369,0.9569,0.9354,0.9532,0.9513,0.9608,0.9126,0.9588,0.9517,0.9396
AUC.Standard.Deviation,0.0454,0.0174,0.0104,0.0101,0.0083,0.0142,0.0058,0.02,0.006,0.0076,0.0145
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,12.9511,14.3797,9.3268,14.0542,11.995,10.1869,11.2012,8.3306,8.1846,5.4978,10.6108
annual_precipitation.contribution,8.3335,3.7293,5.7538,5.7278,3.8359,4.328,3.751,2.7711,3.6696,3.8485,4.5748
barren_vegetation.contribution,14.3208,20.9078,22.9686,23.3481,24.8244,27.4513,27.5947,28.197,30.5342,30.9333,25.108
closed_shrubland.contribution,0.5905,0.5887,0.7424,0.9083,1.0604,1.1198,1.2971,1.4812,1.3463,1.2724,1.0407
croplands.contribution,15.1314,12.3071,12.5745,11.8326,11.5646,8.8018,9.8992,9.3324,8.6396,8.5826,10.8666
deciduous_broadleaf_forest.contribution,7.2734,5.9625,8.0312,7.0258,7.363,7.7355,8.5373,7.6535,8.0713,8.9561,7.661
deciduous_needleleaf_forest.contribution,0.585,0.2885,0.3863,0.2098,0.2458,0.099,0.167,0.1096,0.1521,0.1334,0.2376
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
