,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,51,51,51,51,51,51,51,51,51,51,51
Regularized.training.gain,3.0968,3.0999,3.1142,3.0203,3.1563,2.9724,3.0774,3.2361,3.0341,3.2274,3.1035
Unregularized.training.gain,3.93,3.7802,3.843,3.7088,3.8243,3.6202,3.8267,3.9404,3.7206,3.9529,3.8147
Iterations,1220,1280,1440,1700,1560,1120,1420,1180,1400,1660,1398
Training.AUC,0.9864,0.9877,0.9871,0.9868,0.9883,0.9865,0.988,0.988,0.9873,0.989,0.9875
X.Test.samples,12,12,12,12,12,12,12,12,12,12,12
Test.gain,2.0178,2.9203,3.0986,3.4451,2.8255,3.5272,3.2474,2.3509,3.4146,2.1477,2.8995
Test.AUC,0.9464,0.9792,0.983,0.9869,0.9741,0.9896,0.9842,0.9686,0.9838,0.9662,0.9762
AUC.Standard.Deviation,0.0257,0.0064,0.0058,0.0039,0.0103,0.0037,0.0043,0.0089,0.0047,0.0082,0.0082
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,2.7549,2.0164,2.1075,2.9945,2.7592,2.8828,3.4162,2.9794,3.7694,3.3255,2.9006
annual_precipitation.contribution,2.0756,3.0978,4.3033,4.1458,2.8307,4.7314,4.0561,5.4284,5.6507,6.9942,4.3314
barren_vegetation.contribution,0,0,0,0.0041,0.0038,0.0039,0.0037,0.0035,0.0112,0.0061,0.0036
closed_shrubland.contribution,0,0,0,0,0.0033,0,0.0018,0.0026,0.0014,0,9e-04
croplands.contribution,8.8195,5.1508,5.175,5.7769,11.0095,4.833,4.3934,9.2333,7.7941,6.9104,6.9096
deciduous_broadleaf_forest.contribution,4.9124,3.8592,4.3994,3.8725,3.9183,4.2083,3.5628,4.5604,3.575,3.6663,4.0535
deciduous_needleleaf_forest.contribution,1.7737,2.1982,1.662,0.6241,0.478,1.2136,0.9815,1.0896,0.7204,0.2083,1.0949
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.2738,0.2944,1.188,0.2933,0.7923,0.6445,0.6608,1.0859,1.9663,1.1236,0.8323
grasslands.contribution,1.7606,2.0118,3.326,4.2317,5.2731,5.1999,6.0759,7.0293,6.7665,7.6956,4.937
mixed_forests.contribution,48.2665,46.6826,45.8512,46.1152,40.9444,43.8103,42.1033,41.0216,38.739,41.2108,43.4745
open_shrublands.contribution,1.6108,1.9728,2.1541,1.8101,1.8856,1.9068,2.0852,1.0991,1.7428,1.0746,1.7342
precipitation_seasonality.contribution,2.631,2.6335,1.6036,2.5994,1.7109,4.1722,3.5298,2.169,2.2475,2.079,2.5376
savannas.contribution,0.1287,0.2662,0.3059,0.2275,0.2966,0.2179,0.2486,0.239,0.1998,0.1841,0.2314
snow_ice.contribution,0,0,0,0,0,0,0,0,0,0,0
temperature_seasonality.contribution,17.1386,18.6581,18.0655,16.8164,20.1163,16.4597,19.7332,17.0383,21.1961,17.9752,18.3197
urban_areas.contribution,5.8997,9.2858,7.9791,8.3011,6.0962,7.7271,7.4204,5.6957,3.4595,5.5766,6.7441
wetlands.contribution,1.4538,1.7998,1.6655,1.9353,1.5402,1.8456,1.5136,1.0899,1.6544,1.4581,1.5956
woody_savannas.contribution,0.5004,0.0725,0.214,0.252,0.3417,0.1431,0.2138,0.235,0.5059,0.5117,0.299
annual_mean_temperature.permutation.importance,24.0703,36.0027,33.1878,46.3994,44.0126,49.4353,39.4544,24.406,28.3485,40.5954,36.5912
annual_precipitation.permutation.importance,9.0446,9.599,10.1932,8.5635,5.092,6.8779,8.1867,10.1198,10.7494,12.0918,9.0518
barren_vegetation.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
closed_shrubland.permutation.importance,0,0,0,0,0,0,0.0012,0,0,0,1e-04
croplands.permutation.importance,5.8662,3.6602,3.993,2.7599,5.874,3.5634,3.0102,6.401,4.6909,2.1653,4.1984
deciduous_broadleaf_forest.permutation.importance,1.4274,1.1129,1.8417,1.2853,1.2411,1.1305,0.8327,1.7732,1.1045,0.9027,1.2652
