,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,108,108,108,108,108,108,108,108,108,108,108
Regularized.training.gain,2.834,2.912,2.88,2.7227,3.0068,2.7742,2.8746,2.8808,2.9762,2.8755,2.8737
Unregularized.training.gain,3.496,3.5922,3.5846,3.3965,3.7926,3.3946,3.4812,3.6312,3.7604,3.5966,3.5726
Iterations,2480,3860,4100,2720,3620,2600,3700,3320,3740,2540,3268
Training.AUC,0.9788,0.9822,0.9814,0.9778,0.9842,0.9782,0.9804,0.9786,0.983,0.9792,0.9804
X.Test.samples,26,26,26,26,26,26,26,26,26,26,26
Test.gain,2.783,2.6601,2.7738,3.1383,1.7283,3.1428,2.6727,2.458,2.3341,2.6996,2.6391
Test.AUC,0.9735,0.9609,0.9639,0.9766,0.9316,0.9797,0.9654,0.9645,0.9552,0.9767,0.9648
AUC.Standard.Deviation,0.0069,0.0152,0.0164,0.0079,0.0229,0.0086,0.013,0.0084,0.0204,0.0051,0.0125
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,7.4957,5.6429,5.1093,3.9957,3.8003,3.5581,3.68,3.864,3.5841,3.6417,4.4372
annual_precipitation.contribution,17.4327,15.45,7.935,11.6852,7.172,5.0615,5.796,7.4139,4.0423,4.35,8.6339
barren_vegetation.contribution,9.1168,5.082,7.4573,4.1179,5.3142,6.3041,6.8395,5.3963,6.557,8.3393,6.4524
closed_shrubland.contribution,0.5268,0.2029,0.3194,0.3488,0.2216,0.4368,0.4557,0.4757,0.433,0.4252,0.3846
croplands.contribution,4.0045,6.6306,6.4765,6.9349,7.1429,7.347,7.3651,7.236,7.9274,7.561,6.8626
deciduous_broadleaf_forest.contribution,0.5967,0.6868,0.5777,0.5222,0.5373,0.7051,0.5309,0.7774,0.7014,0.5522,0.6188
deciduous_needleleaf_forest.contribution,0.2595,0.0642,0.2206,0.0467,0.0924,0.0469,0.0253,0.0372,0.0936,0.0213,0.0908
evergreen_broadleaf_forest.contribution,0.166,0.2419,0.121,0.095,0.1694,0.197,0.2091,0.1511,0.2148,0.1672,0.1733
evergreen_needleleaf_forest.contribution,1.4785,1.8138,2.1773,2.0939,2.3908,2.5328,2.2679,2.5369,2.7157,2.7334,2.2741
grasslands.contribution,27.6008,34.8,38.8253,42.0738,44.0826,45.3722,46.3299,45.2063,45.2082,44.4995,41.3999
mixed_forests.contribution,4.7453,5.0255,5.9795,6.2796,6.7884,6.8289,6.8176,7.5724,7.2939,7.281,6.4612
open_shrublands.contribution,3.245,3.1421,4.3219,4.4733,3.6976,3.5172,4.0897,4.1999,4.2655,4.2841,3.9236
precipitation_seasonality.contribution,4.5512,4.1948,3.9845,3.1468,3.2297,2.8927,3.1505,2.8417,2.9835,3.0392,3.4015
savannas.contribution,1.5538,0.8384,0.8631,0.392,0.5418,0.6149,0.3275,0.689,0.4663,0.2937,0.6581
snow_ice.contribution,1.2322,0.929,0.573,0.6087,0.5271,0.419,0.3185,0.4404,0.3813,0.236,0.5665
temperature_seasonality.contribution,11.8443,11.2893,12.0246,9.5871,10.2521,11.0227,9.0193,8.3918,10.4529,9.7869,10.3671
