,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,24,24,24,24,24,24,24,24,24,24,24
Regularized.training.gain,3.8345,3.4289,3.5878,3.7919,3.5938,3.8761,3.5883,3.7075,3.792,3.9114,3.7112
Unregularized.training.gain,4.7089,4.1945,4.5019,4.5951,4.4975,4.6035,4.4734,4.7528,4.7441,5.2517,4.6323
Iterations,600,560,560,540,680,720,600,720,840,860,668
Training.AUC,0.9958,0.9948,0.9958,0.9955,0.9958,0.9964,0.9952,0.9967,0.9967,0.998,0.9961
X.Test.samples,5,5,5,5,5,5,5,5,5,5,5
Test.gain,1.8208,4.802,3.7551,0.9908,3.983,-0.2471,4.1504,3.2448,2.6427,2.0622,2.7205
Test.AUC,0.9249,0.9982,0.9924,0.8979,0.9937,0.8801,0.996,0.9786,0.975,0.9608,0.9598
AUC.Standard.Deviation,0.0611,7e-04,0.0024,0.0835,0.0028,0.0892,0.0011,0.016,0.0156,0.0228,0.0295
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,3.7676,4.1443,5.963,6.4057,7.3177,9.2539,9.9763,10.9307,12.5015,13.3041,8.3565
annual_precipitation.contribution,18.5551,18.3126,16.0654,12.3986,11.2907,10.5304,13.0596,11.2756,9.2315,12.1648,13.2884
barren_vegetation.contribution,1.7161,3.4996,4.0627,3.0056,4.4759,4.4626,4.4907,4.4574,4.5231,4.2888,3.8983
closed_shrubland.contribution,1.1119,0.0929,0.1253,0.9938,0.8471,0.1103,0.9972,1.2073,0.1458,1.2855,0.6917
croplands.contribution,1.1776,1.7108,2.7263,2.518,2.2711,1.8814,2.8831,3.7559,3.2071,2.8706,2.5002
deciduous_broadleaf_forest.contribution,0.0456,0.1506,0.3629,0.4286,0.7976,0.7465,0.8793,1.0134,0.9547,1.0995,0.6479
deciduous_needleleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.5231,0.254,0.9039,0.122,0.282,0.2558,0.4527,0.3546,0.3896,0.5656,0.4103
