,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,161,161,161,161,161,161,161,161,161,161,161
Regularized.training.gain,73.1163,58.2913,18.9874,5.8138,10.1784,166.8956,1464.6288,8.7877,4.3418,2.7636,181.3805
Unregularized.training.gain,155.6141,140.3905,56.3129,22.8833,35.1115,297.5744,2659.5536,30.1373,17.2062,3.3542,341.8138
Iterations,10000,10000,10000,10000,10000,10000,10000,10000,10000,2240,9224
Training.AUC,0.9363,0.9223,0.9269,0.9305,0.9335,0.9131,0.9384,0.9366,0.9458,0.9724,0.9356
X.Test.samples,40,40,40,40,40,40,40,40,40,40,40
Test.gain,177.4055,233.9206,151.3832,67.8134,96.3889,1.4266,-85.9211,79.0333,74.5856,4.6636,80.07
Test.AUC,0.8697,0.9227,0.9211,0.9167,0.9319,0.9266,0.9346,0.9097,0.8808,0.968,0.9182
AUC.Standard.Deviation,0.042,0.0263,0.0333,0.0336,0.0258,0.0263,0.0217,0.0286,0.0456,0.0105,0.0294
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.3081,0.2493,0.1651,0.2972,0.5041,0.0779,2.9041,0.0703,0.0438,0.0612,0.4681
annual_precipitation.contribution,2.8699,2.7712,3.7159,4.096,4.266,2.9729,1.4066,4.6679,4.6771,4.6779,3.6121
barren_vegetation.contribution,6.9022,6.6786,7.5479,7.9364,7.8394,7.8733,2.5095,7.9127,7.9407,7.9461,7.1087
closed_shrubland.contribution,0.0121,0.007,0.0138,0.0154,0.0068,0.0098,0.0123,0.002,0.0022,0.0011,0.0083
croplands.contribution,0.6508,2.1536,2.2655,2.3771,2.512,1.6805,0.8842,2.5674,2.5721,2.5757,2.0239
deciduous_broadleaf_forest.contribution,0.3772,0.2558,0.1649,0.1759,0.2189,0.1166,0.0156,0.0457,0.0462,0.0483,0.1465
deciduous_needleleaf_forest.contribution,0.0269,0.0143,0.0087,0.0031,0.0102,2e-04,0.0028,4e-04,0.0013,4e-04,0.0068
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,13.5709,18.5631,22.3433,23.2906,22.6524,18.5696,7.6298,23.118,23.1761,23.1566,19.607
grasslands.contribution,1.7943,2.7933,3.427,3.4699,3.3714,2.1362,0.981,3.183,3.2031,3.2071,2.7566
mixed_forests.contribution,4.4325,3.8712,4.4533,4.2157,4.1818,2.3221,1.2251,0.9032,0.8127,0.852,2.727
open_shrublands.contribution,1.4598,0.4193,0.1248,0.0807,0.2189,3.0751,0.1232,0.1097,0.1066,0.1043,0.5822
precipitation_seasonality.contribution,0.1328,0.1282,0.1574,0.1224,0.1411,0.0802,0.105,0.0414,0.0481,0.0467,0.1003
savannas.contribution,0.0514,0.0475,0.0292,0.0195,0.0528,0.036,8e-04,0.0076,0.0052,0.0071,0.0257
snow_ice.contribution,58.5191,51.8022,42.8122,40.5043,40.9077,50.4838,76.7345,41.7398,41.7101,41.6631,48.6877
temperature_seasonality.contribution,0.8334,0.7795,0.7879,0.7888,0.7709,0.4009,0.0784,0.1514,0.1441,0.1438,0.4879
urban_areas.contribution,0.9555,2.0377,2.4597,2.5333,2.4915,2.1386,0.418,1.3743,1.3807,1.3811,1.717
wetlands.contribution,0.2812,0.1223,0.3001,0.253,0.3224,1.2463,0.7862,0.3837,0.3832,0.3843,0.4463
woody_savannas.contribution,6.8217,7.3059,9.2232,9.8207,9.5315,6.7799,4.1829,13.7215,13.7467,13.7432,9.4877
annual_mean_temperature.permutation.importance,16.2886,30.7024,27.6937,23.4672,38.0203,24.8893,8.2214,11.2921,27.8271,33.2401,24.1642
annual_precipitation.permutation.importance,3.9648,2.8291,3.0665,3.3292,5.5545,3.9995,1.599,1.6634,6.4162,4.144,3.6566
barren_vegetation.permutation.importance,42.2624,40.3181,41.2588,51.9695,35.2763,38.4374,23.5508,20.6118,41.288,41.8408,37.6814
closed_shrubland.permutation.importance,0.1484,0.0025,0.0441,0.1228,0.0019,0.0912,0.0485,0.0352,0.0242,0.014,0.0533
croplands.permutation.importance,4.5972,3.2987,2.1794,1.4249,3.865,3.1108,1.339,3.7892,0.6095,3.1719,2.7386
deciduous_broadleaf_forest.permutation.importance,0.7028,0.7527,1.102,0.6802,0.4069,1.6496,0.3284,0.52,0.2698,0.5213,0.6934
deciduous_needleleaf_forest.permutation.importance,0,0.0155,0.0124,0,0.0191,0.0201,0.0129,0.0072,0.0138,0.0058,0.0107
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,6.0791,1.5304,5.3471,3.052,2.1393,5.1699,2.1068,2.7907,4.9112,0.9501,3.4077
grasslands.permutation.importance,0.4508,1.2245,0.5393,0.4648,0.9195,2.2931,2.8173,1.0123,0.8878,0.5597,1.1169
mixed_forests.permutation.importance,2.4684,1.6307,3.7167,2.1335,0.6068,5.5327,51.1639,51.129,1.1087,1.1102,12.0601
open_shrublands.permutation.importance,5.296,1.3947,0,0.464,1.5824,0.1375,0.3041,1.3582,0.2726,1.3117,1.2121
precipitation_seasonality.permutation.importance,4.7648,3.8256,2.4277,0.9833,2.1114,1.4362,2.156,0.9784,2.8606,2.2184,2.3762
savannas.permutation.importance,0.1508,0.523,0.1468,0.0315,0.4956,0.0061,0.0999,0.1693,0.156,0.3771,0.2156
snow_ice.permutation.importance,0,0,0,0,0,0,0,0,0.3282,0,0.0328
temperature_seasonality.permutation.importance,7.8555,8.8855,7.3292,9.722,6.2055,7.9488,4.7201,3.8949,7.7296,8.6774,7.2969
urban_areas.permutation.importance,0.2085,0,0,0,0.0445,0,0.0484,0.0127,0.1551,0.0907,0.056
wetlands.permutation.importance,0.739,0.3254,0.2583,0.186,0.999,0.2515,0.1226,0.1619,1.1169,0.2057,0.4366
woody_savannas.permutation.importance,4.0229,2.7411,4.878,1.969,1.7521,5.0265,1.3609,0.5737,4.0248,1.5613,2.791
Training.gain.without.annual_mean_temperature,57.627,38.3783,19.5887,4.542,8.4184,128.9623,150.4267,10.7567,4.0776,2.6042,42.5382
Training.gain.without.annual_precipitation,56.128,42.964,9.1503,2.7893,4.171,404.7495,1201.7565,3.0512,2.7749,2.7292,173.0264
Training.gain.without.barren_vegetation,2.8583,2.8893,2.8036,2.8326,2.9147,5.0037,7.0115,2.9397,2.7188,2.6976,3.467
Training.gain.without.closed_shrubland,55.9748,80.5478,21.2606,4.7896,8.9994,264.0336,431.3066,8.9281,4.2095,2.7627,88.2813
Training.gain.without.croplands,57.7262,52.8563,17.3575,5.4131,3.4017,232.7332,332.2613,5.7867,3.95,2.6865,71.4172
Training.gain.without.deciduous_broadleaf_forest,54.7354,51.2665,25.762,5.3263,9.2908,201172.6213,404.5216,8.7447,5.2051,2.7296,20174.0203
Training.gain.without.deciduous_needleleaf_forest,86.8047,93.1967,25.1525,4.8769,12.7699,219.3105,296.1676,9.6521,4.0593,2.7611,75.4751
Training.gain.without.evergreen_broadleaf_forest,47.5998,88.9814,21.4413,5.2011,8.899,356.1676,416.176,9.7447,4.3505,2.7638,96.1325
Training.gain.without.evergreen_needleleaf_forest,2.8121,2.7979,2.7362,2.7782,2.8618,3.2736,4.4711,2.8992,2.6752,2.6661,2.9971
Training.gain.without.grasslands,73.7531,55.3307,24.1216,4.6985,10.2429,134.7266,153.6115,12.0211,4.1815,2.7173,47.5405
Training.gain.without.mixed_forests,167.2487,79.6144,23.6771,4.7524,9.137,231.0798,393.0441,10.0856,4.9706,2.7242,92.6334
Training.gain.without.open_shrublands,75.0404,103.3525,19.4262,5.298,8.532,4078848.6029,184.8809,8.7345,4.0959,2.7491,407926.0712
Training.gain.without.precipitation_seasonality,199.3901,56.7261,19.7825,5.1053,12.4942,168.4366,199.0153,9.8838,4.3471,2.7221,67.7903
Training.gain.without.savannas,60.8319,53.5872,18.6004,5.1279,9.2051,134.6109,197.071,13.2489,4.6015,2.7372,49.9622
Training.gain.without.snow_ice,2.7919,2.7875,2.7304,2.7531,2.8266,2.8481,2.7403,2.8325,2.6709,2.6642,2.7645
Training.gain.without.temperature_seasonality,60.8349,115.819,19.324,4.9325,11.5,210.5981,13688.3194,8.3448,3.9714,2.6329,1412.6277
Training.gain.without.urban_areas,41.6049,18.3772,16.7679,4.8883,6.0916,90.8284,128.7189,9.5039,2.8884,2.7556,32.2425
Training.gain.without.wetlands,46.3433,294.6289,25.1082,4.7334,8.5346,292.5835,317.6375,9.4563,4.2045,2.7528,100.5983
Training.gain.without.woody_savannas,19.8599,35.6627,3.1548,2.7123,3.0416,323.3052,154.8047,2.9208,2.7106,2.6818,55.0854
Training.gain.with.only.annual_mean_temperature,0.98,0.9912,0.9876,1.0173,1.0428,0.9455,0.9942,0.9783,1.0193,1.0238,0.998
Training.gain.with.only.annual_precipitation,1.2725,1.2721,1.2739,1.2808,1.3084,1.3216,1.2345,1.2962,1.2343,1.1777,1.2672
Training.gain.with.only.barren_vegetation,0.4397,0.4397,0.4397,0.4452,0.4359,0.4359,0.4359,0.4568,0.4397,0.4568,0.4425
Training.gain.with.only.closed_shrubland,0.0105,0.0044,0.0044,0.0105,0.0044,0.0105,0.0044,0.0044,0.0044,0.0044,0.0062
Training.gain.with.only.croplands,0.4971,0.5886,0.519,0.4541,0.5393,0.499,0.5076,0.5095,0.5212,0.5232,0.5159
Training.gain.with.only.deciduous_broadleaf_forest,0.052,0.0528,0.0663,0.0397,0.0672,0.0355,0.0666,0.0569,0.0426,0.0385,0.0518
Training.gain.with.only.deciduous_needleleaf_forest,0.0047,0.0142,0.0127,0.0043,0.009,0.009,0.009,0.0047,0.0142,0.0068,0.0089
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.8974,0.9097,1.0267,0.9277,0.9897,0.9754,1.0122,0.9541,1.0516,0.9304,0.9675
Training.gain.with.only.grasslands,0.3787,0.4312,0.4538,0.3623,0.3961,0.4108,0.3845,0.4023,0.4115,0.3489,0.398
Training.gain.with.only.mixed_forests,1.3081,1.3802,1.3779,1.3069,1.3303,1.3648,1.3678,1.3812,1.3194,1.3149,1.3451
Training.gain.with.only.open_shrublands,0.1169,0.1212,0.0872,0.0994,0.1109,0.0945,0.092,0.0978,0.0957,0.1168,0.1032
Training.gain.with.only.precipitation_seasonality,0.7665,0.7868,0.7284,0.7408,0.7429,0.7385,0.7421,0.7399,0.7353,0.7729,0.7494
Training.gain.with.only.savannas,0.0353,0.0407,0.0242,0.0242,0.0407,0.0242,0.0242,0.0275,0.0242,0.0353,0.0301
Training.gain.with.only.snow_ice,0.0316,0.0262,0.0337,0.025,0.0333,0.0635,0.0387,0.0316,0.0212,0.0206,0.0325
Training.gain.with.only.temperature_seasonality,0.5728,0.5431,0.5168,0.5383,0.5482,0.5719,0.5344,0.5693,0.4973,0.5062,0.5398
Training.gain.with.only.urban_areas,0.024,0.0444,0.032,0.0124,0.0181,0.0414,0.0323,0.0254,0.0308,0.0429,0.0304
Training.gain.with.only.wetlands,0.0554,0.0496,0.053,0.0523,0.0433,0.0486,0.046,0.0495,0.049,0.0603,0.0507
Training.gain.with.only.woody_savannas,0.2931,0.3003,0.3852,0.3627,0.3581,0.3388,0.3026,0.2517,0.3092,0.2867,0.3188
Test.gain.without.annual_mean_temperature,128.7577,152.2537,161.0215,44.5593,80.9309,1.6885,-36.3118,97.7296,68.1734,4.6799,70.3483
Test.gain.without.annual_precipitation,195.764,162.9903,105.228,4.0103,47.276,2.0296,-492.554,10.777,5.6052,3.9707,4.5097
Test.gain.without.barren_vegetation,2.6339,2.3276,2.9149,2.8124,2.2444,2.31,-0.5301,2.1406,3.0409,3.0672,2.2962
