,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,450,450,450,450,450,450,450,450,450,450,450
Regularized.training.gain,3.0647,3.0598,3.074,2.9826,3.0062,3.0369,3.0184,3.0305,3.0189,2.9935,3.0286
Unregularized.training.gain,3.4188,3.3707,3.4143,3.3211,3.3446,3.4217,3.3865,3.4044,3.3585,3.3416,3.3782
Iterations,3500,2900,2900,2780,3320,4040,3560,3560,2900,2840,3230
Training.AUC,0.9813,0.982,0.9815,0.9797,0.9811,0.9804,0.9797,0.9807,0.9805,0.9794,0.9806
X.Test.samples,112,112,112,112,112,112,112,112,112,112,112
Test.gain,2.9025,2.8455,2.9224,3.2636,3.1674,3.0809,3.1729,3.1028,3.1443,3.2161,3.0818
Test.AUC,0.9724,0.9694,0.9751,0.9816,0.9789,0.9801,0.9811,0.9777,0.9795,0.9808,0.9777
AUC.Standard.Deviation,0.0042,0.0054,0.0037,0.0032,0.0036,0.0031,0.0025,0.0037,0.0031,0.0032,0.0036
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,12.4796,12.7507,11.3702,8.599,10.5526,7.5267,9.7975,12.0613,9.0514,8.2062,10.2395
annual_precipitation.contribution,33.8318,40.675,36.8931,35.1492,31.8543,34.2703,28.1792,33.8634,28.1849,29.3173,33.2219
barren_vegetation.contribution,0.4753,0.5406,0.6361,0.6865,0.5875,0.6094,1.9066,1.7307,3.0333,2.9081,1.3114
closed_shrubland.contribution,0.3148,0.3386,0.3095,0.2392,0.3782,0.5279,0.2701,0.2609,0.2238,0.1891,0.3052
croplands.contribution,0.3261,1.9448,1.1058,1.1342,2.0596,2.3151,2.2937,2.1644,2.7127,2.9451,1.9002
deciduous_broadleaf_forest.contribution,0.2499,0.5557,0.4584,0.5724,0.7141,0.7011,0.8777,0.8234,0.8828,0.9486,0.6784
deciduous_needleleaf_forest.contribution,0.0082,0.0035,0,0.0089,0.0059,0.0083,0.0086,0.02,4e-04,0.0139,0.0078
evergreen_broadleaf_forest.contribution,0.0944,0.0666,0.0655,0.0552,0.1002,0.0492,0.0649,0.049,0.0456,0.0252,0.0616
evergreen_needleleaf_forest.contribution,13.2965,13.8345,14.6184,14.2091,13.0936,15.2612,13.9025,13.0262,13.5836,12.6028,13.7428
grasslands.contribution,2.1262,3.8783,3.8031,3.3249,3.8715,3.6642,3.6278,3.1088,3.5183,3.2507,3.4174
mixed_forests.contribution,5.3775,1.8061,4.9063,6.6484,3.3804,3.8418,6.2745,4.0531,6.4289,6.9387,4.9656
open_shrublands.contribution,6.0311,4.073,5.5154,5.9154,6.5172,7.048,6.7861,6.0989,7.0873,6.4318,6.1504
precipitation_seasonality.contribution,1.1242,2.0007,2.5863,2.7705,2.8093,3.6201,4.133,4.1462,3.933,3.8804,3.1004
savannas.contribution,0.2951,0.1873,0.4736,0.7697,0.7673,0.8804,0.9848,1.0034,1.094,1.1832,0.7639
snow_ice.contribution,0.3798,0.4095,0.3557,0.4428,0.4853,0.4986,0.621,0.844,0.5586,0.6579,0.5253
temperature_seasonality.contribution,20.7321,14.1794,14.0888,15.2255,19.6181,14.4422,16.074,13.3598,15.4728,16.181,15.9374
urban_areas.contribution,0.2608,0.2331,0.209,0.2009,0.2432,0.4563,0.1979,0.2761,0.3225,0.2271,0.2627
wetlands.contribution,1.3615,1.3064,1.2685,2.3528,0.8736,2.1293,2.0223,1.0316,1.621,1.6188,1.5586
woody_savannas.contribution,1.2349,1.2162,1.3364,1.6954,2.0881,2.15,1.9777,2.0789,2.2452,2.4743,1.8497
annual_mean_temperature.permutation.importance,34.1811,36.5501,26.9606,28.5308,38.6448,31.1346,32.296,37.1042,33.3627,32.405,33.117
