,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,184,184,184,184,184,184,184,184,184,184,184
Regularized.training.gain,55.4563,18.5267,3.2655,21.1078,21.4393,12.0577,3.2132,27.32,19.3136,3.2379,18.4938
Unregularized.training.gain,238.5887,90.6213,3.6828,103.9559,110.2491,62.944,3.5895,142.3098,80.486,3.6495,84.0077
Iterations,10000,10000,2140,10000,10000,10000,1940,10000,10000,2180,7626
Training.AUC,0.9843,0.9828,0.9881,0.9827,0.9818,0.9828,0.9878,0.9803,0.9813,0.9884,0.984
X.Test.samples,45,45,45,45,45,45,45,45,45,45,45
Test.gain,-103.5327,2.686,3.2976,-0.6089,3.367,10.4922,3.4955,3.331,-36.5012,3.3671,-11.0606
Test.AUC,0.9666,0.9795,0.982,0.972,0.9852,0.976,0.9865,0.987,0.9583,0.9838,0.9777
AUC.Standard.Deviation,0.0142,0.0034,0.0038,0.0061,0.0025,0.0055,0.0022,0.0018,0.0144,0.0027,0.0057
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.7556,1.1746,1.2589,0.4247,0.9064,0.3817,0.6053,0.644,0.3775,0.6887,0.7217
annual_precipitation.contribution,0.0046,0.0046,0.0955,0.2877,0.321,0.35,0.3465,0.2621,0.2578,0.2732,0.2203
barren_vegetation.contribution,26.3662,7.8578,0.3842,7.7313,6.8705,3.3555,0.8483,7.4578,4.2985,0.7698,6.594
closed_shrubland.contribution,5e-04,0.0103,0.0052,0.0083,0.0021,0.0061,0.0077,0.0072,0.0135,0.001,0.0062
croplands.contribution,15.8121,18.3656,18.6889,17.7176,19.0173,17.7112,18.2664,16.199,18.6222,18.6534,17.9054
deciduous_broadleaf_forest.contribution,0.0256,0.0382,0.0102,0.0587,0.0082,0.0159,0.0104,0.014,0.0066,0.0038,0.0192
deciduous_needleleaf_forest.contribution,2.5615,3.6062,4.2986,3.1553,3.3902,3.7956,3.7854,3.3056,3.4151,3.6651,3.4979
evergreen_broadleaf_forest.contribution,0,0,0,0.013,0,0,0,0,0,0,0.0013
evergreen_needleleaf_forest.contribution,0.8013,1.4166,1.6713,1.308,1.3907,1.8716,1.9332,1.5843,1.7536,1.6133,1.5344
grasslands.contribution,0.9166,0.7765,0.4377,0.689,0.7024,0.6906,0.3846,0.8328,1.2482,0.3969,0.7075
mixed_forests.contribution,1.5365,1.6351,1.4428,1.7154,1.7572,1.9376,2.055,1.7492,2.3605,2.2641,1.8453
open_shrublands.contribution,0.0492,0.1341,0.1461,0.281,0.169,0.2559,0.2497,0.2095,0.2519,0.2774,0.2024
precipitation_seasonality.contribution,0.0376,0.1,0.1003,0.1968,0.144,0.1115,0.1132,0.0801,0.0781,0.0929,0.1055
savannas.contribution,0.1927,0.5322,0.5701,0.6065,0.7045,0.8906,0.9551,0.9062,0.9731,1.0681,0.7399
