,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,988,988,988,988,988,988,988,988,988,988,988
Regularized.training.gain,2.8282,2.8026,2.7924,2.7382,2.7443,3.6223,2.7984,2.7355,2.8,2.7965,2.8658
Unregularized.training.gain,4.9653,3.1149,3.1195,3.0409,3.042,19.5526,3.1198,3.0335,3.187,3.1349,4.931
Iterations,6560,2120,2760,2720,2260,10000,2900,2660,2180,2240,3640
Training.AUC,0.9648,0.9683,0.9666,0.9664,0.9656,0.9583,0.9664,0.9657,0.9675,0.9653,0.9655
X.Test.samples,246,246,246,246,246,246,246,246,246,246,246
Test.gain,3.2941,2.8122,2.907,3.1163,3.0863,2.3538,2.844,3.1066,2.8799,2.8931,2.9293
Test.AUC,0.9607,0.9557,0.9617,0.9655,0.9665,0.9596,0.962,0.9675,0.96,0.9654,0.9625
AUC.Standard.Deviation,0.0046,0.0051,0.0049,0.0038,0.0039,0.0062,0.004,0.0035,0.0048,0.0036,0.0044
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,8.1066,11.5674,9.5181,9.0203,8.1062,6.2309,6.5663,6.5609,5.6562,5.256,7.6589
annual_precipitation.contribution,9.543,7.8456,7.8733,8.7332,9.0731,21.5387,8.5017,7.898,8.7719,8.1356,9.7914
barren_vegetation.contribution,0.0078,0.0021,0.0418,0.0545,0.0396,0.0142,0.0116,0.5151,0.5233,0.4913,0.1701
closed_shrubland.contribution,0.0042,2e-04,0.0088,0.0049,0.0042,0.1296,0.0033,0.0031,0.1062,0.0112,0.0276
croplands.contribution,4.025,4.6491,4.4364,4.6608,5.1462,4.3132,5.909,4.3701,5.1712,6.416,4.9097
deciduous_broadleaf_forest.contribution,2.1357,1.6214,1.1258,1.078,1.2885,0.9841,1.0216,1.2819,1.4362,1.1106,1.3084
deciduous_needleleaf_forest.contribution,0.0974,0.1016,0.1547,0.0924,0.0576,0.0922,0.0428,0.013,0.1262,0.1073,0.0885
evergreen_broadleaf_forest.contribution,0.3012,0.3304,0.363,0.3933,0.4388,0.3522,0.3022,0.2089,0.2008,0.206,0.3097
evergreen_needleleaf_forest.contribution,1.1268,1.9778,2.6999,2.6483,3.1709,3.1269,3.7394,3.8564,4.5844,4.3781,3.1309
grasslands.contribution,3.9421,3.191,2.9907,3.5083,3.8693,3.6422,4.3057,4.7003,5.4535,5.9351,4.1538
mixed_forests.contribution,21.8382,20.3472,20.061,19.2168,17.8547,14.9179,16.9226,18.2432,16.3554,16.3019,18.2059
open_shrublands.contribution,0.5981,0.8848,1.1324,0.7879,0.9492,2.6114,1.2887,1.5617,1.3174,1.2023,1.2334
precipitation_seasonality.contribution,9.5063,2.9797,4.4383,5.5334,6.324,5.2689,6.894,7.4596,12.8206,12.8401,7.4065
savannas.contribution,0.0659,0.1241,0.0129,0.0371,0.0749,0.1231,0.0158,0.0531,0.0705,0.0291,0.0606
snow_ice.contribution,0.1884,0.1791,0.2049,0.2379,0.1693,0.1827,0.2315,0.1362,0.2141,0.2173,0.1961
temperature_seasonality.contribution,33.3794,37.6669,37.7208,36.8226,35.7179,29.0087,33.8437,33.8031,28.4804,28.3686,33.4812
urban_areas.contribution,4.0813,5.4978,6.016,5.2297,6.4855,5.9207,8.5678,7.579,7.3729,7.3632,6.4114
