,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,382,382,382,382,382,382,382,382,382,382,382
Regularized.training.gain,300.385,567652.3,81810.89,69689490000,89967.82,148.2882,171.0424,744785,5485958,241345.1,6969670000
Unregularized.training.gain,447.034,1186618,183062.5,141634100000,178350.5,267.3978,345.7593,1597939,10990530,507104.4,14164880000
Iterations,10000,3040,2580,540,700,10000,10000,760,720,660,3900
Training.AUC,0.9287,0.5118,0.5072,0.513,0.5034,0.9382,0.9315,0.527,0.5405,0.5077,0.6409
X.Test.samples,95,95,95,95,95,95,95,95,95,95,95
Test.gain,-160.9705,-96492.91,28720.55,288325200,-5275.556,218.9662,443.5306,592573.6,-239905.1,-44552.64,28856080
Test.AUC,0.9294,0.5104,0.5033,0.5052,0.4889,0.935,0.9303,0.5206,0.5368,0.4998,0.636
AUC.Standard.Deviation,0.0198,0.0089,0.0053,0.0052,0.0161,0.0189,0.0193,0.0103,0.0134,1e-04,0.0117
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.2826,1e-04,0.0021,0,4e-04,0.1658,0.0242,0.0125,0.0297,2e-04,0.0518
annual_precipitation.contribution,0.2809,31.7177,18.8473,100,44.31,52.217,52.2047,97.566,22.948,46.4308,46.6522
barren_vegetation.contribution,10.6528,0.0015,0.0102,0,0.009,0.4502,0.5202,0.2529,0.0032,2.2943,1.4194
closed_shrubland.contribution,0.0989,0,1e-04,0,0,0.0077,0.0036,0,0,0,0.011
croplands.contribution,1.1353,0.0027,0.0011,0,0.0712,0.0365,0.0595,0.0144,0.0029,1.043,0.2367
deciduous_broadleaf_forest.contribution,0.7182,4e-04,0.0032,0,0.0023,0.0922,0.1103,0.0071,0.0235,0.0964,0.1054
deciduous_needleleaf_forest.contribution,0.0082,0,1e-04,0,0,0.0077,0.0047,0,0.0129,0.0072,0.0041
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,1.5725,0.0015,0.0103,0,0.0052,0.1798,0.2614,0.2558,0.1639,0.1441,0.2595
grasslands.contribution,0.7584,0.2745,1.7799,0,1.6128,41.5086,40.7715,0.5381,6.4625,2.4634,9.617
mixed_forests.contribution,1.0163,67.967,78.8907,0,53.7949,0.1273,0.1224,0.1202,55.7924,34.2909,29.2122
open_shrublands.contribution,0.6047,0.0195,0.0355,0,0.0499,0.4661,0.4725,0.4809,0.8911,3.3118,0.6332
precipitation_seasonality.contribution,1.0359,1e-04,5e-04,0,4e-04,0.0288,0.0756,0.0301,0.8427,0.1081,0.2122
savannas.contribution,1.3557,7e-04,0.0083,0,0.0033,0.1068,0.1366,0.018,0.008,0.0016,0.1639
snow_ice.contribution,71.2962,0.0074,0.1208,0,0.0474,3.535,3.8503,0.3366,4.3611,6.2029,8.9758
temperature_seasonality.contribution,0.2984,2e-04,0.0035,0,0.0127,0.0278,0.0285,0.0533,0.0552,5e-04,0.048
urban_areas.contribution,0.1447,0,3e-04,0,2e-04,0.0128,0.0085,0,0,1e-04,0.0167
wetlands.contribution,0.0797,0.0015,0.0014,0,0.026,0.0274,0.017,0,0.1547,0.0634,0.0371
woody_savannas.contribution,8.6606,0.0053,0.2848,0,0.0543,1.0026,1.3285,0.3142,8.2482,3.5412,2.344
annual_mean_temperature.permutation.importance,20.5918,0,0,0,0,9.453,8.9413,5.5989,3.1797,0,4.7765
annual_precipitation.permutation.importance,12.5981,49.3262,46.4129,100,0,27.0336,25.1295,11.8657,17.003,0,28.9369
barren_vegetation.permutation.importance,27.3657,24.3812,8.8757,0,17.9459,26.2259,25.7241,10.3887,7.7604,61.5385,21.0206
closed_shrubland.permutation.importance,0.0112,0,0,0,0.0101,0.0166,0.0329,0,0,0,0.0071
croplands.permutation.importance,1.1069,0,0,0,27.8789,1.8382,2.0821,15.5859,5.0748,2.5641,5.6131
deciduous_broadleaf_forest.permutation.importance,0,0,17.4124,0,0,0.0441,0.067,0,0,0,1.7524
deciduous_needleleaf_forest.permutation.importance,0.0501,0,0,0,0,0.0012,0.0224,0,0,0,0.0074
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
