,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,138,138,138,138,138,138,138,138,138,138,138
Regularized.training.gain,3.247,2.9212,3.0116,3.0665,3.0472,3.0684,3.101,3.0681,3.0073,2.9353,3.0474
Unregularized.training.gain,3.9918,3.5533,3.674,4.1702,3.6893,3.5999,3.7483,3.7495,3.7408,3.6136,3.7531
Iterations,4880,2780,3740,3620,4220,2960,3680,3380,3380,3200,3584
Training.AUC,0.9864,0.9775,0.98,0.9751,0.9837,0.9832,0.981,0.9823,0.9817,0.9798,0.9811
X.Test.samples,34,34,34,34,34,34,34,34,34,34,34
Test.gain,2.0409,3.4854,3.1195,2.1672,1.8358,2.5149,2.8084,2.9506,3.0576,3.4117,2.7392
Test.AUC,0.9473,0.9868,0.977,0.9419,0.9349,0.9557,0.9671,0.971,0.9725,0.9788,0.9633
AUC.Standard.Deviation,0.0188,0.0033,0.0096,0.0185,0.0242,0.0163,0.0118,0.0126,0.0113,0.0117,0.0138
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,9.9287,6.1977,7.2957,4.5766,5.3479,5.9485,5.0744,4.671,4.2106,4.6128,5.7864
annual_precipitation.contribution,4.9068,8.0664,5.3032,10.6426,5.3714,4.4368,7.5079,3.4744,2.7347,5.0038,5.7448
barren_vegetation.contribution,11.9427,12.6831,10.7345,6.9486,9.2995,7.7239,6.5103,8.1991,7.8727,8.6578,9.0572
closed_shrubland.contribution,1.4126,1.8878,1.248,1.9555,1.5717,1.5448,1.7278,1.8525,2.414,2.172,1.7787
croplands.contribution,5.7511,6.2409,7.407,6.3554,7.5805,8.6683,8.4313,8.0781,8.7984,8.7209,7.6032
deciduous_broadleaf_forest.contribution,0.5178,0.4947,0.4961,0.3715,0.529,0.6112,0.4847,0.3923,0.4355,0.4164,0.4749
deciduous_needleleaf_forest.contribution,0,0.0026,0.0539,0.0383,0.0629,0.0481,0.0236,0.0207,0.023,0.0197,0.0293
evergreen_broadleaf_forest.contribution,0.1989,0.2898,0.4239,0.3192,0.3945,0.345,0.391,0.4099,0.3743,0.4303,0.3577
evergreen_needleleaf_forest.contribution,0.4731,0.8673,0.6514,1.0864,1.1852,1.3223,1.3078,1.52,1.6512,1.5279,1.1593
grasslands.contribution,29.1982,36.5267,39.4347,43.6149,44.4207,44.7737,44.2861,44.6083,43.9039,43.229,41.3996
mixed_forests.contribution,3.3142,3.0275,3.9312,3.2872,3.7431,4.0779,4.0416,4.7447,4.9443,4.7313,3.9843
open_shrublands.contribution,2.9794,3.0425,3.1105,3.1425,3.2386,3.4945,3.1851,3.4971,3.5207,3.6279,3.2839
precipitation_seasonality.contribution,5.5553,4.0316,3.8223,3.4001,2.888,2.5968,3.194,3.3232,3.3973,2.68,3.4889
savannas.contribution,0.5096,0.5763,0.4679,0.4221,0.5369,0.2657,0.2789,0.3862,0.3607,0.3578,0.4162
snow_ice.contribution,1.0012,0.7562,0.6919,0.6661,0.4851,0.4268,0.4872,0.3199,0.3309,0.2704,0.5436
