,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,96,96,96,96,96,96,96,96,96,96,96
Regularized.training.gain,4.1093,37048.6266,4883.8322,848.1943,4.2162,4.1583,4.0888,664.8508,7713.5479,4.081,5117.9705
Unregularized.training.gain,4.8589,133575.5652,14892.5131,2627.2368,5.1608,4.9175,4.875,2325.891,28228.4476,4.8614,18167.4327
Iterations,3020,1360,10000,7560,3380,4160,2000,10000,10000,3080,5456
Training.AUC,0.9933,0.5726,0.9215,0.9258,0.9928,0.9934,0.993,0.9249,0.9059,0.9929,0.9216
X.Test.samples,24,24,24,24,24,24,24,24,24,24,24
Test.gain,4.4129,-11773.2562,-5439.1695,-648.9852,4.2942,4.1929,4.5914,-140.1613,3.757,4.34,-1797.5984
Test.AUC,0.994,0.6141,0.8587,0.9228,0.9921,0.9927,0.9909,0.9277,0.9882,0.9878,0.9269
AUC.Standard.Deviation,0.0018,0.0499,0.0591,0.0474,0.0028,0.0018,0.0052,0.0432,0.0033,0.0067,0.0221
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,23.2703,0.0025,0.003,0.0043,0.0038,0.0052,0.0049,0.0054,0.0043,0.0044,2.3308
annual_precipitation.contribution,2.8717,5e-04,0.0016,0.002,0.0019,0.0022,0.0024,0.0033,0.0028,0.0028,0.2891
barren_vegetation.contribution,6.3334,0.0944,0.0019,0.0013,0.002,0.0019,0.002,0.0019,0.0015,0.0016,0.6442
closed_shrubland.contribution,0.3955,0.0396,0.0018,7e-04,7e-04,7e-04,7e-04,0.0021,0.0024,0.0022,0.0446
croplands.contribution,4.5382,0.1892,0.0101,0.008,0.0066,0.0065,0.0065,0.0086,0.0073,0.0057,0.4787
deciduous_broadleaf_forest.contribution,0.3067,0,0.0018,0.054,5e-04,5e-04,6e-04,7e-04,7e-04,6e-04,0.0366
deciduous_needleleaf_forest.contribution,0.0186,16.6613,22.9992,25.5815,26.0318,26.0313,26.0309,25.9892,26.5198,26.65,22.2514
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,1.56,0.006,0.0011,9e-04,0.001,0.001,0.0012,0.0015,0.0013,0.0014,0.1575
grasslands.contribution,11.4677,0.0013,0.0107,0.003,0.0029,0.0033,0.0034,0.0036,0.003,0.0031,1.1502
mixed_forests.contribution,0.8906,15.9399,21.4472,23.422,23.8341,23.8337,23.8335,23.8344,23.1299,23.2415,20.3407
open_shrublands.contribution,21.1751,1.2649,0.2269,0.2347,0.2388,0.2387,0.2389,0.2335,0.1813,0.1819,2.4215
precipitation_seasonality.contribution,1.4651,0.5064,9e-04,0.0011,0.0012,0.0013,0.0014,0.0024,0.002,0.0023,0.1984
savannas.contribution,0.4492,15.3668,21.1817,23.4218,23.8341,23.8337,23.8334,23.8466,23.1286,23.2421,20.2138
snow_ice.contribution,4.049,16.7008,23.0058,25.5839,26.0351,26.0341,26.0341,25.9924,26.5225,26.6529,22.6611
