,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053
Regularized.training.gain,2.0322,2.0279,2.0382,2.0234,2.077,2.0533,2.0527,2.0682,2.0545,2.0697,2.0497
Unregularized.training.gain,2.1629,2.1548,2.1635,2.1384,2.2219,2.1826,2.1805,2.1988,2.1919,2.2016,2.1797
Iterations,1800,1720,1660,1560,1700,1700,1660,1460,1460,1460,1618
Training.AUC,0.9504,0.9512,0.9517,0.9507,0.9524,0.9515,0.9518,0.9526,0.9514,0.9525,0.9516
X.Test.samples,513,513,513,513,513,513,513,513,513,513,513
Test.gain,2.1436,2.1627,2.1146,2.1644,1.9734,2.057,2.056,1.9955,2.0362,1.993,2.0696
Test.AUC,0.9527,0.9504,0.9486,0.9514,0.9443,0.9481,0.9463,0.944,0.9474,0.9444,0.9478
AUC.Standard.Deviation,0.0029,0.003,0.0034,0.0031,0.0034,0.0031,0.0031,0.0035,0.003,0.0035,0.0032
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,12.2698,11.3815,9.2202,11.3229,9.8906,10.961,6.9245,7.3197,6.7254,6.9269,9.2942
annual_precipitation.contribution,10.5733,10.5489,10.5064,12.5656,11.961,9.297,11.5972,8.9746,13.0397,12.2995,11.1363
barren_vegetation.contribution,5.1188,4.8729,6.3383,3.5691,3.3491,5.7591,3.9904,7.4892,5.384,5.8344,5.1705
closed_shrubland.contribution,0.0782,0.0087,0.0086,0.0207,0.0773,0.1677,0.0509,0.0129,0.1394,0.0433,0.0608
croplands.contribution,0.4842,0.6328,0.8478,1.0073,1.3552,1.3825,1.496,1.7986,1.8451,1.8271,1.2677
deciduous_broadleaf_forest.contribution,0.8627,1.4941,1.3051,1.212,0.8903,0.9416,0.9517,1.0011,1.092,0.9376,1.0688
deciduous_needleleaf_forest.contribution,0.0011,1e-04,0.0052,8e-04,0.0095,0.0018,1e-04,0.0015,0.0163,2e-04,0.0037
evergreen_broadleaf_forest.contribution,8e-04,0,8e-04,3e-04,9e-04,0,0.0012,0,1e-04,0.0011,5e-04
evergreen_needleleaf_forest.contribution,2.4999,2.9646,2.4272,1.9477,2.8586,2.455,2.8299,2.57,2.6128,2.4969,2.5663
grasslands.contribution,1.6416,1.7196,2.4713,2.3167,2.6943,2.8885,3.0702,3.1821,5.6238,4.9336,3.0542
mixed_forests.contribution,26.9249,26.3944,25.3185,23.8274,23.876,22.4391,22.5724,21.836,22.3748,19.8195,23.5383
open_shrublands.contribution,0.4367,0.369,0.2999,0.5915,0.8268,1.0997,1.1949,1.328,1.3584,1.5799,0.9085
precipitation_seasonality.contribution,2.5542,4.2109,5.6,6.275,6.4266,6.1524,10.5721,9.2193,8.9049,8.3657,6.8281
savannas.contribution,0.2638,0.2555,0.29,0.1511,0.0959,0.2043,0.1583,0.1784,0.1439,0.0862,0.1827
snow_ice.contribution,0.1013,0.1191,0.2284,0.1078,0.1467,0.1656,0.2051,0.1866,0.2188,0.2169,0.1696
temperature_seasonality.contribution,33.1623,31.4418,31.265,30.5785,30.7665,30.6681,28.1384,28.6026,23.8611,27.7672,29.6252
urban_areas.contribution,1.3511,1.7886,2.1731,2.4752,2.6001,2.8251,3.1752,3.1941,3.46,3.4943,2.6537
wetlands.contribution,0.3135,0.3178,0.2909,0.3282,0.357,0.3845,0.4783,0.3197,0.3305,0.3923,0.3513
woody_savannas.contribution,1.3616,1.4797,1.4033,1.702,1.8176,2.2068,2.5932,2.7856,2.8691,2.9775,2.1196
annual_mean_temperature.permutation.importance,29.69,30.6414,27.8967,34.2848,29.7963,34.009,30.4857,26.5341,30.255,28.4901,30.2083
annual_precipitation.permutation.importance,5.9249,7.2059,7.4971,6.0995,7.6921,7.4849,6.8486,7.8418,10.0635,9.6921,7.635
barren_vegetation.permutation.importance,4.0777,3.3262,2.9394,2.4115,3.7569,2.4893,2.0719,3.342,2.9831,3.4343,3.0832
closed_shrubland.permutation.importance,0,0.001,6e-04,0.004,0,0.0062,0.0012,1e-04,0.0157,0.0013,0.003
croplands.permutation.importance,1.1288,1.0118,1.1068,0.6597,1.1266,0.8456,1.0592,1.0604,1.4778,1.0573,1.0534
deciduous_broadleaf_forest.permutation.importance,0.2106,0.389,0.421,0.322,0.2774,0.3945,0.319,0.2938,0.2604,0.3425,0.323
