,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377
Regularized.training.gain,3.0038,3.0939,3.0474,3.0519,3.0059,3.0654,3.0652,3.1313,3.117,3.0635,3.0645
Unregularized.training.gain,3.6049,3.8692,3.6981,3.7748,3.5768,3.692,3.6952,3.8413,3.922,3.6873,3.7362
Iterations,4040,5960,4260,5540,4100,4100,4880,3680,4940,3380,4488
Training.AUC,0.968,0.9641,0.9671,0.9669,0.9683,0.9673,0.9681,0.9671,0.9644,0.9655,0.9667
X.Test.samples,344,344,344,344,344,344,344,344,344,344,344
Test.gain,3.9168,3.7565,3.7777,3.9491,3.8432,3.6789,3.71,3.5373,3.6056,3.6817,3.7457
Test.AUC,0.9675,0.9645,0.9652,0.9661,0.9684,0.9684,0.9657,0.9615,0.9657,0.9701,0.9663
AUC.Standard.Deviation,0.003,0.0029,0.0032,0.003,0.0027,0.0026,0.0029,0.0034,0.0029,0.0023,0.0029
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,10.4477,9.6785,9.7492,9.4624,7.5304,7.315,6.6508,6.4614,6.0966,6.1866,7.9579
annual_precipitation.contribution,21.8857,20.8413,21.8768,21.558,21.8908,20.4766,24.0945,23.8021,29.2889,24.0744,22.9789
barren_vegetation.contribution,2.1784,2.1696,2.7227,3.4503,3.049,4.0302,4.59,5.2732,4.9533,5.1455,3.7562
closed_shrubland.contribution,0.0233,0.0188,0.0367,0.1651,0.0984,0.0352,0.01,0.0228,0.0186,0.0069,0.0436
croplands.contribution,2.5468,3.0687,2.3502,2.434,2.4677,3.9301,4.1541,2.9394,1.9388,2.7378,2.8568
deciduous_broadleaf_forest.contribution,0.79,1.1277,1.037,1.093,1.217,0.7542,0.7708,0.8377,1.0601,0.8142,0.9502
deciduous_needleleaf_forest.contribution,0.0079,0.0137,0.0059,0.0086,0.0059,0.0095,0.0062,0.01,0.0091,0.0067,0.0083
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,10.8231,10.226,9.5449,10.594,9.6064,10.6197,8.601,8.1129,9.491,8.584,9.6203
grasslands.contribution,8.0727,7.1169,7.7797,7.7883,9.1961,8.9567,8.7029,10.9371,9.257,9.268,8.7075
mixed_forests.contribution,4.6389,4.9597,6.2387,5.594,7.8217,6.5306,6.8549,7.4411,6.6693,7.1717,6.3921
open_shrublands.contribution,4.1877,4.2319,5.1423,5.6324,6.3449,5.2871,5.264,5.7332,5.6761,6.4694,5.3969
precipitation_seasonality.contribution,0.8721,1.1773,0.8547,0.9187,2.7158,2.772,2.6561,2.5102,2.5378,2.3291,1.9344
savannas.contribution,0.3335,0.3444,0.3577,0.3272,0.3503,0.2989,0.3822,0.332,0.3676,0.278,0.3372
snow_ice.contribution,0.1538,0.2258,0.302,0.4016,0.4233,0.4574,0.4592,0.5569,0.5705,0.6447,0.4195
temperature_seasonality.contribution,29.3519,30.6441,27.8589,26.3632,22.3446,24.7119,22.2923,20.7086,17.8214,21.7524,24.3849
urban_areas.contribution,0.4876,0.4427,0.732,0.6852,1.0686,0.7562,0.9216,0.9459,0.8831,0.8809,0.7804
wetlands.contribution,0.528,0.7465,0.4317,0.4393,0.5351,0.7313,0.6407,0.3369,0.54,0.4967,0.5426
woody_savannas.contribution,2.6706,2.9665,2.9788,3.0847,3.3339,2.3275,2.9488,3.0387,2.8208,3.153,2.9323
annual_mean_temperature.permutation.importance,37.7954,35.5764,39.508,36.9215,35.1975,35.357,35.2982,35.7984,31.8456,34.3946,35.7693
annual_precipitation.permutation.importance,3.0958,4.2202,4.0125,3.7793,3.24,4.1179,3.8294,2.8222,3.4353,3.3659,3.5918
barren_vegetation.permutation.importance,4.2261,4.5749,4.4199,5.0779,4.4855,5.1213,4.9683,4.2355,4.7773,5.5446,4.7431
closed_shrubland.permutation.importance,0.0062,0.0088,0.0057,0.0082,0.0179,0.0123,0.0048,0.0026,0.0038,0.0072,0.0077
croplands.permutation.importance,2.3806,1.9939,1.436,1.8922,2.4286,1.4979,1.8289,1.9951,2.9318,2.5392,2.0924
deciduous_broadleaf_forest.permutation.importance,0.3503,0.2872,0.3878,0.3398,0.3349,0.3366,0.3317,0.3342,0.2861,0.2751,0.3264
deciduous_needleleaf_forest.permutation.importance,0,0.0046,0,0.0025,0.0036,0.0116,0,0.0146,0.0057,0,0.0043
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,4.1212,4.218,3.6658,3.9753,4.5152,4.2549,3.6459,4.3678,5.0114,4.6549,4.243
grasslands.permutation.importance,5.2855,3.8483,3.9178,3.9416,5.0471,3.9205,4.7054,5.037,5.2917,4.9439,4.5939
mixed_forests.permutation.importance,4.7344,4.322,3.6092,4.3244,4.5223,3.4191,3.9762,4.4569,5.0053,4.7827,4.3152
open_shrublands.permutation.importance,6.6965,6.369,6.4958,6.3735,6.6485,6.5567,6.8977,6.3764,6.5802,6.2419,6.5236
precipitation_seasonality.permutation.importance,4.1236,6.9826,5.4778,6.4795,5.4889,8.2116,6.1874,7.1029,7.6447,5.7893,6.3488
savannas.permutation.importance,0.249,0.2822,0.2741,0.1996,0.2778,0.2795,0.2959,0.3591,0.251,0.2978,0.2766
snow_ice.permutation.importance,0.3226,0.4351,0.322,0.3802,0.319,0.3099,0.4204,0.4055,0.5547,0.5207,0.399
temperature_seasonality.permutation.importance,22.6661,23.4639,23.7291,23.1127,23.4485,23.7414,24.2886,23.3494,22.4255,22.9152,23.314
urban_areas.permutation.importance,0.6577,0.568,0.6223,0.6457,0.7467,0.6742,0.7286,0.7923,0.8282,0.8111,0.7075
wetlands.permutation.importance,0.0843,0.1247,0.1282,0.1108,0.1,0.048,0.1634,0.0599,0.1025,0.1036,0.1025
woody_savannas.permutation.importance,3.2046,2.7201,1.988,2.4352,3.178,2.1295,2.4291,2.4903,3.0191,2.8122,2.6406
Training.gain.without.annual_mean_temperature,2.8493,2.9067,2.882,2.8769,2.8442,2.9231,2.9017,2.9612,2.9331,2.9005,2.8979
Training.gain.without.annual_precipitation,2.842,2.855,2.8564,2.8483,2.8517,2.8736,2.8908,2.9132,2.8923,2.876,2.8699
Training.gain.without.barren_vegetation,2.9831,3.0692,3.0262,3.0255,2.9819,3.043,3.0417,3.1089,3.0858,3.0336,3.0399
Training.gain.without.closed_shrubland,3.0031,3.0909,3.0461,3.0504,3.0041,3.0655,3.0647,3.1325,3.1164,3.0642,3.0638
Training.gain.without.croplands,2.9494,3.0336,2.9978,2.9957,2.9577,3.0257,3.0068,3.0716,3.0381,2.9952,3.0072
Training.gain.without.deciduous_broadleaf_forest,2.9949,3.0789,3.0366,3.042,2.9929,3.0518,3.0565,3.1246,3.1027,3.0531,3.0534
Training.gain.without.deciduous_needleleaf_forest,3.0031,3.0911,3.0455,3.0485,3.0039,3.0639,3.0633,3.1304,3.1142,3.0637,3.0628
Training.gain.without.evergreen_broadleaf_forest,3.0035,3.0935,3.0467,3.0525,3.0057,3.0658,3.0649,3.1332,3.117,3.0642,3.0647
Training.gain.without.evergreen_needleleaf_forest,2.9347,3.0238,2.9847,2.9837,2.9309,2.9933,3.0057,3.0543,3.0131,2.9819,2.9906
Training.gain.without.grasslands,2.9291,3.0208,2.981,2.9866,2.9352,2.9973,2.9936,3.0507,3.0259,2.9857,2.9906
Training.gain.without.mixed_forests,2.8828,2.9402,2.9189,2.918,2.883,2.9507,2.9452,2.9825,2.956,2.8993,2.9277
Training.gain.without.open_shrublands,2.86,2.9181,2.8913,2.9073,2.8524,2.9046,2.9181,2.9565,2.9175,2.8922,2.9018
Training.gain.without.precipitation_seasonality,2.9839,3.054,3.0193,3.0186,2.9815,3.0321,3.0355,3.0965,3.0762,3.0315,3.0329
Training.gain.without.savannas,2.9886,3.0743,3.0327,3.0344,2.9881,3.0503,3.0473,3.1125,3.0954,3.046,3.047
Training.gain.without.snow_ice,2.9775,3.0706,3.0268,3.0317,2.9882,3.0429,3.047,3.1041,3.0808,3.0391,3.0409
Training.gain.without.temperature_seasonality,2.5979,2.6622,2.6477,2.6438,2.5927,2.6797,2.6764,2.7013,2.6633,2.6426,2.6508
Training.gain.without.urban_areas,2.9484,3.0459,2.9955,3.0034,2.9461,3.0221,3.0084,3.0694,3.0519,3.004,3.0095
Training.gain.without.wetlands,3.0002,3.0863,3.0379,3.0408,3.0015,3.0592,3.0561,3.1278,3.1108,3.0576,3.0578
Training.gain.without.woody_savannas,2.9483,3.0326,2.9932,3.0012,2.9532,3.013,3.0119,3.0579,3.039,3.0147,3.0065
Training.gain.with.only.annual_mean_temperature,0.7422,0.7439,0.7449,0.7415,0.7353,0.7405,0.7405,0.7446,0.7363,0.7386,0.7408
Training.gain.with.only.annual_precipitation,1.2385,1.2524,1.253,1.2417,1.246,1.2667,1.2829,1.279,1.273,1.2499,1.2583
Training.gain.with.only.barren_vegetation,0.4514,0.4538,0.4503,0.4498,0.4503,0.4514,0.4503,0.4521,0.4514,0.4514,0.4512
Training.gain.with.only.closed_shrubland,0.0019,0.0019,0.0018,0.0022,0.002,0.0012,7e-04,0.0011,0.0017,0.0013,0.0016
Training.gain.with.only.croplands,0.1021,0.1065,0.11,0.1167,0.1086,0.1138,0.1102,0.1147,0.1048,0.1041,0.1092
Training.gain.with.only.deciduous_broadleaf_forest,0.0179,0.0178,0.018,0.019,0.0212,0.0209,0.0186,0.0183,0.0204,0.0221,0.0194
Training.gain.with.only.deciduous_needleleaf_forest,0.0093,0.0089,0.0112,0.0103,0.0103,0.0101,0.0089,0.0105,0.0113,0.0119,0.0103
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.6439,0.6471,0.6414,0.6581,0.632,0.6972,0.6471,0.6387,0.6862,0.649,0.6541
Training.gain.with.only.grasslands,0.596,0.547,0.5917,0.5834,0.5834,0.5989,0.606,0.6005,0.5866,0.5858,0.5879
Training.gain.with.only.mixed_forests,0.6242,0.6249,0.6413,0.6254,0.6309,0.63,0.6285,0.635,0.6187,0.6103,0.6269
Training.gain.with.only.open_shrublands,0.0487,0.0522,0.0458,0.0542,0.0531,0.0568,0.0605,0.0507,0.057,0.0516,0.0531
Training.gain.with.only.precipitation_seasonality,0.674,0.682,0.6795,0.6838,0.6775,0.684,0.6839,0.6907,0.6792,0.6791,0.6814
Training.gain.with.only.savannas,0.074,0.0861,0.0772,0.0767,0.0798,0.0759,0.0884,0.0766,0.0901,0.0774,0.0802
Training.gain.with.only.snow_ice,0.0036,0.0027,0.0043,0.0064,0.005,0.0046,0.0029,0.0049,0.0069,0.0065,0.0048
Training.gain.with.only.temperature_seasonality,0.8358,0.8566,0.8514,0.8246,0.8584,0.8439,0.8549,0.8618,0.821,0.8496,0.8458
Training.gain.with.only.urban_areas,0.0283,0.0225,0.031,0.0294,0.0305,0.0243,0.0274,0.0304,0.0238,0.0273,0.0275
Training.gain.with.only.wetlands,0.039,0.0418,0.0448,0.0394,0.0367,0.0396,0.0439,0.0414,0.0393,0.0382,0.0404
Training.gain.with.only.woody_savannas,0.2414,0.2311,0.2267,0.2368,0.2341,0.2358,0.2422,0.2228,0.2381,0.2338,0.2343
Test.gain.without.annual_mean_temperature,3.4991,3.3279,3.3924,3.4555,3.4541,3.2645,3.2771,3.1416,3.2169,3.2973,3.3326
Test.gain.without.annual_precipitation,3.2606,3.2074,3.2036,3.2364,3.2271,3.1141,3.0734,2.9988,3.1029,3.1413,3.1566
Test.gain.without.barren_vegetation,3.8716,3.7111,3.7373,3.8901,3.8036,3.6751,3.6643,3.5243,3.5742,3.6868,3.7138
Test.gain.without.closed_shrubland,3.916,3.7269,3.7531,3.9389,3.8395,3.6802,3.7064,3.5657,3.6015,3.691,3.7419
Test.gain.without.croplands,3.7434,3.5422,3.5898,3.7002,3.6514,3.5035,3.5237,3.3669,3.448,3.5388,3.5608
Test.gain.without.deciduous_broadleaf_forest,3.8742,3.7158,3.721,3.8997,3.8156,3.6469,3.6676,3.5195,3.5594,3.6764,3.7096
Test.gain.without.deciduous_needleleaf_forest,3.9188,3.7495,3.7554,3.8978,3.829,3.6756,3.6945,3.5599,3.5912,3.6915,3.7363
Test.gain.without.evergreen_broadleaf_forest,3.911,3.7578,3.7576,3.9579,3.8503,3.6848,3.7098,3.5721,3.5931,3.6924,3.7487
Test.gain.without.evergreen_needleleaf_forest,3.7136,3.5284,3.523,3.7962,3.672,3.5413,3.4656,3.3756,3.4734,3.5363,3.5625
Test.gain.without.grasslands,3.7446,3.5552,3.5461,3.7034,3.6491,3.4978,3.4833,3.3803,3.4218,3.5004,3.5482
Test.gain.without.mixed_forests,3.6019,3.4431,3.4501,3.6128,3.496,3.3635,3.3359,3.2731,3.3216,3.478,3.4376
Test.gain.without.open_shrublands,3.5241,3.4357,3.4666,3.6026,3.4947,3.3872,3.3018,3.281,3.3416,3.4633,3.4299
Test.gain.without.precipitation_seasonality,3.8235,3.6187,3.6647,3.798,3.7401,3.5923,3.6025,3.4838,3.5216,3.6134,3.6459
Test.gain.without.savannas,3.8676,3.7475,3.7111,3.9093,3.7701,3.6444,3.6661,3.5117,3.578,3.6616,3.7067
Test.gain.without.snow_ice,3.8228,3.6647,3.6743,3.8176,3.7402,3.6013,3.5949,3.453,3.5281,3.6057,3.6503
Test.gain.without.temperature_seasonality,3.2657,3.0548,3.0771,3.1394,3.2163,2.9637,2.9454,2.9195,3.0208,3.0521,3.0655
Test.gain.without.urban_areas,3.7955,3.5737,3.6512,3.8134,3.7381,3.5619,3.5933,3.4818,3.5099,3.5999,3.6319
Test.gain.without.wetlands,3.9201,3.7409,3.7391,3.8556,3.82,3.6693,3.7009,3.5611,3.5826,3.683,3.7273
Test.gain.without.woody_savannas,3.769,3.6291,3.5884,3.7817,3.6943,3.552,3.5276,3.4218,3.4558,3.5662,3.5986
Test.gain.with.only.annual_mean_temperature,0.7851,0.7802,0.776,0.792,0.8125,0.7922,0.7925,0.7772,0.808,0.8019,0.7918
Test.gain.with.only.annual_precipitation,1.3737,1.3171,1.314,1.362,1.3399,1.2602,1.1966,1.2146,1.2332,1.3233,1.2935
Test.gain.with.only.barren_vegetation,0.457,0.4461,0.4613,0.4631,0.4613,0.457,0.4613,0.4534,0.4572,0.457,0.4575
Test.gain.with.only.closed_shrubland,-1e-04,-4e-04,0.001,-8e-04,5e-04,0.0025,0.0047,0.0036,0.0016,0.0032,0.0016
Test.gain.with.only.croplands,0.1439,0.1269,0.1101,0.0842,0.1183,0.0963,0.1135,0.0941,0.1339,0.1362,0.1157
Test.gain.with.only.deciduous_broadleaf_forest,0.0276,0.0275,0.0259,0.0235,0.0137,0.0162,0.0246,0.0264,0.0179,0.0103,0.0214
Test.gain.with.only.deciduous_needleleaf_forest,0.019,0.019,0.0125,0.016,0.016,0.0167,0.019,0.0143,0.0115,0.0089,0.0153
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,0.698,0.6852,0.7073,0.6392,0.7443,0.4791,0.6844,0.7176,0.5277,0.6775,0.656
Test.gain.with.only.grasslands,0.5698,0.757,0.5854,0.6179,0.6196,0.5581,0.5293,0.552,0.6067,0.6075,0.6003
Test.gain.with.only.mixed_forests,0.65,0.6428,0.5786,0.6451,0.6216,0.6258,0.6297,0.6059,0.6681,0.7035,0.6371
Test.gain.with.only.open_shrublands,0.08,0.0652,0.0907,0.0564,0.062,0.048,0.034,0.0717,0.0465,0.0694,0.0624
Test.gain.with.only.precipitation_seasonality,0.7366,0.7073,0.7163,0.7025,0.7246,0.6991,0.6992,0.6716,0.7181,0.7181,0.7093
Test.gain.with.only.savannas,0.1235,0.0743,0.11,0.1124,0.0994,0.1145,0.065,0.1132,0.0587,0.1097,0.0981
Test.gain.with.only.snow_ice,0.01,0.0129,0.0087,-6e-04,0.0054,0.0063,0.0131,0.0069,-0.0033,-0.0019,0.0058
Test.gain.with.only.temperature_seasonality,0.9338,0.852,0.868,0.9795,0.8455,0.9023,0.8603,0.8298,0.9894,0.8804,0.8941
Test.gain.with.only.urban_areas,0.0174,0.0395,0.0045,0.0124,0.0078,0.0337,0.0209,0.0079,0.0355,0.0207,0.02
Test.gain.with.only.wetlands,0.0523,0.0422,0.0293,0.0506,0.0623,0.0486,0.034,0.0434,0.0523,0.0562,0.0471
Test.gain.with.only.woody_savannas,0.2178,0.2566,0.2773,0.2363,0.2484,0.2385,0.2138,0.292,0.2332,0.2482,0.2462
AUC.without.annual_mean_temperature,0.9656,0.9644,0.9641,0.9641,0.9657,0.9635,0.9622,0.9584,0.9645,0.9683,0.9641
AUC.without.annual_precipitation,0.9726,0.9737,0.9713,0.9711,0.9719,0.9722,0.9691,0.9682,0.9728,0.9749,0.9718
AUC.without.barren_vegetation,0.9668,0.9639,0.9646,0.9656,0.9679,0.9677,0.9649,0.9604,0.9657,0.9705,0.9658
AUC.without.closed_shrubland,0.9676,0.9651,0.9657,0.9663,0.9685,0.9684,0.9656,0.9613,0.9658,0.9701,0.9664
AUC.without.croplands,0.9686,0.9657,0.9667,0.9668,0.9692,0.9685,0.9674,0.9626,0.9695,0.9723,0.9677
AUC.without.deciduous_broadleaf_forest,0.9676,0.9647,0.9656,0.9661,0.9685,0.9681,0.9655,0.9611,0.9661,0.9704,0.9664
AUC.without.deciduous_needleleaf_forest,0.9673,0.965,0.9658,0.9665,0.9686,0.9685,0.9659,0.9616,0.9662,0.9702,0.9666
AUC.without.evergreen_broadleaf_forest,0.9676,0.9646,0.9656,0.9659,0.9683,0.9684,0.9656,0.9613,0.9658,0.9702,0.9663
AUC.without.evergreen_needleleaf_forest,0.9685,0.9655,0.9656,0.9671,0.9706,0.9689,0.9653,0.962,0.9695,0.9716,0.9675
AUC.without.grasslands,0.9696,0.9656,0.9661,0.9668,0.9694,0.9691,0.9665,0.963,0.969,0.9713,0.9676
AUC.without.mixed_forests,0.9696,0.9666,0.967,0.967,0.9697,0.9691,0.9663,0.9626,0.9694,0.973,0.968
