,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,156,156,156,156,156,156,156,156,156,156,156
Regularized.training.gain,49.2413,19.0062,45.4227,23.3141,3.905,57.1334,28.3549,100.6194,60.5581,63.7334,45.1288
Unregularized.training.gain,108.1297,53.414,111.4457,71.9527,5.3409,121.7859,70.8431,263.4979,127.1661,165.1363,109.8712
Iterations,10000,10000,10000,10000,4160,10000,10000,10000,10000,10000,9416
Training.AUC,0.9563,0.9677,0.9426,0.9516,0.985,0.9634,0.9642,0.9708,0.9463,0.9513,0.9599
X.Test.samples,39,39,39,39,39,39,39,39,39,39,39
Test.gain,60.6393,93.8991,102.5325,139.2017,5.5922,50.1507,82.8028,-901.4341,16.726,166.4427,-18.3447
Test.AUC,0.9422,0.9425,0.8962,0.9837,0.9658,0.9219,0.9307,0.8879,0.9374,0.8911,0.9299
AUC.Standard.Deviation,0.0175,0.0191,0.0363,0.0051,0.0095,0.0242,0.0219,0.038,0.0207,0.0397,0.0232
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.3509,0.0294,0.2183,0.1597,0.0259,0.0275,0.0877,0.0025,0.0576,0.0514,0.1011
annual_precipitation.contribution,2.7307,2.3143,2.7847,2.6816,2.4093,1.9571,2.007,1.6654,1.9978,3.2546,2.3803
barren_vegetation.contribution,2.8314,1.185,0.5486,0.5457,0.4117,1.0464,0.7134,0.7983,0.6553,0.4954,0.9231
closed_shrubland.contribution,0.0511,0.0534,0.0361,0.0379,0.0214,0.0224,0.0329,0.0457,0.0334,0.0132,0.0347
croplands.contribution,7.6691,7.9487,6.7891,7.675,7.6913,8.9082,7.821,11.2945,7.7006,7.5609,8.1058
deciduous_broadleaf_forest.contribution,0.0601,0.0834,0.0536,0.1018,0.106,0.112,0.1161,0.1269,0.0947,0.0828,0.0937
deciduous_needleleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.contribution,0,0.0322,0.0174,0.0287,0.0281,0.0082,0.0078,0.0089,0.0093,0.0139,0.0155
evergreen_needleleaf_forest.contribution,1.8099,2.3566,1.6512,1.9185,1.9333,1.6452,1.7813,1.4013,1.5286,1.4928,1.7519
grasslands.contribution,6.5795,7.4998,6.8775,7.1615,7.3994,6.664,7.1088,5.1541,6.1404,5.4587,6.6044
mixed_forests.contribution,7.3172,8.2077,7.5278,8.5017,8.8684,8.2503,8.6724,6.6598,7.8185,8.2154,8.0039
open_shrublands.contribution,0.8096,0.6819,1.3296,0.7468,0.4927,0.7847,0.5579,0.6317,0.8267,0.5011,0.7363
precipitation_seasonality.contribution,15.6192,18.7401,18.445,19.6996,20.1824,18.7798,20.0032,16.1356,19.8377,19.5956,18.7038
savannas.contribution,0.0369,0.0502,0.0413,0.0702,0.0267,0.0234,0.0203,0.0235,0.0087,0.0116,0.0313
snow_ice.contribution,47.7219,45.146,49.075,46.4315,46.1723,47.4928,47.0809,47.8336,47.9698,48.7431,47.3667
temperature_seasonality.contribution,1.5925,1.4656,0.7903,0.6572,0.816,0.5396,0.5766,3.9948,0.4896,0.3234,1.1246
urban_areas.contribution,2.7661,3.2521,2.6637,2.8515,2.966,2.875,2.8638,3.8234,4.1775,3.6319,3.1871
wetlands.contribution,1.5073,0.5975,0.8459,0.3978,0.1187,0.5228,0.2682,0.1515,0.4021,0.3049,0.5117
woody_savannas.contribution,0.5467,0.356,0.3053,0.3331,0.3304,0.3406,0.2808,0.2483,0.2519,0.2494,0.3243
annual_mean_temperature.permutation.importance,2.9639,3.1487,4.0952,2.5829,10.5173,3.1835,3.1229,0.9436,0.8647,5.4649,3.6888
annual_precipitation.permutation.importance,0.998,1.2856,0,0,1.8898,0.4655,1.2288,0.3361,0.4058,1.9097,0.8519
barren_vegetation.permutation.importance,31.058,31.7317,3.6719,33.3059,0.159,30.4236,30.773,25.3027,18.8535,0,20.5279
closed_shrubland.permutation.importance,0.0958,0.1354,0.081,0.0515,0.0759,0.2101,0.2598,0.194,0.1782,0.1377,0.1419
croplands.permutation.importance,10.3509,10.2141,9.3401,9.6554,14.6011,8.171,8.9402,13.9335,30.1973,10.584,12.5988
deciduous_broadleaf_forest.permutation.importance,0.2198,0.0769,0.2393,0.2141,0.5201,0.2225,0.2839,0.0331,0.0705,0.7971,0.2677
deciduous_needleleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.permutation.importance,0,0.0231,0.0297,0.0194,0.0063,0,0,0.0147,0.0047,0.0086,0.0106
evergreen_needleleaf_forest.permutation.importance,2.1729,2.5643,3.0795,2.6267,2.0097,3.2962,3.1983,1.802,0.6489,1.5018,2.29
grasslands.permutation.importance,13.4509,13.2129,12.6178,13.0065,24.2472,12.4855,12.9543,6.3503,10.4339,15.2391,13.3998
mixed_forests.permutation.importance,8.6697,7.7926,8.5783,7.4313,10.2067,9.84,9.1521,4.2571,5.4132,10.8344,8.2175
open_shrublands.permutation.importance,0.8567,0,20.8365,0.4614,0.1222,0.2844,0.435,0.6185,0.8178,1.2144,2.5647
precipitation_seasonality.permutation.importance,8.9248,7.9953,9.1421,7.2955,5.1094,8.91,7.1713,10.5675,6.0386,14.9556,8.611
savannas.permutation.importance,0,0,0.0154,6e-04,0,0,0,0,0.0099,0,0.0026
snow_ice.permutation.importance,2.3452,1.2441,5.5781,2.2518,2.4821,3.4857,2.7953,2.028,6.3356,4.3828,3.2929
temperature_seasonality.permutation.importance,11.973,13.9732,13.5671,13.5894,26.5216,12.2269,12.0568,31.1978,13.8251,22.5903,17.1521
urban_areas.permutation.importance,1.7381,1.6175,3.0324,2.1377,0.8551,1.5515,2.3018,2.0688,2.0035,2.4927,1.9799
wetlands.permutation.importance,3.744,4.7816,5.7467,5.1371,0.356,4.988,4.9812,0.168,3.8272,7.4898,4.122
woody_savannas.permutation.importance,0.4383,0.2031,0.3488,0.2328,0.3206,0.2555,0.3454,0.1842,0.0717,0.3971,0.2797
Training.gain.without.annual_mean_temperature,45.5637,17.9037,51.3071,19.0878,3.8443,44.3661,39.2024,75.3612,59.622,35.9214,39.218
