,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,212,212,212,212,212,212,212,212,212,212,212
Regularized.training.gain,69.3827,504.3008,4.194,112731300,1760366,40.0953,63.958,1509.916,220.7443,25.4805,11449410
Unregularized.training.gain,81.3867,569.627,5.7035,124739200,2031723,48.1023,77.2487,1702.066,266.6197,38.4686,12677370
Iterations,10000,10000,6080,220,220,9540,10000,10000,10000,10000,7606
Training.AUC,0.9878,0.9872,0.991,0.6132,0.6084,0.9906,0.9878,0.9823,0.9857,0.9856,0.912
X.Test.samples,52,52,52,52,52,52,52,52,52,52,52
Test.gain,77.6202,576.399,5.7988,-2549974.3083,-250800.7227,119.368,73.0609,1674.04,681.8548,20.4687,-279754.6421
Test.AUC,0.967,0.982,0.9881,0.5961,0.5768,0.9844,0.9848,0.939,0.9622,0.9442,0.8925
AUC.Standard.Deviation,0.0109,0.0041,0.0042,0.0273,0.025,0.0087,0.0036,0.0222,0.0134,0.0207,0.014
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.4165,0.0535,0.0473,0.1796,0.0011,0,0,0,0,0,0.0698
annual_precipitation.contribution,1.1989,0.1319,0.1393,0.0485,0.0137,0,0,0,0,0,0.1532
barren_vegetation.contribution,14.1727,15.0187,15.0236,14.2725,15.3698,15.4136,15.4136,15.4135,15.4136,15.4136,15.0925
closed_shrubland.contribution,0.0047,0.0011,4e-04,0.0498,0.0133,0,0,0,0,0,0.0069
croplands.contribution,0.513,0.067,0.0537,0.0024,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0637
deciduous_broadleaf_forest.contribution,46.7854,49.553,49.5745,47.3316,49.7258,49.8648,49.8648,49.8647,49.8648,49.8648,49.2294
deciduous_needleleaf_forest.contribution,0.0157,0.0029,0.0028,0,0,0,0,0,0,0,0.0021
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.8117,0.132,0.1226,0.2849,0.0333,0.0239,0.0239,0.0239,0.0239,0.0239,0.1504
grasslands.contribution,0.521,0.0891,0.0904,0.3692,0.1162,0.1037,0.1037,0.1038,0.1037,0.1037,0.1704
mixed_forests.contribution,0.2706,0.0238,0.021,0.1054,0.1699,0.0201,0.0201,0.0201,0.0201,0.0201,0.0691
open_shrublands.contribution,0.8049,0.1212,0.1175,1.4257,0.0229,0.0048,0.0048,0.0048,0.0048,0.0048,0.2516
precipitation_seasonality.contribution,0.0419,0.009,0.0085,0,0,0,0,0,0,0,0.0059
savannas.contribution,0.0473,0.0069,0.0091,0,0.0075,0,0,0,0,0,0.0071
snow_ice.contribution,32.7518,34.5581,34.5706,34.8081,34.468,34.5619,34.5619,34.5619,34.5619,34.5619,34.3966
temperature_seasonality.contribution,0.6024,0.0839,0.0685,0.7529,9e-04,3e-04,3e-04,3e-04,3e-04,3e-04,0.151
urban_areas.contribution,0.0236,0.0061,0.0088,0.1217,0.0172,0.0064,0.0064,0.0066,0.0064,0.0064,0.021
wetlands.contribution,0.099,0.0093,0.0208,0.023,0.0098,0,0,0,0,0,0.0162
woody_savannas.contribution,0.9189,0.1326,0.1207,0.2248,0.0307,3e-04,3e-04,3e-04,3e-04,3e-04,0.1429
annual_mean_temperature.permutation.importance,32.4114,20.1394,46.3873,16.5907,20.1159,35.2657,39.5814,15.086,22.1231,34.9351,28.2636
annual_precipitation.permutation.importance,6.3871,9.8327,5.6193,18.8673,18.1243,5.3752,5.043,6.4907,19.5717,4.7665,10.0078
barren_vegetation.permutation.importance,3.2664,3.844,0.0029,4.8993,5.166,6.8676,3.243,31.4264,3.299,4.0405,6.6055
closed_shrubland.permutation.importance,0.0218,0.0486,0.0178,2.5362,1.2806,0.0228,0.0524,0.057,0.0452,0.0421,0.4125
croplands.permutation.importance,1.6281,3.1298,0.3395,2.4497,5.8117,0.6901,1.9061,0.5373,1.5052,1.3106,1.9308
deciduous_broadleaf_forest.permutation.importance,4.8055,5.7286,4.4255,0,0,4.9129,3.6754,1.8378,3.3109,4.0264,3.2723
deciduous_needleleaf_forest.permutation.importance,0.0785,0.0156,0.1613,0,0,0.0276,0.2168,6e-04,0.4722,0.1375,0.111
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,1.8111,0.7021,1.408,18.2238,6.5419,0.9412,1.0901,1.6602,1.4947,1.5003,3.5373
grasslands.permutation.importance,12.5929,11.8069,8.5003,0,2.739,5.7565,12.1737,12.4747,17.9345,8.318,9.2296
mixed_forests.permutation.importance,4.0322,6.404,5.2113,3.0555,0,5.616,4.7281,5.5624,6.5096,4.4828,4.5602
open_shrublands.permutation.importance,7.7543,7.7259,7.422,10.2255,7.0233,7.1986,5.7089,7.1253,4.3349,5.7203,7.0239
precipitation_seasonality.permutation.importance,5.1221,8.3907,3.8598,0,0,2.0032,2.7273,2.037,1.2909,4.5256,2.9957
savannas.permutation.importance,0.6116,0.1078,0.7719,0,7.1465,0.9841,0.6814,0.3207,0.0364,0.8281,1.1488
snow_ice.permutation.importance,0.4971,0.6032,0.1368,3.7509,0.2053,0.3226,0.4304,0.3358,0.2631,0.5713,0.7116
temperature_seasonality.permutation.importance,10.0727,12.1153,9.0116,9.0311,8.3122,13.1163,8.9315,7.4949,7.6183,8.3464,9.405
urban_areas.permutation.importance,0.3482,0.1591,0.6595,1.8235,0,1.7019,1.0803,0.2862,1.3435,10.5914,1.7994
wetlands.permutation.importance,1.8622,0.5991,0.9024,3.3008,0,2.3105,0.7094,0.1717,0.0564,1.9553,1.1868
woody_savannas.permutation.importance,6.6968,8.6471,5.1627,5.2455,17.5334,6.8874,8.0207,7.0952,8.7903,3.902,7.7981
Training.gain.without.annual_mean_temperature,136.4101,25570.7115,4.0078,185.1547,313.7997,17.8248,4452485.1013,64.2622,29.0428,3734547.8029,821335.4118
Training.gain.without.annual_precipitation,66.0894,42038240,3.8817,113.6413,47.8397,15.3416,1121405,2123527,2858109,445935.8,4858746
Training.gain.without.barren_vegetation,123732.5454,70011.0936,4.1928,897.8594,284.7025,95.6505,13207.0938,13503.7485,7.9762,108077.4442,32982.2307
Training.gain.without.closed_shrubland,3967152.4538,85.0169,4.1838,117.2928,50.2606,5499358.3257,179.1192,20.2893,53.8175,100.7801,946712.154
Training.gain.without.croplands,73.3393,63.4089,4.1755,102.55,119.8679,17.2863,9981360.5788,94.1465,12.182,32928.2008,1001477.5736
Training.gain.without.deciduous_broadleaf_forest,4.36,4.41,4.0732,4.6444,4.6631,4.2012,4.7113,4.4563,5.059,6.7384,4.7317
Training.gain.without.deciduous_needleleaf_forest,32.538,85.3296,4.1783,31114.2265,169.0209,35.6478,21.4565,42865.3864,23.1345,69.2992,7442.0218
Training.gain.without.evergreen_broadleaf_forest,32.2136,85.3427,4.1934,31114.2265,163.6837,55.9743,20.0759,42865.3864,37.4967,69.3511,7444.7944
Training.gain.without.evergreen_needleleaf_forest,9187224.6284,91.832,4.0422,198.8928,148.952,406723.7179,31478.7899,80.9372,589.7332,9.8335,962655.1359
Training.gain.without.grasslands,483.0125,20.944,4.0871,13923370,14267360,91.9276,70.8237,112.2445,82472.21,28538.76,2830253
Training.gain.without.mixed_forests,65149.6899,415.4304,3.9666,42.9325,1433146.7395,39.9466,471.0013,92.6626,11.5623,29427.5364,152880.1468
Training.gain.without.open_shrublands,82.1067,153.3839,3.9823,102.495,135921.1384,74.5233,152.1071,4819529.7653,582.7708,119.0174,495672.129
Training.gain.without.precipitation_seasonality,294085.2,19170310,4.0982,61.5359,1946.841,33.23,36078.31,76.2359,38.6582,96.0946,1950273
Training.gain.without.savannas,759.4098,78.8011,4.0809,433220.654,8.7896,10.2123,14.2645,124.7453,161.8323,107.6735,43449.0463
Training.gain.without.snow_ice,4.436,4.4395,4.1268,4.6652,4.4543,4.3447,4.9033,4.5275,5.5573,6.8496,4.8304
Training.gain.without.temperature_seasonality,104.3092,68.022,3.9667,100.1065,167.843,48.0823,143.7921,78.9334,115.2565,97.5416,92.7853
Training.gain.without.urban_areas,100.8742,241.5149,4.1154,111.0286,17097310,55.5365,200.4534,17.6323,20.5434,117.7223,1709818
