,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.croplands,29855.637,2839529.546,86069680.588,4913.112,16555.676,110533.174,39273.636,23439.416,1054490.567,3711472.509,9389974.386
Training.gain.without.deciduous_broadleaf_forest,263262.8413,214366.5037,640105.3315,47.4132,32598.006,285243.2441,1054.5377,14822.282,4497550.5263,2690.4304,595174.1116
Training.gain.without.deciduous_needleleaf_forest,48556.6569,154592.1523,125049.8966,32.7329,12.8959,21992.6713,2487.0102,696.7027,326371.8092,78072.4535,75786.4981
Training.gain.without.evergreen_broadleaf_forest,62063930,154592.2,511334.7,47.8613,221.7137,15437770,58020.23,194.3047,42833.53,59390.6,7832834
Training.gain.without.evergreen_needleleaf_forest,11920.0632,179611.3851,13486.6125,57.4904,373.9076,9341.0342,13159.9687,4298588.2915,69813.0085,57217.2312,465356.8993
Training.gain.without.grasslands,743348.0599,69721.9288,10746.6613,63.7444,61102.5994,17834.569,45975.114,273.9386,1327060.8267,10076.6389,228620.4081
Training.gain.without.mixed_forests,14142700,2240362,116855000,388.5999,3181.999,22330.4,3172.239,204909.4,7423876,13914.71,14090980
Training.gain.without.open_shrublands,119526.9,1027669,2447438,49.7725,4441.703,15050.63,10003.98,30282.13,1626.584,51595260,5525135
Training.gain.without.precipitation_seasonality,74704.087,40433.085,8696.366,40.512,10411.31,3319186.974,47209.449,16959.926,10849.754,8387453.967,1191594.543
Training.gain.without.savannas,10.7825,124546.1319,1072.5645,925.7944,461.2013,2100.4154,10997.0394,10.3097,728.0332,308.507,14116.0779
Training.gain.without.snow_ice,5.0051,4.831,4.798,4.682,4.8404,5.1163,4.879,4.8378,4.6045,5.2717,4.8866
Training.gain.without.temperature_seasonality,17998.5246,796440.0928,37676.1728,48.5115,1441.3211,2682.6465,27638.0619,174.8842,12463.603,11384.3411,90794.8159
Training.gain.without.urban_areas,2064192,551526.6,128421800,357.0338,327.3023,13959.81,56438.92,35875730,14126630,22130.39,18113310
Training.gain.without.wetlands,368661.5,25304.92,33992.82,31.3087,1121.539,12422.08,15330.24,16703220,2706.961,2201872,1936466
Training.gain.without.woody_savannas,96983.5123,86397.6246,2817.5551,49.8261,8072946.4669,80346.2505,89781.2105,29691.1456,7023710.492,34531.2796,1551725.5363
Training.gain.with.only.annual_mean_temperature,1.5619,1.5655,1.5589,1.6163,1.652,1.6277,1.5244,1.577,1.5754,1.6037,1.5863
Training.gain.with.only.annual_precipitation,0.9442,0.8897,0.9279,0.8444,0.934,0.9119,0.9279,0.9199,0.8807,0.9367,0.9117
Training.gain.with.only.barren_vegetation,0.4427,0.4487,0.4487,0.4427,0.4427,0.4487,0.4487,0.4427,0.4487,0.4427,0.4457
Training.gain.with.only.closed_shrubland,0.0012,0.0012,0,9e-04,1e-04,1e-04,0.001,0.0012,0.0012,0.001,8e-04
Training.gain.with.only.croplands,0.2412,0.2521,0.2536,0.2632,0.2852,0.2678,0.2534,0.2499,0.2457,0.2478,0.256
Training.gain.with.only.deciduous_broadleaf_forest,0.0068,0.0068,0.0068,0.0068,0.0086,0.0068,0.0086,0.0146,0.0068,0.0146,0.0087
Training.gain.with.only.deciduous_needleleaf_forest,0.0022,0.0015,0.0032,0.0037,0.0011,0.0089,0.0034,0.0034,0.0032,0.0028,0.0033
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.2699,0.2438,0.2348,0.2405,0.2545,0.2977,0.3691,0.3048,0.2689,0.2482,0.2732
Training.gain.with.only.grasslands,1.2581,1.2603,1.2143,1.175,1.2103,1.1804,1.3272,1.2871,1.2446,1.2228,1.238
Training.gain.with.only.mixed_forests,0.1446,0.0889,0.092,0.0853,0.12,0.1199,0.1182,0.0992,0.0833,0.1032,0.1055
Training.gain.with.only.open_shrublands,0.9774,1.0561,1.0168,1.0632,1.0154,1.0055,1.064,1.0129,1.0051,1.0488,1.0265
Training.gain.with.only.precipitation_seasonality,0.7668,0.775,0.7952,0.7449,0.7408,0.7749,0.7885,0.8042,0.7399,0.784,0.7714
Training.gain.with.only.savannas,0.1825,0.1617,0.2059,0.1755,0.1426,0.1369,0.1833,0.1537,0.1503,0.1747,0.1667
Training.gain.with.only.snow_ice,0.7316,0.5519,0.5223,0.6174,0.7286,0.7435,0.6016,0.6299,0.6767,0.7781,0.6582
Training.gain.with.only.temperature_seasonality,0.583,0.5292,0.5107,0.4941,0.5038,0.5134,0.5914,0.5738,0.5203,0.5503,0.537
Training.gain.with.only.urban_areas,0.0536,0.0536,0.0693,0.0693,0.0694,0.0694,0.0536,0.0693,0.0536,0.0536,0.0615
Training.gain.with.only.wetlands,0.0353,0.0346,0.0346,0.0407,0.0386,0.0554,0.0501,0.0361,0.0369,0.0369,0.0399
Training.gain.with.only.woody_savannas,0.2979,0.347,0.3273,0.3902,0.3253,0.3402,0.3511,0.3061,0.3051,0.3368,0.3327
Test.gain.without.annual_mean_temperature,-9844639.2641,1973.5453,3679.4767,82.9915,-6685.04,-511809.5838,1737210.6183,550.249,-63526.0367,-49974.925,-873313.7969
Test.gain.without.annual_precipitation,-18694.4122,116052.1523,11276.1276,81.0045,-79415.5612,-100759.0166,16519.9937,1629.7118,-162462.0501,-30506.7556,-24627.8806
Test.gain.without.barren_vegetation,-257783.5373,146137.2594,259741.5424,7.6209,-219205.7673,-141250.6355,5058.7186,128337.9987,-65173.056,-437.1902,-14456.7046
