,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.annual_precipitation,27.744,85.847,9.1822,68.6196,26.9926,516.2992,1017594.2912,156.4577,3378501.6028,17.575,439700.4611
Training.gain.without.barren_vegetation,313995.5903,48.322,37.6916,177.3741,34.086,50.8224,9567636.6308,13.8715,87.2522,22.1224,988210.3763
Training.gain.without.closed_shrubland,22.8855,37.3726,12.3556,57.8628,683.9892,23.2221,12.6107,778970.0962,87.9831,42.8797,77995.1258
Training.gain.without.croplands,27.4814,27.625,7.0157,56.7277,2439064.0232,7.1348,54.328,271.777,74.5659,35.6523,243962.6331
Training.gain.without.deciduous_broadleaf_forest,5.2558,3.9151,4.326,4.224,3.9976,4.1615,4.0163,4.0372,3.8315,4.0594,4.1824
Training.gain.without.deciduous_needleleaf_forest,8.8312,27.1308,14.8128,141.2207,10925.779,10.2018,9514284.7333,71.3226,68.0412,37.9808,952559.0054
Training.gain.without.evergreen_broadleaf_forest,9.12,50.4952,15.625,91.2616,40880.41,10.4899,14494260,71.2966,64.554,184.5766,1453564
Training.gain.without.evergreen_needleleaf_forest,31.5862,16.8939,8.7605,237.7628,69.4136,23.958,113.7952,10.0693,54.7751,102.2024,66.9217
Training.gain.without.grasslands,11.4181,33.9058,5.1141,16.2493,430951.7673,31.4353,37.5506,125.4641,89.7589,81.5213,43138.4185
Training.gain.without.mixed_forests,2171908.0352,129285.7442,13.6017,11.4086,51.4042,23.0356,508.0431,15.9222,111.0489,54.5995,230198.2843
Training.gain.without.open_shrublands,29.543,30.0795,24.9468,60.4767,67.8032,40.1106,102.4459,511241.1266,264.3686,92.7363,51195.3637
Training.gain.without.precipitation_seasonality,82.9423,14.421,10.7478,113.3046,38.154,26.6592,54.1241,50.5709,71.7014,13.1564,47.5782
Training.gain.without.savannas,56.9711,24.8737,10.8999,19.0635,99.2778,34.8251,139.6988,38484240,89.3114,291.629,3848500
Training.gain.without.snow_ice,4.7205,3.9355,4.3325,4.3002,3.9914,4.2522,4.0884,4.0478,3.8363,4.0674,4.1572
Training.gain.without.temperature_seasonality,85.5743,8.6904,5.6764,63.1784,73.523,33.2339,26.2489,1503.1789,657.3462,88.9954,254.5646
Training.gain.without.urban_areas,61.89,21.8452,7024246.0639,67033.3545,130.5877,9.3602,157.0521,76721.3696,30.1031,63.9403,716847.5567
Training.gain.without.wetlands,159.5561,17.487,24.5905,11087.0354,176883.3843,28.2515,42769.9023,56.4713,12245.3621,43.2115,24331.5252
Training.gain.without.woody_savannas,123.0986,21.7527,10.1253,18.8963,48355860,22.7608,58.2346,58.7851,61.0882,44.7505,4835628
Training.gain.with.only.annual_mean_temperature,1.1961,1.2155,1.2215,1.2286,1.2318,1.2267,1.1872,1.2215,1.2269,1.2028,1.2159
Training.gain.with.only.annual_precipitation,1.1835,1.1725,1.1771,1.2145,1.1997,1.1981,1.1818,1.2054,1.1797,1.1805,1.1893
Training.gain.with.only.barren_vegetation,0.4346,0.4452,0.4346,0.4346,0.4439,0.4403,0.4346,0.4452,0.4439,0.4346,0.4392
Training.gain.with.only.closed_shrubland,0,0.0047,0.0018,0,0,3e-04,0.0047,0.0022,0.0018,3e-04,0.0016
Training.gain.with.only.croplands,0.3333,0.339,0.3452,0.3401,0.3769,0.3389,0.3323,0.3386,0.3392,0.3269,0.341
Training.gain.with.only.deciduous_broadleaf_forest,0.028,0.0284,0.0223,0.0292,0.0251,0.0248,0.028,0.0284,0.0262,0.0292,0.027
