,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482
Regularized.training.gain,2.7187,2.621,2.6985,2.6885,2.7041,2.6867,2.7356,2.7057,2.7423,2.689,2.699
Unregularized.training.gain,3.2683,3.1083,3.2447,3.2276,3.2951,3.2651,3.3878,3.383,3.5365,3.294,3.301
Iterations,3980,4080,3440,3860,4160,3740,4340,4180,4740,3980,4050
Training.AUC,0.9606,0.9588,0.9592,0.9593,0.9581,0.9577,0.9575,0.9571,0.9574,0.9563,0.9582
X.Test.samples,620,620,620,620,620,620,620,620,620,620,620
Test.gain,3.0557,3.3517,3.1207,3.1579,3.1548,3.1886,3.0475,3.1606,3.0738,3.1861,3.1497
Test.AUC,0.9521,0.9612,0.9564,0.9563,0.958,0.9589,0.953,0.9572,0.9556,0.9596,0.9568
AUC.Standard.Deviation,0.0029,0.0025,0.0026,0.0026,0.0027,0.0026,0.0029,0.0027,0.0026,0.0027,0.0027
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,2.908,8.3785,7.9454,5.1921,6.5309,7.0091,6.9772,5.3778,5.6939,6.1696,6.2182
annual_precipitation.contribution,10.3268,10.0343,8.6496,7.2164,8.5776,8.1096,7.5464,7.7151,7.7423,7.9838,8.3902
barren_vegetation.contribution,2.3237,0.0515,0.0104,1.9892,0.0228,0.0947,0.1384,0.2525,0.1307,0.1068,0.5121
closed_shrubland.contribution,0.1993,0.2577,0.1969,0.1973,0.2913,0.2176,0.1946,0.2908,0.1526,0.2105,0.2209
croplands.contribution,6.1423,6.5692,6.2617,6.1408,5.7626,5.7497,5.7017,5.369,5.293,5.5407,5.8531
deciduous_broadleaf_forest.contribution,1.634,1.5515,1.9543,1.4501,1.3504,1.429,1.1517,1.1009,1.3963,1.0173,1.4036
deciduous_needleleaf_forest.contribution,0.2014,0.1592,0.1869,0.2091,0.3342,0.5195,0.3417,0.4201,0.4764,0.5176,0.3366
evergreen_broadleaf_forest.contribution,0.0012,0.0017,0.0029,0.0065,0.0079,0.0082,0.018,0.0183,0.018,0.0199,0.0103
evergreen_needleleaf_forest.contribution,0.6786,0.6653,0.7856,0.6508,1.0299,0.6975,0.9183,0.9015,0.7207,0.7851,0.7833
grasslands.contribution,3.407,3.1927,3.8928,4.8235,5.198,5.4801,5.6984,6.4417,6.4638,6.9125,5.151
mixed_forests.contribution,25.8522,23.4296,23.8707,24.0784,21.755,20.4936,20.1132,20.1275,18.5679,18.3045,21.6593
open_shrublands.contribution,0.4329,0.7253,0.6674,0.5435,0.4765,0.6943,0.6387,0.4599,0.6326,0.5603,0.5831
precipitation_seasonality.contribution,8.0204,4.0035,5.1332,7.4411,8.1167,8.0467,9.0076,8.6256,9.1568,9.1202,7.6672
savannas.contribution,0.0731,0.1176,0.0903,0.0031,0.139,0.0287,0.1267,0.1589,0.0917,0.1218,0.0951
snow_ice.contribution,0.0151,0.0074,0.0307,0.0327,0.0052,0.0291,0.0038,0.0051,0.0268,0.0047,0.0161
temperature_seasonality.contribution,29.8507,33.1466,31.9205,30.0914,30.143,30.4222,28.7341,29.9155,30.3704,29.0918,30.3686
urban_areas.contribution,7.2738,7.3181,7.7304,9.1475,9.7201,10.216,12.1654,12.044,12.162,12.8882,10.0666
wetlands.contribution,0.0991,0.043,0.0827,0.0541,0.15,0.066,0.0444,0.1411,0.0671,0.048,0.0796
woody_savannas.contribution,0.5602,0.3474,0.5876,0.7324,0.389,0.6885,0.4799,0.6347,0.8369,0.5965,0.5853
annual_mean_temperature.permutation.importance,16.4573,14.5341,16.7926,15.4491,13.8618,15.7188,14.0546,13.6135,13.7268,13.3987,14.7607
annual_precipitation.permutation.importance,26.4723,31.418,31.2646,27.0268,36.8591,28.9994,35.1371,32.5394,31.8626,37.5019,31.9081
barren_vegetation.permutation.importance,0.0044,0.0659,0.0119,0.0016,0.0608,4e-04,0.1003,0.0071,0.0643,0.0129,0.033
closed_shrubland.permutation.importance,0.0335,0.036,0.0345,0.04,0.0324,0.0389,0.0253,0.0338,0.0138,0.0269,0.0315
croplands.permutation.importance,6.1327,5.848,5.6299,6.4642,5.3091,6.0693,5.3537,6.3102,6.3077,5.0388,5.8464
deciduous_broadleaf_forest.permutation.importance,0.2475,0.3223,0.3216,0.2934,0.2517,0.2779,0.2615,0.3108,0.2736,0.2897,0.285
deciduous_needleleaf_forest.permutation.importance,0.0247,0,0.0268,0.0347,0.0335,0.0348,0.0303,0.0706,0,0.0484,0.0304
evergreen_broadleaf_forest.permutation.importance,0.0034,0.003,0.0055,0.0058,0.004,0.0065,0.0042,7e-04,0.0034,0.0069,0.0043
evergreen_needleleaf_forest.permutation.importance,1.173,0.9916,1.1583,1.2984,0.8576,0.8458,0.9415,0.9339,0.9521,0.7691,0.9921
grasslands.permutation.importance,4.1509,3.5223,4.1445,4.227,3.5922,3.9414,3.6338,3.7222,4.2273,3.1239,3.8285
mixed_forests.permutation.importance,5.4452,4.3119,5.0771,5.6232,4.7923,5.0109,4.9235,5.1668,5.4795,4.8858,5.0716
open_shrublands.permutation.importance,2.4831,1.8934,2.266,2.597,2.2722,2.4046,2.4073,2.4199,2.3701,2.3406,2.3454
precipitation_seasonality.permutation.importance,8.8344,8.9376,8.1381,8.7609,7.6021,8.996,9.088,9.3082,9.039,8.3638,8.7068
savannas.permutation.importance,0.02,0.0113,0,0.0099,0.0028,0,0.0036,0.0078,0.0057,0.0177,0.0079
snow_ice.permutation.importance,0.0038,2e-04,0.0159,0.0105,0.0029,4e-04,8e-04,0,0.0125,1e-04,0.0047
temperature_seasonality.permutation.importance,25.3429,25.5536,22.4088,25.33,21.7311,24.861,21.7807,22.8431,22.5457,21.82,23.4217
urban_areas.permutation.importance,1.8515,1.4888,1.5109,1.616,1.6268,1.6343,1.3728,1.6323,1.7283,1.316,1.5778
wetlands.permutation.importance,0.0588,0.0554,0.0615,0.0493,0.135,0.0743,0.0758,0.0612,0.0634,0.0737,0.0708
woody_savannas.permutation.importance,1.2606,1.0066,1.1316,1.1621,0.9727,1.0853,0.8049,1.0185,1.324,0.9651,1.0731
Training.gain.without.annual_mean_temperature,2.6528,2.5703,2.6359,2.6326,2.6431,2.625,2.6754,2.654,2.6746,2.6313,2.6395
Training.gain.without.annual_precipitation,2.6281,2.5357,2.6109,2.594,2.5961,2.5926,2.6323,2.6148,2.6364,2.5774,2.6018
Training.gain.without.barren_vegetation,2.719,2.6198,2.6999,2.6895,2.703,2.6853,2.7329,2.706,2.7406,2.6887,2.6985
Training.gain.without.closed_shrubland,2.7148,2.6174,2.6949,2.6853,2.7006,2.6837,2.7294,2.7014,2.7403,2.6845,2.6952
Training.gain.without.croplands,2.6472,2.5629,2.6298,2.6164,2.6324,2.6128,2.6613,2.6385,2.6597,2.6272,2.6288
Training.gain.without.deciduous_broadleaf_forest,2.6943,2.5958,2.6702,2.661,2.6733,2.6607,2.7086,2.6811,2.7076,2.6622,2.6715
Training.gain.without.deciduous_needleleaf_forest,2.7083,2.6159,2.6949,2.6864,2.6952,2.68,2.7278,2.6953,2.7313,2.682,2.6917
Training.gain.without.evergreen_broadleaf_forest,2.7184,2.6202,2.6998,2.6884,2.7038,2.6864,2.7348,2.706,2.7411,2.6891,2.6988
Training.gain.without.evergreen_needleleaf_forest,2.6948,2.6028,2.6725,2.6644,2.6841,2.6699,2.7147,2.6851,2.7174,2.675,2.6781
