,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,668,668,668,668,668,668,668,668,668,668,668
Regularized.training.gain,34.9054,50479.16,3042278,72043.73,2.3107,16293900,2.3636,2.352,2.3717,38419.43,1949717
Unregularized.training.gain,207.9824,200532.9,13904300,294846.3,2.6179,64545550,2.7055,2.7138,2.7267,155346.3,7910080
Iterations,10000,5400,760,2700,2540,2940,2660,2540,2220,2800,3456
Training.AUC,0.9654,0.4824,0.5036,0.508,0.9654,0.5029,0.9661,0.9653,0.967,0.614,0.744
X.Test.samples,166,166,166,166,166,166,166,166,166,166,166
Test.gain,117.4689,-2096.8202,267323.8522,-6420.5577,2.6659,-858645.6169,2.4876,2.575,2.4783,9015.193,-59069.6274
Test.AUC,0.9659,0.4822,0.5029,0.502,0.9687,0.503,0.9603,0.9639,0.9615,0.6166,0.7427
AUC.Standard.Deviation,0.0039,0.0031,0.003,0.0052,0.0036,0.003,0.0045,0.0038,0.0043,0.0189,0.0053
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.6107,4e-04,0,1e-04,1e-04,0,0,0,0,0,0.0611
annual_precipitation.contribution,0.8452,6e-04,0,1e-04,1e-04,0,0,0,0,1e-04,0.0846
barren_vegetation.contribution,0.8199,2e-04,0.0743,0,1e-04,0,0,0,0,0.0018,0.0896
closed_shrubland.contribution,0.0288,0,0,0,0,0.0054,0,0,0,0,0.0034
croplands.contribution,1.7753,0.0058,0.582,0.001,0.0013,0.2362,1e-04,1e-04,1e-04,0.001,0.2603
deciduous_broadleaf_forest.contribution,0.1769,1e-04,0,0,0,0.002,0,0,0,4e-04,0.0179
deciduous_needleleaf_forest.contribution,0.0122,0,0,0,0,0,0,0,0,0,0.0012
evergreen_broadleaf_forest.contribution,73.4997,52.0172,29.0431,43.5868,48.9337,57.1195,49.8578,49.8578,49.8578,49.7299,50.3503
evergreen_needleleaf_forest.contribution,0.0815,1e-04,0.2474,0,0,0.0158,0,0,0,1e-04,0.0345
grasslands.contribution,0.1372,1e-04,0.1407,0,0,10.1306,0.0918,0.0918,0.0918,0.091,1.0775
mixed_forests.contribution,17.7488,5.566,5.3264,38.364,49.2885,14.1996,49.9663,49.9663,49.9663,49.6278,33.002
open_shrublands.contribution,0.1295,0.0213,0,0,0,1.2012,0,0,0,0.0165,0.1368
precipitation_seasonality.contribution,0.4646,41.1754,25.9379,0.0123,0.0158,2e-04,7e-04,7e-04,7e-04,0.4445,6.8053
savannas.contribution,0.0081,2e-04,0,0,0,0,0,0,0,1e-04,8e-04
snow_ice.contribution,0.3824,0.0024,38.2224,0.6468,0.831,0.425,0.0393,0.0393,0.0393,0.0411,4.0669
temperature_seasonality.contribution,1.7519,0.0874,0.193,0.0117,0.015,2e-04,7e-04,7e-04,7e-04,7e-04,0.2062
urban_areas.contribution,1.1856,0.3662,0.0665,0.7115,0.9141,0.0123,0.0432,0.0432,0.0432,0.0429,0.3429
wetlands.contribution,0.012,0,0.0246,0,0,0,0,0,0,0,0.0037
woody_savannas.contribution,0.3299,0.7566,0.1417,16.6656,1e-04,16.6521,0,0,0,0.0021,3.4548
annual_mean_temperature.permutation.importance,18.4901,0,0,0.0277,18.0847,0,16.6817,14.0627,15.882,0,8.3229
annual_precipitation.permutation.importance,17.9804,0.3545,0.0038,0,13.0952,0,15.7387,21.4244,14.6183,0,8.3215
barren_vegetation.permutation.importance,4.309,0,19.8052,0.0092,6.0696,0,5.5077,4.1664,5.8085,11.2265,5.6902
closed_shrubland.permutation.importance,0.1997,0,0,0,0.1427,0,0.2103,0.1043,0.1542,0,0.0811
croplands.permutation.importance,9.7914,0,0,0,10.7206,36.774,10.3344,10.5803,10.9334,0,8.9134
deciduous_broadleaf_forest.permutation.importance,0.3597,0,0,0,0.2791,0,0.0797,0.1556,0.3046,0,0.1179
deciduous_needleleaf_forest.permutation.importance,0.0936,0,0,0,0.233,0,0.1052,0.1161,0.065,0,0.0613
evergreen_broadleaf_forest.permutation.importance,0.1982,67.7891,24.8402,73.7763,0.0368,9.1245,0.0848,0.0309,0.1069,21.9868,19.7975
evergreen_needleleaf_forest.permutation.importance,0.736,0,7.603,0.0092,0.7597,0.1866,0.7343,0.6159,0.8215,0.0101,1.1476
grasslands.permutation.importance,2.0619,0,2.0351,0,2.193,0,2.054,1.6535,2.4014,0.0047,1.2404
mixed_forests.permutation.importance,4.8237,31.7805,0,23.0526,4.334,51.6706,4.4133,3.8506,3.8213,31.3555,15.9102
open_shrublands.permutation.importance,2.5783,0,0,0.0092,1.1923,0.1866,2.7792,1.968,2.1424,0,1.0856
precipitation_seasonality.permutation.importance,9.9832,0,31.5042,0,10.1552,0,10.1236,9.632,10.0394,28.6801,11.0118
savannas.permutation.importance,0.1456,0,0.0038,0,0,0,0.3189,0.3603,0.1171,6.2781,0.7224
snow_ice.permutation.importance,0.7874,0,0,0,0,0.1866,0,0.718,0.7283,0.4515,0.2872
temperature_seasonality.permutation.importance,19.961,0,0,0.0092,25.9908,0,23.8858,23.5704,24.5132,0.0067,11.7937
urban_areas.permutation.importance,2.1972,0,12.6812,0.0092,1.489,0,1.5788,2.0926,2.2215,0,2.2269
wetlands.permutation.importance,0.0932,0,0,0,0.1103,0,0.1082,0.1388,0.3554,0,0.0806
woody_savannas.permutation.importance,5.2104,0.076,1.5235,3.0973,5.1138,1.8712,5.2613,4.7589,4.9654,0,3.1878
Training.gain.without.annual_mean_temperature,1165.6716,317978.214,7273085.3412,1096448.2964,2.2268,167220.6724,2.2865,2.2714,2.2836,287.9446,885619.5208
Training.gain.without.annual_precipitation,34517.83,146416600,669817.4,451658,2.1958,2822.876,2.2148,2.2044,2.2302,31296.65,14760680
Training.gain.without.barren_vegetation,9.1963,28404.2238,4404154.1329,2188150.8441,2.2963,563876.1952,2.3528,2.3417,2.3574,260519.4052,744512.3346
Training.gain.without.closed_shrubland,20.1131,28450.6258,200275.5394,26016.974,2.3036,43988.714,2.3588,2.3458,2.3675,11895.2943,31065.6636
Training.gain.without.croplands,8.4866,45097.9,21383.42,14286050,2.2712,24492.51,2.3171,2.3067,2.3302,32240.52,1440928
Training.gain.without.deciduous_broadleaf_forest,113.9944,5978363.3365,381278.8594,203120.1439,2.2939,17337.5803,2.352,2.3395,2.3606,181.3085,658040.4569
Training.gain.without.deciduous_needleleaf_forest,15.2109,299.9587,6801.451,31581.5434,2.3085,360557.2964,2.362,2.3514,2.3708,2369.3996,40163.4253
Training.gain.without.evergreen_broadleaf_forest,2.3437,2.3805,2.3311,2.3554,2.3068,2.3548,2.3595,2.3496,2.3674,2.3971,2.3546
Training.gain.without.evergreen_needleleaf_forest,20.3932,272277.4895,262007.5983,167.9035,2.2932,147.1673,2.3456,2.3268,2.3488,92.2165,53472.2083
Training.gain.without.grasslands,14.8688,5136035,28584.61,16343010,2.2545,290.3042,2.3112,2.3006,2.3151,4487.547,2151243
Training.gain.without.mixed_forests,2.3084,2.3486,2.3099,2.3302,2.2753,2.3296,2.3207,2.3129,2.3375,2.3714,2.3244
Training.gain.without.open_shrublands,13.1786,10465420,2253738,10831.57,2.2962,6586492,2.3377,2.3309,2.3488,163237300,18255380
Training.gain.without.precipitation_seasonality,390880.9854,12354.7672,333764.6624,278160.2148,2.2312,55000.6884,2.2813,2.265,2.29,326217.1605,139638.7546
Training.gain.without.savannas,19.0011,199407.8467,16623.9551,81130.0965,2.3078,373.5866,2.3594,2.3482,2.3657,18622.1572,31618.6024
Training.gain.without.snow_ice,18.5482,69407.32,472.3376,3977.857,2.3105,57685.53,2.3636,2.3434,2.3626,15283810,1541538
Training.gain.without.temperature_seasonality,18.5638,100745.1776,2214.1152,865474.0917,2.0587,247291.6411,2.0837,2.075,2.0895,2627711.4817,384346.3378
Training.gain.without.urban_areas,14.225,30649.707,319576.9967,191607.8776,2.2537,476643.731,2.2942,2.2727,2.2982,10711.2685,102921.2925
Training.gain.without.wetlands,48534.3077,65317.9873,41.6576,15496.9919,2.2998,337267.4823,2.3491,2.342,2.3626,798.2692,46746.6049
Training.gain.without.woody_savannas,64.9932,10652.4693,3788570.6937,25832.4364,2.2513,53662.6167,2.2978,2.2919,2.3101,204446.0849,408323.8445
Training.gain.with.only.annual_mean_temperature,1.0323,1.0455,1.0331,1.0531,1.0346,1.0505,1.0446,1.0183,1.0487,1.0368,1.0398
Training.gain.with.only.annual_precipitation,0.8131,0.8078,0.8208,0.8377,0.8195,0.8194,0.8082,0.8107,0.8103,0.8293,0.8177
Training.gain.with.only.barren_vegetation,0.448,0.4424,0.4491,0.4424,0.4529,0.4451,0.4478,0.4444,0.4505,0.4491,0.4472
Training.gain.with.only.closed_shrubland,0.021,0.0249,0.0227,0.0189,0.0104,0.0185,0.0187,0.0206,0.0237,0.0227,0.0202
Training.gain.with.only.croplands,0.8029,0.8246,0.8284,0.8067,0.8261,0.826,0.8303,0.8257,0.828,0.8164,0.8215
Training.gain.with.only.deciduous_broadleaf_forest,0.0168,0.0123,0.0186,0.0131,0.0222,0.0115,0.0124,0.0137,0.0168,0.0078,0.0145
Training.gain.with.only.deciduous_needleleaf_forest,0.0374,0.0374,0.0374,0.0374,0.0402,0.0374,0.0374,0.0374,0.0374,0.0402,0.038
Training.gain.with.only.evergreen_broadleaf_forest,0.0027,0.0058,0.0049,0.0058,0.0025,0.0058,0.0025,0.0025,0.0017,0.0049,0.0039
Training.gain.with.only.evergreen_needleleaf_forest,0.2207,0.2254,0.22,0.2151,0.2247,0.2432,0.2424,0.2451,0.2267,0.2111,0.2274
Training.gain.with.only.grasslands,0.1352,0.1311,0.1239,0.1211,0.1276,0.1386,0.1284,0.1381,0.1293,0.1253,0.1299
Training.gain.with.only.mixed_forests,0.6273,0.6155,0.6252,0.6336,0.636,0.636,0.6176,0.6183,0.6378,0.5989,0.6246
Training.gain.with.only.open_shrublands,0.0621,0.0608,0.0663,0.0735,0.0713,0.0681,0.0682,0.0621,0.0638,0.0723,0.0668
Training.gain.with.only.precipitation_seasonality,0.4336,0.4339,0.4413,0.451,0.4487,0.4382,0.4449,0.4435,0.4441,0.4482,0.4427
Training.gain.with.only.savannas,0.0056,0.007,0.0021,0.0073,0.0035,0.0046,0.0067,0.0048,0.0054,0.0061,0.0053
Training.gain.with.only.snow_ice,0.0154,0.0154,0.0154,0.0154,0.0189,0.0154,0.0189,0.0154,0.0154,0.0154,0.0161
Training.gain.with.only.temperature_seasonality,0.7469,0.7731,0.7645,0.7721,0.7372,0.7583,0.757,0.7469,0.77,0.7786,0.7605
Training.gain.with.only.urban_areas,0.3946,0.4205,0.4307,0.429,0.4299,0.4435,0.4382,0.4245,0.4365,0.4196,0.4267
Training.gain.with.only.wetlands,0.0563,0.0471,0.0498,0.0585,0.0552,0.0529,0.055,0.051,0.0522,0.0568,0.0535
Training.gain.with.only.woody_savannas,0.1304,0.1244,0.1263,0.1165,0.1171,0.1223,0.1242,0.134,0.1301,0.1225,0.1248
Test.gain.without.annual_mean_temperature,4140.739,-2861.4749,1588896.496,-12362.6946,2.595,-19210.1845,2.3849,2.4857,2.4049,76.9082,155868.966
Test.gain.without.annual_precipitation,125030.2,-15770310,165262.5,-5298.159,2.4407,2.3306,2.3681,2.451,2.3343,8051.483,-1547725
Test.gain.without.barren_vegetation,26.8603,-2445.9719,1075380.4816,-44093.8251,2.6774,-10649.2079,2.4739,2.5721,2.4887,65035.5024,108326.4052
Test.gain.without.closed_shrubland,65.8969,-4170.9639,43719.5305,-441.1736,2.6773,-3470.224,2.4899,2.5787,2.4728,3057.5491,3877.0834
Test.gain.without.croplands,24.3429,-2970.5998,4255.0354,-3522532.385,2.6404,-1310.2819,2.4579,2.5497,2.4378,7538.7693,-351498.5033
Test.gain.without.deciduous_broadleaf_forest,399.875,-832083.9813,88838.7011,-32554.8789,2.6621,-350.6556,2.4757,2.5737,2.4507,48.9091,-77569.1868
Test.gain.without.deciduous_needleleaf_forest,48.0358,2.3852,1769.156,-7872.2965,2.6722,-8685.2278,2.488,2.5707,2.4752,565.0196,-1416.2722
Test.gain.without.evergreen_broadleaf_forest,2.5811,2.4732,2.6068,2.5306,2.623,2.4776,2.4659,2.5333,2.4555,2.3701,2.5117
Test.gain.without.evergreen_needleleaf_forest,66.393,-12707.8763,64668.6964,2.4419,2.6417,2.4176,2.4422,2.5479,2.4642,25.5395,5206.7708
Test.gain.without.grasslands,46.9815,-18459.0378,1332.881,-1691132.5311,2.6242,2.3808,2.4337,2.5064,2.4141,1167.4446,-170703.1903
Test.gain.without.mixed_forests,2.5738,2.4389,2.5463,2.4715,2.5964,2.4435,2.4132,2.4941,2.3956,2.3303,2.4704
Test.gain.without.open_shrublands,40.4886,-922729.344,481623.7651,-6023.3608,2.6219,-29867.4011,2.4651,2.5485,2.4469,42077990.2878,4160104.4518
Test.gain.without.precipitation_seasonality,1436827.179,2.3107,72196.862,-17708.6051,2.5115,-867.0834,2.3529,2.4369,2.3322,73343.7085,156380.4005
Test.gain.without.savannas,61.116,-12998.1147,3875.6241,-1213.161,2.6547,2.4215,2.4808,2.5784,2.4803,4353.3099,-590.861
Test.gain.without.snow_ice,59.6717,-3404.0687,125.7393,-31.6899,2.6675,-23218.7582,2.491,2.5746,2.479,1392456.6504,136599.7757
Test.gain.without.temperature_seasonality,60.1436,-28227.7782,565.7733,-47993.5684,2.3003,-11129.1333,2.182,2.2824,2.2082,609631.3078,52291.5718
Test.gain.without.urban_areas,52.165,-2082.4404,64743.4316,-1284.1984,2.5882,-4909.1388,2.4124,2.5114,2.4275,2695.3427,5922.5101
Test.gain.without.wetlands,174460.0791,-72.7904,12.7909,-1718.8335,2.6548,-10246.5147,2.4939,2.5565,2.464,207.8356,16265.2736
Test.gain.without.woody_savannas,239.2759,-319.02,567479.3474,-1730.5103,2.6362,-4353.2544,2.4556,2.5311,2.4568,44414.8828,60574.0801
Test.gain.with.only.annual_mean_temperature,1.1017,1.0537,1.1031,1.0182,1.092,1.0368,1.0544,1.153,1.0371,1.0855,1.0736
Test.gain.with.only.annual_precipitation,0.8556,0.8801,0.8203,0.7606,0.8326,0.8376,0.8806,0.8678,0.8691,0.792,0.8396
Test.gain.with.only.barren_vegetation,0.4454,0.4669,0.4344,0.4669,0.4251,0.4567,0.4452,0.4598,0.4355,0.4344,0.447
Test.gain.with.only.closed_shrubland,0.0218,0.0044,0.0116,0.0306,0.0571,0.0314,0.0272,0.0191,0.0106,0.0133,0.0227
