,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,15,15,15,15,15,15,15,15,15,15,15
Regularized.training.gain,3.4791,3.5284,3.8636,3.6694,3.732,3.9295,3.4354,3.6742,3.7252,3.9831,3.702
Unregularized.training.gain,4.9874,5.2086,5.7153,5.2543,5.3115,5.7681,5.0539,5.5505,5.5021,5.6932,5.4045
Iterations,1040,920,1340,800,600,620,820,800,860,560,836
Training.AUC,0.9975,0.9977,0.9982,0.9977,0.9981,0.9985,0.9974,0.9976,0.9963,0.9976,0.9977
X.Test.samples,3,3,3,3,3,3,3,3,3,3,3
Test.gain,4.9188,4.8737,3.2161,3.6891,1.7369,2.5082,5.4382,4.3983,3.8618,0.9478,3.5589
Test.AUC,0.9987,0.9987,0.9682,0.9918,0.9625,0.9725,0.9995,0.9968,0.9857,0.8681,0.9743
AUC.Standard.Deviation,6e-04,5e-04,0.0251,0.0045,0.0158,0.0184,4e-04,0.0012,0.0112,0.1058,0.0183
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,1.5368,2.3369,3.2996,4.7445,6.7889,6.5851,8.4102,8.3606,8.147,10.886,6.1096
annual_precipitation.contribution,18.7503,17.5535,22.7477,15.5897,14.5352,19.1292,14.3635,14.3533,13.4603,11.0746,16.1557
barren_vegetation.contribution,1.2308,1.1418,0.4923,1.1822,1.2287,0.5505,1.029,1.0721,1.1045,1.3393,1.0371
closed_shrubland.contribution,1.0794,1.029,1.0647,1.2815,1.1287,1.2263,0.9827,0.9816,1.0531,0.3248,1.0152
croplands.contribution,1.9664,1.6888,1.2803,1.8026,1.6105,1.6772,1.269,1.2284,1.2998,1.278,1.5101
deciduous_broadleaf_forest.contribution,0.5027,1.0743,1.5104,0.8842,0.798,1.4465,1.4239,1.4606,1.8066,1.8228,1.273
deciduous_needleleaf_forest.contribution,0.0796,0.1391,0.1846,0.2999,0.4533,0.5176,0.6133,0.6266,0.6191,0.5959,0.4129
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.2312,0.004,0.022,0.0362,0.0804,0.0372,0.0736,0.2821,0.0772,0.0879,0.0932
grasslands.contribution,45.0866,42.7315,38.9755,37.8714,35.6466,31.8453,33.0559,32.306,32.7697,27.9065,35.8195
mixed_forests.contribution,3.5415,1.6824,2.1159,3.3839,3.8441,2.6241,3.1525,2.8644,1.4988,2.0501,2.6758
open_shrublands.contribution,5.39,6.0673,6.6489,10.5189,10.2548,10.0277,9.5223,9.3417,10.0693,10.712,8.8553
precipitation_seasonality.contribution,4.8202,4.8461,5.944,3.5938,3.1989,5.1516,3.8629,3.7421,4.9717,6.2401,4.6371
savannas.contribution,0.0909,0.0667,0.0585,0.0026,0.0492,0,0.0322,0.0601,0.0215,0,0.0382
snow_ice.contribution,1.0782,1.4771,2.2937,2.3851,2.6874,2.9524,3.0875,3.3187,3.7079,4.1687,2.7157
temperature_seasonality.contribution,12.6532,14.8875,8.9885,10.9802,11.6665,9.3515,11.3644,12.087,11.0358,12.8906,11.5905
urban_areas.contribution,0.069,0.1637,0.2035,0.2331,0.3128,0.3265,0.2537,0.3574,0.2271,0.2984,0.2445
wetlands.contribution,0.3966,0.2736,0.3309,0.3888,0.2861,0.3401,0.3407,0.2606,0.355,0.2319,0.3204
