,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,454,454,454,454,454,454,454,454,454,454,454
Regularized.training.gain,137.0543,121.0564,153.2538,103.4026,117.9146,1055647.4618,116.3596,96.5275,179.8407,134.4629,105680.7334
Unregularized.training.gain,212.4828,196.041,230.2389,166.6533,188.0226,1934720.1476,181.8665,156.7579,279.7611,207.7105,193653.9682
Iterations,10000,10000,10000,10000,10000,340,10000,10000,10000,10000,9034
Training.AUC,0.9788,0.9775,0.9785,0.976,0.9788,0.816,0.9766,0.976,0.9762,0.9811,0.9615
X.Test.samples,113,113,113,113,113,113,113,113,113,113,113
Test.gain,200.4793,222.1235,144.6026,203.0697,191.602,1415833.0792,155.2437,179.615,247.0998,141.8263,141751.8741
Test.AUC,0.97,0.982,0.9582,0.9831,0.9818,0.7698,0.9793,0.9832,0.9526,0.971,0.9531
AUC.Standard.Deviation,0.0086,0.0044,0.0111,0.0045,0.0046,0.0235,0.005,0.0042,0.0134,0.0078,0.0087
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,6.1704,6.1118,5.8306,4.1991,4.5753,1.2116,0.0142,0.0116,0.0101,0.0144,2.8149
annual_precipitation.contribution,8.6916,8.737,9.2983,8.2271,8.3715,7.4006,11.1584,11.1544,11.1443,11.151,9.5334
barren_vegetation.contribution,0.5553,0.4877,1.6368,0.9269,0.9034,0.7857,0.0036,0.002,0.0013,0.0044,0.5307
closed_shrubland.contribution,1.1229,0.3999,1.6578,0.5229,1.1408,0.221,0.002,7e-04,0.0044,0.0029,0.5075
croplands.contribution,9.0441,9.9206,7.6629,7.4188,8.5617,5.9229,0.0258,0.0276,0.0374,0.0373,4.8659
deciduous_broadleaf_forest.contribution,2.5104,2.788,2.2478,3.9741,3.2817,1.0732,2.8809,2.8832,2.8801,2.8828,2.7402
deciduous_needleleaf_forest.contribution,0.1935,0.0842,0.3258,0.7591,1.5737,0.2496,1.1684,1.1659,1.1634,1.1634,0.7847
evergreen_broadleaf_forest.contribution,0.0069,0.0666,0.0518,0.0978,0.0839,0.0035,3e-04,3e-04,4e-04,4e-04,0.0312
