,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,95,95,95,95,95,95,95,95,95,95,95
Regularized.training.gain,4.8476,5.9167,4.3766,5.798,4.5274,4.6211,5.0592,4.8392,6.5849,5.6124,5.2183
Unregularized.training.gain,7.9209,22.0653,5.9439,19.2912,6.3039,6.2571,11.0652,7.4068,24.0352,16.0866,12.6376
Iterations,5960,10000,5000,10000,5540,5360,10000,5360,10000,10000,7722
Training.AUC,0.9917,0.9803,0.9902,0.9675,0.9944,0.9946,0.9852,0.9935,0.9741,0.9801,0.9852
X.Test.samples,23,23,23,23,23,23,23,23,23,23,23
Test.gain,3.7344,4.873,5.4561,5.3996,5.6314,4.478,1.2256,4.1783,2.6528,4.1639,4.1793
Test.AUC,0.9638,0.9754,0.9951,0.9922,0.9902,0.9803,0.9498,0.9803,0.9562,0.9846,0.9768
AUC.Standard.Deviation,0.0128,0.0114,0.0023,0.0031,0.0062,0.0135,0.0195,0.0105,0.0183,0.0066,0.0104
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,4.6897,2.6794,2.8545,2.8039,3.1321,2.9184,2.636,2.9089,2.8137,2.6874,3.0124
annual_precipitation.contribution,18.9303,13.2017,12.3861,9.8973,8.4676,10.2967,9.9056,7.4502,7.9232,6.4238,10.4882
barren_vegetation.contribution,0.434,0.9034,0.2352,0.6118,0.6347,0.8203,0.6749,0.6506,0.6433,0.5602,0.6168
closed_shrubland.contribution,0.1534,0.0066,0.1709,0.0122,0.0071,0.0076,0.0993,0.005,0.0084,0.0138,0.0484
croplands.contribution,2.8693,3.5942,4.0853,3.7846,3.7994,3.8206,3.73,3.5661,3.9146,4.0159,3.718
deciduous_broadleaf_forest.contribution,2.7328,4.1963,3.9577,4.1301,4.5851,4.6682,5.3548,5.4042,5.2123,5.3802,4.5622
deciduous_needleleaf_forest.contribution,0.0029,0.015,6e-04,0,8e-04,0.0016,0,0,0.0211,0.0025,0.0044
evergreen_broadleaf_forest.contribution,0,0.5575,0.3933,0.3624,0.3355,0.3601,0.3422,0.3477,0.4089,0.3415,0.3449
evergreen_needleleaf_forest.contribution,15.5834,11.3271,9.3279,7.6221,7.9021,7.2283,7.3427,7.1839,7.0292,6.853,8.74
grasslands.contribution,11.8099,17.7309,20.3264,21.1388,23.2981,23.3826,23.9606,25.5272,24.4353,25.784,21.7394
mixed_forests.contribution,18.495,22.793,25.1312,25.5268,26.345,26.1672,25.1599,27.1183,25.5146,26.122,24.8373
open_shrublands.contribution,3.9746,3.3056,3.0651,2.1473,2.0321,2.6479,3.025,2.849,2.843,2.3689,2.8258
precipitation_seasonality.contribution,1.4696,3.1966,3.2979,4.1974,4.0418,3.7974,3.7129,3.7762,4.3759,4.3701,3.6236
savannas.contribution,0.1093,0.4183,0.1922,0.2061,0.1597,0.1129,0.1673,0.207,0.1719,0.1404,0.1885
snow_ice.contribution,1.7672,5.0934,4.1163,7.991,6.478,5.6745,5.6994,5.3036,7.2286,7.2669,5.6619
temperature_seasonality.contribution,10.9764,6.4301,5.6956,5.1816,4.5697,4.1515,4.2298,4.205,3.6438,3.926,5.3009
urban_areas.contribution,0.4534,0.6636,0.7558,0.8417,0.8567,0.9157,1.0655,1.0324,1.154,1.2008,0.894
wetlands.contribution,1.5234,1.6863,1.5321,1.2689,1.263,0.976,0.8257,0.8677,0.6785,0.6314,1.1253
woody_savannas.contribution,4.0253,2.2009,2.4757,2.2759,2.0916,2.0523,2.0686,1.597,1.9799,1.9112,2.2678
annual_mean_temperature.permutation.importance,15.7437,13.0848,13.0573,11.8628,17.0143,17.0149,7.4638,12.0162,19.7396,15.1785,14.2176
annual_precipitation.permutation.importance,5.6825,3.3207,2.5079,3.3427,2.9854,6.9461,5.7762,3.5932,5.0292,5.4956,4.468
barren_vegetation.permutation.importance,3.3593,1.0109,1.4664,1.0312,1.4354,1.7587,0.5988,3.614,0.649,7.7437,2.2667
closed_shrubland.permutation.importance,0.0016,0,0,0,9e-04,0.0099,0,0,0,0.0219,0.0034
croplands.permutation.importance,6.7135,2.5537,13.0642,6.2585,13.1045,5.9284,7.175,5.2655,5.5185,7.1269,7.2709
deciduous_broadleaf_forest.permutation.importance,1.2697,0.8717,2.4505,1.8736,0.8274,2.8803,2.0951,0.8725,0.6366,0.5538,1.4331
deciduous_needleleaf_forest.permutation.importance,0.0056,0.0032,0,0,0.005,0.0074,0,0,0.0508,0,0.0072
evergreen_broadleaf_forest.permutation.importance,0,0.1751,0.04,0.0632,0.0567,0.0683,0.1924,0.0568,0.1004,0.0864,0.0839
evergreen_needleleaf_forest.permutation.importance,4.1276,3.8957,1.7659,3.9459,1.6452,1.4064,4.0807,1.8968,3.8135,4.7811,3.1359
grasslands.permutation.importance,11.2666,17.8813,9.0118,10.1749,9.9306,6.7051,15.1897,11.4987,13.1875,13.6465,11.8493
mixed_forests.permutation.importance,12.5771,14.2775,11.1221,18.602,11.577,14.4923,18.6172,15.8345,12.4912,10.19,13.9781
open_shrublands.permutation.importance,9.9058,11.1039,10.3464,10.9213,6.1308,12.9816,10.4987,13.5575,2.7629,2.5563,9.0765
precipitation_seasonality.permutation.importance,5.6172,12.6494,11.8938,11.7633,8.5371,5.4903,5.5049,7.1349,11.2519,10.2458,9.0089
savannas.permutation.importance,0.0905,0.2857,0.1588,0.1701,0.0345,0.0407,0.839,0.3736,0.3211,0.2684,0.2582
snow_ice.permutation.importance,0.2185,0.5055,1.826,0,3.4727,0.0586,1.0375,0.0732,0,0,0.7192
temperature_seasonality.permutation.importance,22.0253,17.0062,21.1806,18.1938,22.6803,23.9005,20.4043,24.142,21.6928,21.4295,21.2655
urban_areas.permutation.importance,0,0.4466,0.0551,0,0.0355,0.0486,0,0.0243,0.0265,0,0.0637
wetlands.permutation.importance,0.0069,0.0148,6e-04,0.0635,0.006,0,0.0136,0,0,0,0.0105
woody_savannas.permutation.importance,1.3886,0.9132,0.0525,1.7331,0.5207,0.262,0.5131,0.0463,2.7285,0.6756,0.8834
Training.gain.without.annual_mean_temperature,4.5585,5.3829,4.2039,5.5177,4.2865,4.3924,4.7956,4.6033,6.4132,5.439,4.9593
Training.gain.without.annual_precipitation,4.515,5.3677,4.1984,5.7127,4.3228,4.3169,4.562,4.6044,6.2325,5.8637,4.9696
Training.gain.without.barren_vegetation,4.7798,5.1341,4.3241,5.3173,4.4887,4.5943,5.0295,4.7613,5.8658,5.3715,4.9666
Training.gain.without.closed_shrubland,4.8374,5.7884,4.3765,6.2829,4.5273,4.6182,5.0445,4.8398,6.8548,5.5936,5.2763
Training.gain.without.croplands,4.4864,5.0967,4.2064,5.2422,4.2991,4.3924,4.5901,4.5843,5.5171,5.2101,4.7625
Training.gain.without.deciduous_broadleaf_forest,4.5165,5.2699,4.2628,5.302,4.2963,4.2931,4.4975,4.5816,6.1654,5.5023,4.8687
Training.gain.without.deciduous_needleleaf_forest,4.8464,5.5143,4.3744,6.3589,4.5254,4.6186,5.057,4.8409,6.4303,5.5813,5.2148
Training.gain.without.evergreen_broadleaf_forest,4.8476,6.2835,4.3422,5.8993,4.4832,4.5754,4.928,4.7902,6.5795,5.7479,5.2477
Training.gain.without.evergreen_needleleaf_forest,4.4188,4.7943,4.2383,4.5222,4.2698,4.3481,4.4906,4.5507,4.6668,4.6328,4.4932
Training.gain.without.grasslands,4.6584,4.4388,4.2586,4.414,4.4047,4.5391,4.7522,4.6481,4.7328,4.6122,4.5459
Training.gain.without.mixed_forests,4.4999,4.2911,4.1443,4.1901,4.2438,4.3768,4.5755,4.5269,4.4882,4.4942,4.3831
Training.gain.without.open_shrublands,4.6537,5.8976,4.301,5.8637,4.4695,4.4298,4.6091,4.6903,6.0824,5.5911,5.0588
Training.gain.without.precipitation_seasonality,4.645,4.3828,4.1481,4.2671,4.3179,4.4761,4.743,4.6429,4.6248,4.5715,4.4819
Training.gain.without.savannas,4.815,5.7976,4.3705,5.6589,4.5216,4.6179,4.9642,4.8111,6.3511,5.6394,5.1547
Training.gain.without.snow_ice,4.532,4.4248,4.1794,4.3223,4.3349,4.5096,4.5651,4.5786,4.5191,4.5005,4.4466
Training.gain.without.temperature_seasonality,4.5272,5.2967,4.1533,5.3816,4.2228,4.3489,4.528,4.5545,6.2783,5.2985,4.859
Training.gain.without.urban_areas,4.817,5.2841,4.3439,5.0099,4.4886,4.5792,4.8727,4.8051,5.3016,5.3032,4.8805
Training.gain.without.wetlands,4.8464,5.693,4.3723,5.9432,4.5242,4.6212,5.0562,4.8404,6.3947,5.5872,5.1879
Training.gain.without.woody_savannas,4.6645,4.6352,4.2962,4.5486,4.4246,4.5161,4.7043,4.6472,4.8833,4.7098,4.603
Training.gain.with.only.annual_mean_temperature,0.8076,0.8012,0.8042,0.7851,0.8348,0.8285,0.8247,0.8272,0.8742,0.8231,0.8211
Training.gain.with.only.annual_precipitation,2.0049,1.9533,1.9498,1.9294,1.9379,2.0709,2.1033,1.9936,2.0102,1.958,1.9911
Training.gain.with.only.barren_vegetation,0.4176,0.4173,0.4239,0.4176,0.4176,0.4173,0.4176,0.4176,0.4173,0.4173,0.4181
Training.gain.with.only.closed_shrubland,0.0069,0.0011,0.0069,0.0011,0.0011,0.0011,0.0069,0.0011,0.0011,0.0011,0.0028
Training.gain.with.only.croplands,0.8061,0.7319,0.8361,0.8015,0.8577,0.8406,0.77,0.8638,0.8135,0.8372,0.8158
Training.gain.with.only.deciduous_broadleaf_forest,0.075,0.0857,0.0565,0.0952,0.0779,0.0958,0.0659,0.049,0.0538,0.0483,0.0703
Training.gain.with.only.deciduous_needleleaf_forest,0.0152,0.0152,0.0152,0.0277,0.0152,0.0152,0.0277,0.0277,0.0152,0.0152,0.019
Training.gain.with.only.evergreen_broadleaf_forest,0,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0023
Training.gain.with.only.evergreen_needleleaf_forest,1.285,1.1847,1.1744,1.1677,1.2366,1.2402,1.2268,1.3267,1.299,1.3061,1.2447
Training.gain.with.only.grasslands,0.7672,0.8731,0.7001,0.7656,0.7763,0.7594,0.8344,0.8631,0.8055,0.8754,0.802
Training.gain.with.only.mixed_forests,1.2818,1.288,1.2452,1.3098,1.3307,1.3793,1.3186,1.3319,1.2851,1.2357,1.3006
Training.gain.with.only.open_shrublands,0.4817,0.4624,0.4612,0.3971,0.4016,0.4903,0.5287,0.5132,0.5329,0.5036,0.4773
Training.gain.with.only.precipitation_seasonality,0.649,0.6302,0.5842,0.6232,0.5995,0.5967,0.6691,0.6521,0.6098,0.6371,0.6251
Training.gain.with.only.savannas,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
Training.gain.with.only.snow_ice,0.2015,0.2193,0.1724,0.2202,0.1719,0.1774,0.1792,0.2227,0.196,0.2715,0.2032
Training.gain.with.only.temperature_seasonality,1.0751,1.0612,1.051,1.0779,1.0814,1.0785,1.0998,1.1274,1.1229,1.1143,1.089
Training.gain.with.only.urban_areas,0.0663,0.0391,0.0872,0.0619,0.0617,0.0934,0.081,0.0377,0.0345,0.0467,0.0609
Training.gain.with.only.wetlands,0.0774,0.0774,0.0774,0.0774,0.0774,0.0774,0.0774,0.0774,0.0774,0.0774,0.0774
Training.gain.with.only.woody_savannas,0.0771,0.059,0.07,0.0527,0.0604,0.0564,0.0857,0.0493,0.0525,0.0542,0.0617
