,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,37,37,37,37,37,37,37,37,37,37,37
Regularized.training.gain,4.6038,4.4553,4.4926,4.3741,4.7397,4.6658,4.5081,4.6396,4.4043,4.5681,4.5451
Unregularized.training.gain,5.6911,5.2759,5.5212,5.3953,6.7384,5.9079,5.63,6.0626,5.4856,5.7804,5.7488
Iterations,1480,900,1040,1040,1440,1220,1120,1220,1100,1260,1182
Training.AUC,0.9957,0.9959,0.996,0.9953,0.9969,0.9977,0.9954,0.9955,0.9958,0.9964,0.9961
X.Test.samples,9,9,9,9,9,9,9,9,9,9,9
Test.gain,3.9709,4.7845,4.52,5.0818,3.0573,3.9913,4.6825,4.2505,5.1863,4.2841,4.3809
Test.AUC,0.9941,0.997,0.9958,0.9972,0.9854,0.9851,0.9962,0.994,0.9977,0.9902,0.9933
AUC.Standard.Deviation,0.0018,0.0011,0.0013,0.0013,0.0065,0.0106,0.0015,0.0022,8e-04,0.0067,0.0034
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,1.3965,1.6899,2.8462,4.3334,3.9914,5.9323,5.6228,6.6289,6.986,6.9941,4.6421
annual_precipitation.contribution,39.5341,40.5088,35.8551,38.736,29.4439,32.5887,28.4989,28.6254,28.1043,27.5033,32.9399
barren_vegetation.contribution,0.3689,0.481,0.2295,0.2616,0.0329,0.2426,0.2304,0.3102,0.1851,0.1884,0.2531
closed_shrubland.contribution,0,0,0,0,0,0,0,0,0,0,0
croplands.contribution,1.2467,0.4127,0.4023,2.0388,2.1129,2.9091,1.2821,2.6335,2.4493,1.2078,1.6695
deciduous_broadleaf_forest.contribution,0.9179,1.1218,0.8062,1.17,1.2064,0.8801,0.7972,0.8834,0.9465,1.0658,0.9795
deciduous_needleleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,10.9167,7.9578,11.4562,8.5297,13.4629,13.7193,12.2482,13.4781,12.2744,13.8994,11.7943
grasslands.contribution,5.0081,8.9526,4.0255,7.0566,7.388,7.8219,8.4095,6.1364,6.5037,6.9018,6.8204
mixed_forests.contribution,22.91,20.3992,23.0823,20.8921,20.5295,14.9858,20.238,18.0567,20.0733,17.8503,19.9017
open_shrublands.contribution,3.6982,2.7646,4.9429,2.7542,4.0354,5.0117,5.2153,5.1317,4.4301,4.4283,4.2412
precipitation_seasonality.contribution,1.8393,3.7801,3.5474,4.3776,3.7747,3.8159,4.504,4.9425,5.3335,5.9173,4.1832
savannas.contribution,0.109,0.0424,0.0406,0.1293,0.0869,0.1359,0.2627,0.2119,0.0767,0.1653,0.1261
snow_ice.contribution,6.0642,3.4203,3.4814,2.2058,4.393,1.758,2.3238,2.0137,1.5372,2.8148,3.0012
temperature_seasonality.contribution,3.2469,4.9566,5.4304,5.2588,5.9908,7.1404,6.6664,8.081,7.9048,8.1875,6.2864
urban_areas.contribution,0.134,0.0089,0.0256,0.0427,0.0292,0.0317,0.0767,0.0345,0.0269,0.0562,0.0466
wetlands.contribution,0.1573,0.0057,0.2121,0.1601,1.1351,0,0.809,0.1325,0.0373,0.048,0.2697
woody_savannas.contribution,2.4525,3.4976,3.6164,2.0531,2.3871,3.0266,2.8149,2.6996,3.1307,2.7716,2.845
annual_mean_temperature.permutation.importance,22.196,24.1855,37.5307,39.7655,25.2768,43.4083,34.7823,43.9838,30.0756,35.0517,33.6256
annual_precipitation.permutation.importance,22.3249,13.0018,5.8249,19.1445,4.4276,6.1237,9.7458,4.6657,7.4128,3.4929,9.6165
