,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818
Regularized.training.gain,2.8807,2.9059,2.8308,2.843,2.8709,2.8512,2.9307,2.8969,2.8225,2.8451,2.8678
Unregularized.training.gain,3.6129,3.6996,3.5011,3.5377,3.5968,3.5527,3.7446,3.6453,3.4647,3.5302,3.5886
Iterations,5180,6440,4980,5480,4940,5120,5780,5300,4520,5480,5322
Training.AUC,0.9526,0.9523,0.9544,0.9536,0.9546,0.9524,0.9519,0.9533,0.9541,0.9534,0.9533
X.Test.samples,704,704,704,704,704,704,704,704,704,704,704
Test.gain,3.4358,3.3984,3.5713,3.5655,3.4783,3.4983,3.3024,3.3822,3.5561,3.5422,3.473
Test.AUC,0.9516,0.9488,0.9513,0.9532,0.9502,0.9543,0.947,0.9499,0.9551,0.9507,0.9512
AUC.Standard.Deviation,0.0028,0.0029,0.0029,0.0029,0.003,0.0029,0.0031,0.0029,0.0026,0.0028,0.0029
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,11.9721,10.8876,10.1304,6.5222,9.6014,8.4834,8.1571,7.8535,4.9439,6.6532,8.5205
annual_precipitation.contribution,12.8288,12.6959,12.6152,11.9642,10.9103,11.4071,11.3706,11.0153,10.6022,10.9198,11.6329
barren_vegetation.contribution,0.4062,0.4451,0.3839,0.8662,0.8959,0.8033,0.9065,0.974,1.3793,1.319,0.8379
closed_shrubland.contribution,0.0236,0.1305,0.0393,0.0509,0.045,0,0.0127,0.0977,0.0333,0.0492,0.0482
croplands.contribution,1.9267,1.7957,2.0165,2.0956,1.8736,1.9984,2.0042,2.1033,2.2254,2.2024,2.0242
deciduous_broadleaf_forest.contribution,0.9418,1.1212,1.0536,1.0449,0.9581,1.0926,0.7656,0.7073,0.8711,0.7761,0.9332
deciduous_needleleaf_forest.contribution,0.0042,0.0014,0.002,7e-04,0.003,1e-04,1e-04,5e-04,3e-04,0.0055,0.0018
evergreen_broadleaf_forest.contribution,0.0143,0.0264,0.0335,0.0124,0.0222,0.0137,0.0285,0.0012,0.0151,0.002,0.0169
evergreen_needleleaf_forest.contribution,0.9996,1.2618,1.3101,1.3514,1.6432,1.8294,1.8655,2.1021,2.1032,2.1633,1.663
grasslands.contribution,2.9017,3.1664,3.1953,4.0066,3.4185,3.9091,3.8637,3.9974,4.4949,4.2198,3.7173
