,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
Regularized.training.gain,2.0353,2.0452,2.5617,2.0552,2.0269,2.0303,2.0543,2.0399,2.0291,2.0323,2.091
Unregularized.training.gain,2.143,2.1498,12.7838,2.1693,2.132,2.1539,2.1625,2.1526,2.133,2.1453,3.2125
Iterations,1000,1460,10000,1220,1300,1340,1340,1260,1200,1480,2160
Training.AUC,0.9535,0.9543,0.9527,0.9546,0.9533,0.9532,0.9537,0.9536,0.9532,0.9534,0.9536
X.Test.samples,650,650,650,650,650,650,650,650,650,650,650
Test.gain,2.1274,2.0874,-2.7944,2.0587,2.1635,2.1585,2.0514,2.122,2.156,2.1505,1.6281
Test.AUC,0.9536,0.9506,0.9522,0.9501,0.9547,0.9546,0.9506,0.9534,0.9542,0.9547,0.9529
AUC.Standard.Deviation,0.0025,0.0027,0.0028,0.0027,0.0024,0.0025,0.0026,0.0025,0.0025,0.0025,0.0026
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,2.0455,5.2597,4.0654,4.8123,4.6848,2.8867,3.296,5.0543,5.0034,3.7389,4.0847
closed_shrubland.contribution,0.0143,0.0424,0.0383,0.0361,0.1024,0.051,0.0244,0.0234,0.0403,0.0854,0.0458
croplands.contribution,3.7887,3.6625,3.1043,4.9655,5.9958,5.7114,5.7331,5.15,4.7805,5.6609,4.8553
deciduous_broadleaf_forest.contribution,1.634,1.7255,1.3135,1.2218,1.0923,1.6286,1.4077,1.412,1.2233,1.1548,1.3814
deciduous_needleleaf_forest.contribution,0.0156,0.0285,0.0121,0.0347,0.0314,0.0343,0.015,0.0379,0.0295,0.0251,0.0264
evergreen_broadleaf_forest.contribution,0.1995,0.1961,0.1575,0.2776,0.1719,0.1295,0.2149,0.1122,0.1519,0.1394,0.175
evergreen_needleleaf_forest.contribution,0.9841,1.9746,2.2752,3.6045,3.8545,4.3093,4.7102,4.7081,5.1402,5.3681,3.6929
grasslands.contribution,0.592,0.7434,0.7607,0.9333,0.902,0.9213,1.0122,0.9124,0.8203,0.9026,0.85
mixed_forests.contribution,33.5975,32.7857,26.2479,32.1233,31.3206,27.8521,29.7265,26.4748,26.1524,24.1753,29.0456
open_shrublands.contribution,0.752,0.542,0.4407,0.6283,0.7365,1.0532,1.1134,1.0015,0.9926,1.0498,0.831
precipitation_of_wettest_quarter.1.contribution,7.0997,2.2176,1.796,1.415,1.3721,6.3808,2.9213,1.2847,1.7819,5.8257,3.2095
precipitation_of_wettest_quarter.2.contribution,28.4274,26.4893,21.8118,27.6801,27.1903,26.9115,24.9406,26.5299,27.305,27.626,26.4912
precipitation_of_wettest_quarter.3.contribution,11.1222,10.5022,18.0313,9.7539,9.2111,10.2164,8.1573,7.479,7.2049,8.0585,9.9737
precipitation_of_wettest_quarter.4.contribution,2.8453,7.1067,5.5931,6.8711,6.7492,3.5392,7.6044,12.2251,12.2652,9.4171,7.4216
savannas.contribution,0.0494,0.0844,0.0045,0.1163,0.0214,0.0821,0.0803,0.079,0.0264,0.096,0.064
snow_ice.contribution,0.1295,0.0642,0.0158,0.0293,0.0712,0.0702,0.0364,0.0415,0.0511,0.0536,0.0563
urban_areas.contribution,5.9257,5.6533,13.4846,4.727,5.7227,7.7349,8.3815,7.0628,6.2914,6.1215,7.1105
wetlands.contribution,0.0825,0.1296,0.1074,0.0917,0.0614,0.0428,0.0439,0.0374,0.0776,0.041,0.0715
woody_savannas.contribution,0.6952,0.7924,0.7399,0.6784,0.7083,0.4448,0.581,0.374,0.6619,0.4605,0.6136
barren_vegetation.permutation.importance,0.2177,0,0.0112,0.0221,0,0.0313,0.1139,0.3551,0.1583,0.373,0.1283
closed_shrubland.permutation.importance,0.0383,0.0881,0.0237,0.0786,0.0859,0.0527,0.0662,0.0841,0.0617,0.0583,0.0638
croplands.permutation.importance,2.283,1.8687,1.3056,2.8717,2.9159,1.3419,2.0558,2.433,2.1939,2.6202,2.189
deciduous_broadleaf_forest.permutation.importance,0.5383,0.6271,0.2594,0.5125,0.4739,0.3049,0.4397,0.4895,0.6362,0.5424,0.4824
deciduous_needleleaf_forest.permutation.importance,0,0.0334,0.0138,0.0635,0.0426,0.0432,0.0533,0.0782,0.0109,0.0536,0.0393
evergreen_broadleaf_forest.permutation.importance,0.0824,0.0631,0.0371,0.0814,0.065,0.042,0.06,0.0552,0.0883,0.0601,0.0635
evergreen_needleleaf_forest.permutation.importance,1.8063,1.72,0.7937,2.0561,2.1954,1.1518,1.598,1.9496,1.9395,1.9171,1.7128
grasslands.permutation.importance,1.0136,1.3965,0.6275,1.1433,0.9281,0.7536,0.8269,0.9764,1.0803,1.1302,0.9876
mixed_forests.permutation.importance,1.7708,1.7341,1.0175,2.2937,2.2952,1.3335,1.9116,1.9062,2.2197,2.0303,1.8513
open_shrublands.permutation.importance,0.4906,0.3684,0.124,0.3535,0.3567,0.3194,0.3284,0.1943,0.3675,0.3944,0.3297
precipitation_of_wettest_quarter.1.permutation.importance,14.1097,16.0492,8.3729,15.6214,15.4985,8.9786,12.0088,13.4319,15.2304,15.8442,13.5146
