,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,166,166,166,166,166,166,166,166,166,166,166
Regularized.training.gain,2.5822,2.5403,2.6239,2.6487,2.6054,2.5691,2.5862,2.5967,2.6227,2.6038,2.5979
Unregularized.training.gain,3.0211,2.9555,3.0886,3.0816,3.0279,3.0319,3.0001,3.0397,3.0829,3.0577,3.0387
Iterations,1820,2240,3200,1780,2140,2440,2180,2120,2400,2300,2262
Training.AUC,0.9753,0.9754,0.9771,0.9775,0.9758,0.9758,0.9757,0.9749,0.9761,0.9767,0.976
X.Test.samples,41,41,41,41,41,41,41,41,41,41,41
Test.gain,2.5074,2.4681,2.3364,2.0769,2.3482,2.4555,2.1097,2.4384,2.1921,2.2488,2.3182
Test.AUC,0.9678,0.9601,0.9688,0.9511,0.9641,0.966,0.9482,0.967,0.9566,0.9558,0.9605
AUC.Standard.Deviation,0.0059,0.0092,0.0054,0.0114,0.0065,0.0062,0.0192,0.0066,0.0102,0.0108,0.0091
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,14.8619,11.8469,13.5991,12.9326,11.3483,13.366,13.2802,12.4269,12.7916,12.3281,12.8782
closed_shrubland.contribution,1.1001,1.4395,1.7092,2.3703,2.841,3.1579,3.0296,3.4024,3.3468,3.5684,2.5965
croplands.contribution,3.2306,6.0917,5.045,3.0345,5.6634,3.6906,4.2824,3.486,4.3417,3.8412,4.2707
deciduous_broadleaf_forest.contribution,3.5731,3.5288,4.7872,4.8845,5.4788,6.1486,5.669,6.3574,6.6015,6.5027,5.3532
deciduous_needleleaf_forest.contribution,0.1624,0.2181,0.1701,0.2439,0.214,0.169,0.2127,0.1778,0.2392,0.1755,0.1983
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.9986,1.5764,2.5785,2.6249,3.0372,3.2374,3.4523,3.6528,3.8302,4.1447,2.9133
grasslands.contribution,27.4605,27.8042,25.6987,26.89,27.819,27.8331,29.4713,29.221,30.6888,29.6558,28.2542
mixed_forests.contribution,2.0794,4.2281,3.334,3.6791,3.4923,4.249,4.5739,4.7139,5.204,5.4651,4.1019
open_shrublands.contribution,2.2051,3.7096,1.9361,2.3722,2.7642,2.8828,2.7318,3.0218,2.9532,2.9213,2.7498
precipitation_of_wettest_quarter.1.contribution,5.9572,5.3596,6.0963,6.4992,5.0698,4.626,3.7504,4.6504,3.153,3.9663,4.9128
precipitation_of_wettest_quarter.2.contribution,24.937,21.06,19.4056,17.7067,15.742,14.4756,13.5527,12.474,10.8043,12.038,16.2196
precipitation_of_wettest_quarter.3.contribution,1.4404,1.5413,0.9153,1.1956,0.9352,1.5579,1.4683,1.3283,1.4165,1.408,1.3207
precipitation_of_wettest_quarter.4.contribution,2.5074,4.0166,4.2777,5.4651,4.5873,3.9302,3.4846,3.9539,3.854,3.5386,3.9615
savannas.contribution,0.3286,0.7445,0.5021,0.5711,0.9001,0.517,0.5162,0.6875,0.721,0.7017,0.619
snow_ice.contribution,0.0566,0.239,0.0912,0.1286,0.14,0.1647,0.2007,0.1892,0.1832,0.185,0.1578
urban_areas.contribution,7.16,4.3167,6.9018,6.5873,6.5639,6.584,6.698,6.67,6.1232,5.7942,6.3399
wetlands.contribution,0.005,0.0055,0,0.0037,0.0484,0.0032,0.0419,0.0024,0.0084,0.0162,0.0135
woody_savannas.contribution,1.9361,2.2736,2.9523,2.8107,3.3552,3.4072,3.584,3.5843,3.7395,3.7489,3.1392
barren_vegetation.permutation.importance,3.9989,4.8166,4.1141,3.8841,5.0271,3.4295,4.523,6.249,5.0165,4.7855,4.5844
closed_shrubland.permutation.importance,0.2122,1.5025,0.2641,0,0.4077,0.0876,0,0.1989,0,0.3553,0.3028
croplands.permutation.importance,0.7828,1.3881,2.8087,2.8364,1.5402,5.7705,2.251,1.7365,2.7085,2.3195,2.4142
deciduous_broadleaf_forest.permutation.importance,2.6678,2.8775,1.9875,2.4852,2.2824,3.4992,2.1705,2.8842,3.5802,1.8912,2.6326
deciduous_needleleaf_forest.permutation.importance,0.5213,0.5595,0.5431,0.4843,0.5185,0.3644,0.4849,0.2155,0.4942,0.4763,0.4662
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,1.7148,1.1656,1.5281,1.0949,1.9084,1.3993,1.5486,1.8437,1.032,3.1817,1.6417
grasslands.permutation.importance,17.0856,16.6562,20.3715,22.9725,17.9312,26.2633,18.9493,19.8489,21.503,20.1788,20.176
mixed_forests.permutation.importance,1.0408,2.0375,0.4112,0.4362,0.4211,2.9319,0.4003,0.757,1.2811,1.3035,1.1021
open_shrublands.permutation.importance,7.7036,6.5777,2.5637,2.5096,5.2891,4.7107,8.5049,7.7752,7.9585,2.7164,5.6309
precipitation_of_wettest_quarter.1.permutation.importance,16.5875,14.5506,17.9241,15.0771,16.1496,11.5723,18.034,11.1266,12.2969,19.6775,15.2996
precipitation_of_wettest_quarter.2.permutation.importance,35.8347,36.3709,35.4118,34.8178,35.2719,27.8093,33.1088,34.6353,33.0043,32.3164,33.8581
precipitation_of_wettest_quarter.3.permutation.importance,2.7926,2.2931,1.3753,0.881,3.3246,1.5892,1.0151,1.4392,2.2606,2.0401,1.9011
precipitation_of_wettest_quarter.4.permutation.importance,6.4409,5.8849,6.0615,7.0827,5.7477,5.6809,4.9583,6.9782,3.8659,4.9197,5.7621
savannas.permutation.importance,0.1726,0.1901,0.1089,0.2104,0.4024,0.2614,0.1984,0.4639,0.242,0.4804,0.273
snow_ice.permutation.importance,0.1251,0.1121,0.1241,0.1641,0.142,0.1609,0.2242,0.105,0.1768,0.1179,0.1452
urban_areas.permutation.importance,0.9941,1.1478,1.8653,1.9435,1.6695,1.7457,1.6177,0.8787,1.4555,1.3773,1.4695
wetlands.permutation.importance,0.0118,0,0,0.0228,0.0497,0,0.0603,0.0101,0.0454,0.0133,0.0213
woody_savannas.permutation.importance,1.3128,1.8692,2.5369,3.0974,1.917,2.7237,1.9508,2.8541,3.0787,1.8492,2.319
Training.gain.without.barren_vegetation,2.5578,2.5215,2.6044,2.6164,2.5861,2.546,2.553,2.5751,2.5915,2.5714,2.5723
Training.gain.without.closed_shrubland,2.5566,2.5262,2.5985,2.6144,2.5706,2.5383,2.5553,2.5583,2.6021,2.5644,2.5685
Training.gain.without.croplands,2.5669,2.5231,2.5955,2.6284,2.5891,2.5403,2.5591,2.5834,2.5974,2.5788,2.5762
Training.gain.without.deciduous_broadleaf_forest,2.492,2.4525,2.5227,2.5489,2.516,2.4534,2.5411,2.4764,2.5253,2.5078,2.5036
Training.gain.without.deciduous_needleleaf_forest,2.5787,2.5361,2.6214,2.644,2.603,2.5663,2.5826,2.5942,2.6191,2.6009,2.5946
Training.gain.without.evergreen_broadleaf_forest,2.5822,2.5401,2.6228,2.6486,2.606,2.5689,2.5858,2.5966,2.6225,2.603,2.5976
Training.gain.without.evergreen_needleleaf_forest,2.5416,2.4986,2.5702,2.5996,2.5758,2.5225,2.5372,2.544,2.5899,2.5354,2.5515
Training.gain.without.grasslands,2.4165,2.4238,2.456,2.5052,2.4698,2.43,2.3949,2.4618,2.4398,2.4603,2.4458
Training.gain.without.mixed_forests,2.5694,2.5187,2.6149,2.6331,2.5926,2.5627,2.5692,2.584,2.61,2.5819,2.5836
Training.gain.without.open_shrublands,2.5459,2.503,2.5882,2.6222,2.5624,2.5297,2.5676,2.5568,2.5677,2.5783,2.5622
Training.gain.without.precipitation_of_wettest_quarter.1,2.4873,2.4578,2.5143,2.557,2.5068,2.4968,2.4916,2.5072,2.5483,2.5036,2.5071
Training.gain.without.precipitation_of_wettest_quarter.2,2.3052,2.2572,2.3327,2.3618,2.3243,2.3028,2.278,2.3197,2.3216,2.3408,2.3144
