,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.croplands,2.7077,2.7516,2.6681,10.2114,2.7394,7.7429,2.7608,6.2075,2.8984,2.6859,4.3374
Training.gain.without.deciduous_broadleaf_forest,2.8673,2.8419,2.8031,41.6928,2.8426,22.919,2.8498,7.5447,3.103,2.8147,9.2279
Training.gain.without.deciduous_needleleaf_forest,2.9001,2.859,2.8274,22.308,2.8593,7.5053,2.8635,7.4324,3.1344,2.8526,5.7542
Training.gain.without.evergreen_broadleaf_forest,2.9005,2.8604,2.8274,22.308,2.8578,7.9874,2.8635,7.4324,3.137,2.8526,5.8027
Training.gain.without.evergreen_needleleaf_forest,2.8466,2.8362,2.7687,89.5138,2.8414,14.2145,2.8235,8.7382,3.0908,2.8079,13.2482
Training.gain.without.grasslands,2.793,2.7536,2.7409,7.3687,2.7511,1624635.0497,2.7819,36.5917,3.0482,2.7459,162469.8625
Training.gain.without.mixed_forests,2.8339,2.8207,2.7758,218.6544,2.8188,46.3097,2.8255,7.3858,3.0896,2.7876,29.2302
Training.gain.without.open_shrublands,2.8892,2.8541,2.814,12.6583,2.8514,28.528,2.8539,43.5042,3.1312,2.8381,10.4922
Training.gain.without.precipitation_seasonality,2.7959,2.771,2.729,9726.0899,2.7578,10.9934,2.7445,19.3072,2.9792,2.7557,977.5924
Training.gain.without.savannas,2.9008,2.8596,2.8268,25.6,2.8581,5500.3081,2.8638,23.0736,3.1361,2.8527,556.928
Training.gain.without.snow_ice,2.9004,2.8595,2.8269,12.791,2.8577,1949.1516,2.8639,30.1183,3.1368,2.853,201.2359
Training.gain.without.temperature_seasonality,2.4628,2.4402,2.4445,8.951,2.4634,28947.7331,2.4745,22.2872,2.5662,2.407,2899.623
Training.gain.without.urban_areas,2.4635,2.5011,2.4383,2.4909,2.4609,2.4532,2.4995,2.4277,2.5243,2.4382,2.4698
Training.gain.without.wetlands,2.8857,2.8597,2.8161,2.736,2.8585,2.9283,2.8568,2.7585,3.1324,2.8415,2.8674
Training.gain.without.woody_savannas,2.8518,2.8237,2.7774,30.8689,2.8123,9.6916,2.8175,15.4017,3.0948,2.7965,7.5936
Training.gain.with.only.annual_mean_temperature,0.9435,0.9587,0.9849,0.9414,0.9358,0.955,0.9207,0.942,0.9534,0.9249,0.946
Training.gain.with.only.annual_precipitation,0.6557,0.6879,0.6396,0.6755,0.6541,0.6718,0.6884,0.6335,0.6629,0.657,0.6626
Training.gain.with.only.barren_vegetation,0.4076,0.4076,0.4076,0.4076,0.4076,0.4076,0.4076,0.4076,0.4147,0.4076,0.4083
Training.gain.with.only.closed_shrubland,0.0088,0.0088,0.0088,0.0088,0.0088,0.004,0.0088,9e-04,9e-04,0.004,0.0063
Training.gain.with.only.croplands,0.0931,0.1168,0.1112,0.1325,0.1275,0.1383,0.1242,0.1497,0.1047,0.1237,0.1222
Training.gain.with.only.deciduous_broadleaf_forest,0.0304,0.0265,0.0277,0.0163,0.0223,0.0279,0.0233,0.0215,0.0142,0.0328,0.0243
Training.gain.with.only.deciduous_needleleaf_forest,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.0247,0.0224,0.0186,0.0194,0.0195,0.0186,0.0249,0.0186,0.0191,0.0333,0.0219
Training.gain.with.only.grasslands,0.4024,0.4459,0.3949,0.44,0.4063,0.4227,0.4216,0.4316,0.4836,0.405,0.4254
Training.gain.with.only.mixed_forests,0.0435,0.0365,0.0401,0.0373,0.0335,0.044,0.0501,0.0336,0.0373,0.0409,0.0397
Training.gain.with.only.open_shrublands,0.0696,0.0476,0.0661,0.0858,0.0653,0.0598,0.0592,0.0604,0.053,0.0598,0.0627
Training.gain.with.only.precipitation_seasonality,0.2889,0.3161,0.2882,0.3175,0.3085,0.2975,0.32,0.3041,0.3162,0.2918,0.3049
Training.gain.with.only.savannas,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
Training.gain.with.only.snow_ice,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048
Training.gain.with.only.temperature_seasonality,0.4525,0.4776,0.4419,0.4333,0.4297,0.4292,0.448,0.4269,0.4682,0.4464,0.4454
Training.gain.with.only.urban_areas,0.253,0.2701,0.2453,0.2514,0.2774,0.3251,0.2802,0.2666,0.2557,0.2705,0.2695
Training.gain.with.only.wetlands,0.0144,0.0189,0.0144,0.0132,0.0189,0.0132,0.0144,0.0132,0.0189,0.0144,0.0154
Training.gain.with.only.woody_savannas,0.0167,0.0164,0.016,0.0198,0.0174,0.0243,0.0188,0.0224,0.0115,0.013,0.0176
Test.gain.without.annual_mean_temperature,2.538,2.5436,2.9528,2.6581,2.7179,2.4677,2.5597,2.9732,1.4385,2.5961,2.5446
Test.gain.without.annual_precipitation,2.6372,2.8696,2.9396,-78.7696,2.9567,2.659,2.9075,3.1532,1.5645,2.774,-5.4308
Test.gain.without.barren_vegetation,2.8512,3.008,3.1196,2.9597,3.034,2.675,3.0029,3.2916,1.6109,2.9506,2.8504
Test.gain.without.closed_shrubland,2.8311,2.9787,3.1872,2.9966,3.0663,-491.633,3.0194,2.7349,1.3424,2.9683,-46.6508
Test.gain.without.croplands,2.9267,2.7865,3.0452,2.7352,2.8444,2.7493,2.7269,3.1821,2.1034,2.8909,2.7991
Test.gain.without.deciduous_broadleaf_forest,2.8537,2.9482,3.064,2.8784,2.9849,2.733,2.9178,3.1635,1.5064,2.9607,2.8011
Test.gain.without.deciduous_needleleaf_forest,2.8052,2.9828,3.1216,3.0573,3.0367,2.6652,2.9982,3.2559,1.4098,2.9506,2.8283
Test.gain.without.evergreen_broadleaf_forest,2.7982,2.9971,3.1216,3.0573,3.0281,2.7016,2.9982,3.2559,1.3952,2.9506,2.8304
Test.gain.without.evergreen_needleleaf_forest,2.8785,2.922,3.144,2.9253,2.967,2.6545,2.9623,3.2157,1.5511,2.9675,2.8188
Test.gain.without.grasslands,2.8779,3.0427,3.1245,2.8257,3.1366,-48158.8966,2.9719,3.1776,1.5522,3.04,-4813.3147
Test.gain.without.mixed_forests,2.8954,2.9411,3.1342,2.8784,2.9993,2.672,2.927,3.2337,1.307,2.9571,2.7945
Test.gain.without.open_shrublands,2.822,2.9919,3.1708,3.1657,3.042,2.7513,3.0147,3.2866,1.377,2.9718,2.8594
Test.gain.without.precipitation_seasonality,2.7662,2.8492,3.0275,2.9398,2.9023,2.6652,2.9892,3.1586,1.6233,2.8189,2.774
Test.gain.without.savannas,2.8043,2.9925,3.1257,3.0482,3.0328,0.2262,3.0003,3.3263,1.4173,2.9497,2.5923
Test.gain.without.snow_ice,2.8107,2.998,3.1236,3.024,3.0385,2.6645,3.0188,3.2593,1.4225,2.9432,2.8303
Test.gain.without.temperature_seasonality,2.4251,2.5413,2.449,2.4088,2.4518,-368.212,2.3758,2.6913,1.7519,2.4896,-34.6627
Test.gain.without.urban_areas,2.5271,2.3842,2.5475,2.3033,2.5442,2.5634,2.3353,2.6483,2.2593,2.4848,2.4597
Test.gain.without.wetlands,2.749,2.9588,3.0638,3.05,2.9868,2.7116,2.9494,3.3525,1.3949,2.8863,2.8103
Test.gain.without.woody_savannas,2.8486,2.9347,3.1155,3.0042,3.0561,2.7136,3.0132,3.2156,1.2917,3.0319,2.8225
Test.gain.with.only.annual_mean_temperature,0.994,0.9336,0.8223,1.0006,1.0191,0.9414,1.0755,0.9984,0.9337,1.063,0.9782
Test.gain.with.only.annual_precipitation,0.7157,0.5909,0.769,0.6327,0.7127,0.655,0.5581,0.7963,0.6864,0.7054,0.6822
Test.gain.with.only.barren_vegetation,0.4212,0.4212,0.4212,0.4212,0.4212,0.4212,0.4212,0.4212,0.3692,0.4212,0.416
Test.gain.with.only.closed_shrubland,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097,0.0131,-0.0097,0.0187,0.0186,0.0131,5e-04
Test.gain.with.only.croplands,0.2619,0.1811,0.1959,0.1215,0.1327,0.0928,0.1522,0.0492,0.2243,0.1544,0.1566
