,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.barren_vegetation,1.8404,1.8514,1.8531,1.8494,1.8443,1.8458,1.8593,1.873,1.8408,1.8422,1.85
Training.gain.without.closed_shrubland,1.8423,1.8522,1.855,1.8518,1.8462,1.848,1.862,1.8755,1.843,1.8454,1.8521
Training.gain.without.croplands,1.8352,1.843,1.8497,1.8441,1.8393,1.8411,1.8551,1.8655,1.8323,1.8365,1.8442
Training.gain.without.deciduous_broadleaf_forest,1.8403,1.8485,1.852,1.8482,1.8427,1.8455,1.8589,1.8724,1.8399,1.8413,1.849
Training.gain.without.deciduous_needleleaf_forest,1.8437,1.8531,1.8554,1.852,1.8467,1.849,1.8624,1.8754,1.8434,1.846,1.8527
Training.gain.without.evergreen_broadleaf_forest,1.8437,1.8531,1.8554,1.8521,1.8466,1.849,1.8622,1.8759,1.8437,1.846,1.8528
Training.gain.without.evergreen_needleleaf_forest,1.8354,1.8454,1.8474,1.8436,1.8389,1.8404,1.8552,1.8668,1.8314,1.8379,1.8442
Training.gain.without.grasslands,1.8298,1.8375,1.8382,1.8362,1.8328,1.8336,1.8471,1.8584,1.8278,1.829,1.837
Training.gain.without.mixed_forests,1.8311,1.8406,1.8453,1.8382,1.8343,1.8363,1.8518,1.8625,1.83,1.8342,1.8404
Training.gain.without.open_shrublands,1.8387,1.8476,1.8496,1.8458,1.8405,1.8438,1.8561,1.868,1.8384,1.8412,1.847
Training.gain.without.precipitation_of_wettest_quarter.1,1.8058,1.8171,1.8174,1.8162,1.8073,1.8134,1.827,1.8377,1.8078,1.8095,1.8159
Training.gain.without.precipitation_of_wettest_quarter.2,1.7008,1.7048,1.7153,1.705,1.7095,1.7038,1.7149,1.7203,1.6914,1.6986,1.7064
Training.gain.without.precipitation_of_wettest_quarter.3,1.8337,1.8415,1.8469,1.8411,1.8358,1.8386,1.8529,1.866,1.8353,1.8349,1.8427
Training.gain.without.precipitation_of_wettest_quarter.4,1.8207,1.8308,1.8288,1.8272,1.8231,1.8232,1.8359,1.8505,1.8208,1.8198,1.8281
Training.gain.without.savannas,1.8432,1.853,1.8555,1.8515,1.8457,1.8482,1.8619,1.8753,1.8432,1.8451,1.8523
Training.gain.without.snow_ice,1.8429,1.8517,1.8555,1.8513,1.8461,1.8485,1.861,1.8756,1.8429,1.846,1.8521
Training.gain.without.urban_areas,1.8161,1.8206,1.8318,1.8259,1.8189,1.8223,1.8331,1.8449,1.812,1.8173,1.8243
Training.gain.without.wetlands,1.8421,1.8512,1.854,1.8497,1.8448,1.8475,1.8605,1.8745,1.8425,1.8443,1.8511
Training.gain.without.woody_savannas,1.8391,1.8471,1.8494,1.8459,1.8408,1.8425,1.8568,1.8699,1.8363,1.8406,1.8468
Training.gain.with.only.barren_vegetation,0.476,0.4744,0.4766,0.4748,0.4735,0.4766,0.4751,0.4761,0.4744,0.4775,0.4755
Training.gain.with.only.closed_shrubland,3e-04,3e-04,2e-04,0,1e-04,3e-04,0,2e-04,1e-04,0,2e-04
Training.gain.with.only.croplands,0.2296,0.2222,0.2253,0.2221,0.2182,0.2248,0.2207,0.2248,0.2193,0.2136,0.2221
Training.gain.with.only.deciduous_broadleaf_forest,0.0249,0.024,0.0247,0.026,0.0256,0.0262,0.0228,0.0303,0.0238,0.022,0.025
Training.gain.with.only.deciduous_needleleaf_forest,0.0083,0.0082,0.0093,0.0082,0.0095,0.0088,0.0075,0.0109,0.0092,0.0077,0.0088
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.4525,0.4729,0.4687,0.4606,0.4688,0.4761,0.4769,0.4666,0.4706,0.4611,0.4675
Training.gain.with.only.grasslands,0.1529,0.1593,0.1632,0.1529,0.1563,0.1551,0.1625,0.1548,0.1557,0.1573,0.157
Training.gain.with.only.mixed_forests,0.8295,0.8235,0.8343,0.8387,0.8323,0.8336,0.8352,0.8409,0.8248,0.8137,0.8307
Training.gain.with.only.open_shrublands,0.0466,0.0486,0.0489,0.0491,0.0461,0.0483,0.048,0.0508,0.0484,0.042,0.0477
Training.gain.with.only.precipitation_of_wettest_quarter.1,0.7107,0.7052,0.7142,0.7087,0.7107,0.707,0.7085,0.7156,0.7056,0.7011,0.7087
Training.gain.with.only.precipitation_of_wettest_quarter.2,0.5555,0.5543,0.5535,0.5649,0.5504,0.5507,0.5634,0.5699,0.5507,0.542,0.5555
Training.gain.with.only.precipitation_of_wettest_quarter.3,0.9961,0.9982,0.9951,1.0023,0.9906,0.9885,0.996,1.0004,0.9905,0.9863,0.9944
Training.gain.with.only.precipitation_of_wettest_quarter.4,0.6821,0.6862,0.6838,0.6842,0.6901,0.6824,0.6836,0.6976,0.6829,0.6803,0.6853
Training.gain.with.only.savannas,0.0065,0.006,0.005,0.005,0.0062,0.0059,0.006,0.0048,0.0057,0.0083,0.0059
Training.gain.with.only.snow_ice,0.0021,0.0022,0.0024,0.0024,0.0018,0.0025,0.0031,0.0019,0.0025,0.0025,0.0023
Training.gain.with.only.urban_areas,0.2154,0.2184,0.1987,0.2011,0.2069,0.2057,0.2165,0.2115,0.2076,0.2061,0.2088
Training.gain.with.only.wetlands,0.0344,0.0354,0.0388,0.0367,0.0354,0.0345,0.036,0.0365,0.0349,0.0355,0.0358
Training.gain.with.only.woody_savannas,0.0668,0.0687,0.0691,0.0678,0.0695,0.0673,0.0671,0.0674,0.0657,0.0724,0.0682
Test.gain.without.barren_vegetation,1.9495,1.9203,1.9118,1.924,1.9385,1.939,1.8809,1.8348,1.9572,1.9528,1.9209
Test.gain.without.closed_shrubland,1.9563,1.9289,1.9152,1.9273,1.9446,1.9438,1.8835,1.8387,1.9561,1.9457,1.924
Test.gain.without.croplands,1.9361,1.916,1.8926,1.9102,1.9273,1.9245,1.8639,1.8295,1.9503,1.9364,1.9087
Test.gain.without.deciduous_broadleaf_forest,1.9446,1.9218,1.9092,1.9219,1.9406,1.9332,1.8781,1.8322,1.9486,1.9494,1.918
Test.gain.without.deciduous_needleleaf_forest,1.951,1.9249,1.9116,1.9281,1.9451,1.9387,1.8817,1.8396,1.9572,1.9481,1.9226
Test.gain.without.evergreen_broadleaf_forest,1.951,1.9254,1.9114,1.9279,1.9444,1.9386,1.8824,1.8381,1.9564,1.948,1.9224
Test.gain.without.evergreen_needleleaf_forest,1.9421,1.9122,1.9052,1.9174,1.9325,1.9322,1.8717,1.8312,1.9623,1.9385,1.9145
Test.gain.without.grasslands,1.9212,1.8967,1.8906,1.8987,1.9139,1.9127,1.8545,1.8134,1.934,1.9253,1.8961
Test.gain.without.mixed_forests,1.9416,1.9116,1.8913,1.9169,1.931,1.9249,1.8641,1.8226,1.9511,1.927,1.9082
Test.gain.without.open_shrublands,1.9444,1.9134,1.9037,1.9209,1.9381,1.9271,1.8755,1.8377,1.9446,1.9355,1.9141
Test.gain.without.precipitation_of_wettest_quarter.1,1.9333,1.8942,1.8896,1.898,1.9274,1.9033,1.8521,1.8152,1.9242,1.9224,1.896
Test.gain.without.precipitation_of_wettest_quarter.2,1.8134,1.8046,1.7629,1.7991,1.7853,1.8124,1.7646,1.7464,1.8475,1.8237,1.796
Test.gain.without.precipitation_of_wettest_quarter.3,1.9414,1.916,1.8932,1.9136,1.9321,1.925,1.8664,1.8225,1.9362,1.9383,1.9085
Test.gain.without.precipitation_of_wettest_quarter.4,1.9134,1.8885,1.8909,1.8968,1.909,1.9144,1.8584,1.807,1.9218,1.9262,1.8926
Test.gain.without.savannas,1.9521,1.9239,1.9129,1.926,1.9456,1.9399,1.8853,1.8376,1.9546,1.9503,1.9228
Test.gain.without.snow_ice,1.9495,1.9286,1.9104,1.9256,1.9448,1.9394,1.8849,1.8368,1.9557,1.9479,1.9224
Test.gain.without.urban_areas,1.9249,1.91,1.8666,1.8903,1.9148,1.9081,1.8595,1.8168,1.9406,1.9219,1.8954
Test.gain.without.wetlands,1.9511,1.9244,1.9101,1.9262,1.9445,1.9385,1.8817,1.8348,1.9514,1.9473,1.921
Test.gain.without.woody_savannas,1.9428,1.9186,1.9114,1.9214,1.9393,1.9388,1.8788,1.8331,1.9586,1.9427,1.9185
Test.gain.with.only.barren_vegetation,0.4786,0.4855,0.4766,0.4839,0.4887,0.4763,0.4826,0.4786,0.4855,0.4725,0.4809
Test.gain.with.only.closed_shrubland,-0.0012,-0.001,-6e-04,2e-04,-1e-04,-0.001,3e-04,-5e-04,1e-04,0,-4e-04
Test.gain.with.only.croplands,0.1913,0.2207,0.2077,0.2205,0.2355,0.2089,0.2271,0.2098,0.2318,0.2532,0.2207
Test.gain.with.only.deciduous_broadleaf_forest,0.0322,0.0369,0.0338,0.0289,0.0307,0.0281,0.041,0.0109,0.0365,0.0444,0.0323
Test.gain.with.only.deciduous_needleleaf_forest,0.0111,0.0119,0.0069,0.0116,0.0068,0.0094,0.0144,6e-04,0.0076,0.0135,0.0094
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,0.5485,0.4683,0.4857,0.5175,0.4845,0.4563,0.4525,0.4945,0.4789,0.516,0.4903
Test.gain.with.only.grasslands,0.1764,0.1518,0.1355,0.1765,0.1626,0.1677,0.1387,0.1695,0.1657,0.1597,0.1604
Test.gain.with.only.mixed_forests,0.8719,0.8972,0.8542,0.8354,0.8611,0.8569,0.8498,0.8268,0.8911,0.934,0.8678
Test.gain.with.only.open_shrublands,0.0529,0.0456,0.0437,0.0429,0.0547,0.0454,0.0469,0.0345,0.0455,0.0696,0.0482
Test.gain.with.only.precipitation_of_wettest_quarter.1,0.7209,0.7437,0.7075,0.726,0.722,0.7367,0.7297,0.7006,0.7416,0.7594,0.7288
Test.gain.with.only.precipitation_of_wettest_quarter.2,0.5794,0.5853,0.5875,0.5409,0.5995,0.5994,0.5488,0.5217,0.5996,0.6337,0.5796
Test.gain.with.only.precipitation_of_wettest_quarter.3,1.0039,0.9943,1.0075,0.9787,1.0241,1.033,1.0034,0.9858,1.0243,1.042,1.0097
Test.gain.with.only.precipitation_of_wettest_quarter.4,0.7326,0.7168,0.7269,0.7246,0.7006,0.7316,0.7268,0.6708,0.7299,0.7398,0.72
Test.gain.with.only.savannas,0.0037,0.0069,0.0105,0.0105,0.006,0.0068,0.0065,0.0107,0.0081,-0.0041,0.0066
Test.gain.with.only.snow_ice,0.0045,0.0033,0.0033,0.0034,0.0047,0.0026,5e-04,0.0049,0.003,0.0029,0.0033
Test.gain.with.only.urban_areas,0.1896,0.1774,0.255,0.2466,0.2235,0.2286,0.1849,0.2041,0.2207,0.2248,0.2155
Test.gain.with.only.wetlands,0.0484,0.0445,0.0311,0.0387,0.0442,0.0476,0.0409,0.0401,0.0463,0.044,0.0426
Test.gain.with.only.woody_savannas,0.0691,0.0612,0.0603,0.0645,0.0582,0.067,0.0677,0.0668,0.073,0.046,0.0634
AUC.without.barren_vegetation,0.9451,0.9431,0.9418,0.9431,0.9446,0.9435,0.9419,0.9375,0.9439,0.9441,0.9429
AUC.without.closed_shrubland,0.9457,0.9438,0.9422,0.9436,0.9451,0.944,0.9421,0.9379,0.9441,0.9439,0.9432
AUC.without.croplands,0.945,0.9434,0.9414,0.9432,0.9445,0.9433,0.9415,0.9377,0.9441,0.9438,0.9428
AUC.without.deciduous_broadleaf_forest,0.945,0.9433,0.9417,0.9433,0.9448,0.9434,0.9418,0.9375,0.9437,0.944,0.9428
AUC.without.deciduous_needleleaf_forest,0.9453,0.9435,0.942,0.9436,0.945,0.9437,0.942,0.9379,0.9441,0.944,0.9431
AUC.without.evergreen_broadleaf_forest,0.9453,0.9435,0.9419,0.9435,0.945,0.9437,0.942,0.9378,0.9441,0.944,0.9431
AUC.without.evergreen_needleleaf_forest,0.945,0.9432,0.9418,0.9432,0.9447,0.9434,0.9415,0.9376,0.9444,0.9436,0.9428
AUC.without.grasslands,0.9447,0.9428,0.9417,0.9428,0.9443,0.9431,0.9413,0.9373,0.9435,0.9436,0.9425
AUC.without.mixed_forests,0.945,0.9428,0.9411,0.9434,0.9446,0.9432,0.9413,0.9371,0.9437,0.943,0.9425
AUC.without.open_shrublands,0.9451,0.9431,0.942,0.9434,0.9449,0.9434,0.9419,0.9378,0.9438,0.9437,0.9429
AUC.without.precipitation_of_wettest_quarter.1,0.9444,0.9416,0.941,0.9421,0.9441,0.9416,0.94,0.9363,0.9425,0.9427,0.9416
AUC.without.precipitation_of_wettest_quarter.2,0.9372,0.9365,0.9333,0.9368,0.9355,0.9366,0.9349,0.9317,0.9374,0.9377,0.9358
AUC.without.precipitation_of_wettest_quarter.3,0.945,0.9434,0.9413,0.9428,0.9445,0.9434,0.9414,0.9374,0.9434,0.9438,0.9426
AUC.without.precipitation_of_wettest_quarter.4,0.9432,0.9414,0.9404,0.9416,0.9433,0.9422,0.9407,0.9364,0.9422,0.9424,0.9414
AUC.without.savannas,0.9453,0.9434,0.942,0.9435,0.9451,0.9437,0.9422,0.9378,0.944,0.9442,0.9431
AUC.without.snow_ice,0.9452,0.9436,0.9419,0.9435,0.945,0.9437,0.9422,0.9378,0.9441,0.944,0.9431
AUC.without.urban_areas,0.9441,0.9431,0.9401,0.9423,0.9441,0.9423,0.9407,0.937,0.9436,0.9428,0.942
AUC.without.wetlands,0.9452,0.9434,0.9419,0.9435,0.9449,0.9436,0.9419,0.9375,0.9437,0.9438,0.9429
AUC.without.woody_savannas,0.9448,0.9432,0.9418,0.9431,0.9448,0.9435,0.9417,0.9375,0.9439,0.9437,0.9428
AUC.with.only.barren_vegetation,0.6946,0.6955,0.6938,0.6951,0.6963,0.6938,0.6951,0.6947,0.6955,0.6934,0.6948
AUC.with.only.closed_shrubland,0.4975,0.4988,0.4975,0.5035,0.5002,0.4969,0.5022,0.4988,0.5015,0.5,0.4997
AUC.with.only.croplands,0.6617,0.6751,0.6669,0.6745,0.678,0.67,0.6743,0.6698,0.6801,0.6868,0.6737
AUC.with.only.deciduous_broadleaf_forest,0.5318,0.5361,0.5338,0.5313,0.5329,0.5295,0.5383,0.5217,0.5363,0.5409,0.5333
AUC.with.only.deciduous_needleleaf_forest,0.5092,0.5117,0.5052,0.5098,0.5097,0.5091,0.5125,0.5057,0.5072,0.5112,0.5091
AUC.with.only.evergreen_broadleaf_forest,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AUC.with.only.evergreen_needleleaf_forest,0.734,0.7144,0.7174,0.7275,0.7192,0.7112,0.7096,0.72,0.7167,0.7263,0.7196
AUC.with.only.grasslands,0.6527,0.6436,0.6356,0.656,0.6543,0.65,0.6355,0.6495,0.6497,0.6488,0.6476
AUC.with.only.mixed_forests,0.8242,0.8309,0.822,0.8202,0.8229,0.8229,0.8215,0.8165,0.8281,0.8373,0.8246
AUC.with.only.open_shrublands,0.5551,0.5545,0.5477,0.5481,0.5572,0.5576,0.5589,0.5373,0.5583,0.5724,0.5547
AUC.with.only.precipitation_of_wettest_quarter.1,0.8096,0.8168,0.8103,0.8098,0.8123,0.8134,0.8117,0.8054,0.816,0.8226,0.8128
AUC.with.only.precipitation_of_wettest_quarter.2,0.7731,0.772,0.7803,0.7706,0.781,0.7769,0.7664,0.7589,0.7806,0.7857,0.7745
AUC.with.only.precipitation_of_wettest_quarter.3,0.86,0.8598,0.861,0.8573,0.8643,0.8652,0.8607,0.857,0.8622,0.8664,0.8614
AUC.with.only.precipitation_of_wettest_quarter.4,0.8095,0.8043,0.8106,0.8077,0.8021,0.809,0.8114,0.7964,0.8108,0.8151,0.8077
AUC.with.only.savannas,0.5102,0.515,0.5178,0.519,0.509,0.5117,0.5135,0.5204,0.5125,0.5031,0.5132
AUC.with.only.snow_ice,0.5045,0.508,0.5041,0.506,0.5056,0.5028,0.5027,0.5057,0.5035,0.5047,0.5048
AUC.with.only.urban_areas,0.6124,0.6109,0.6358,0.6311,0.6223,0.6235,0.6117,0.6217,0.6228,0.624,0.6216
AUC.with.only.wetlands,0.5405,0.5403,0.5327,0.5366,0.5403,0.5405,0.535,0.5382,0.5391,0.5389,0.5382
AUC.with.only.woody_savannas,0.5805,0.5747,0.5753,0.5798,0.5741,0.5786,0.5796,0.5795,0.5826,0.5662,0.5771
Entropy,7.3671,7.3578,7.355,7.3593,7.3649,7.3627,7.349,7.3368,7.3689,7.3651,7.3587
Prevalence..average.probability.of.presence.over.background.sites.,0.0914,0.0905,0.0903,0.0907,0.0911,0.0909,0.0896,0.0885,0.0915,0.0912,0.0906
Fixed.cumulative.value.1.cumulative.threshold,1,1,1,1,1,1,1,1,1,1,1
Fixed.cumulative.value.1.Cloglog.threshold,0.0231,0.0238,0.0237,0.0239,0.0233,0.0229,0.023,0.0229,0.0219,0.0232,0.0232
Fixed.cumulative.value.1.area,0.3351,0.3323,0.3323,0.3301,0.3365,0.3339,0.333,0.3315,0.3351,0.3319,0.3332
Fixed.cumulative.value.1.training.omission,0.0153,0.017,0.017,0.015,0.0176,0.017,0.0176,0.018,0.0166,0.0173,0.0168
Fixed.cumulative.value.1.test.omission,0.0186,0.0146,0.02,0.024,0.012,0.0173,0.016,0.0226,0.0133,0.0186,0.0177
Fixed.cumulative.value.1.binomial.probability,0,0,0,0,0,0,0,0,0,0,0
