,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.barren_vegetation,2.547,2.5828,2.6034,2.567,2.6649,2.6309,2.5657,2.639,2.6042,2.5961,2.6001
Training.gain.without.closed_shrubland,2.5379,2.5709,2.5928,2.5639,2.6491,2.6204,2.5563,2.6301,2.5822,2.5853,2.5889
Training.gain.without.croplands,2.5014,2.5409,2.5578,2.5255,2.6201,2.5711,2.5186,2.5968,2.5721,2.5533,2.5558
Training.gain.without.deciduous_broadleaf_forest,2.5142,2.559,2.5764,2.5476,2.6369,2.6,2.5364,2.6028,2.5747,2.5738,2.5722
Training.gain.without.deciduous_needleleaf_forest,2.5508,2.5874,2.6127,2.5717,2.6698,2.6372,2.5728,2.6476,2.6077,2.6003,2.6058
Training.gain.without.evergreen_broadleaf_forest,2.551,2.5865,2.6133,2.5717,2.6683,2.6364,2.5734,2.6468,2.6071,2.5984,2.6053
Training.gain.without.evergreen_needleleaf_forest,2.5031,2.5282,2.5847,2.5123,2.6182,2.6041,2.525,2.6072,2.5893,2.5552,2.5627
Training.gain.without.grasslands,2.4323,2.4224,2.473,2.4225,2.5244,2.4992,2.4635,2.4899,2.4743,2.454,2.4655
Training.gain.without.mixed_forests,2.4824,2.5205,2.5536,2.5232,2.6055,2.5577,2.4956,2.5761,2.5595,2.5556,2.543
Training.gain.without.open_shrublands,2.4991,2.5357,2.5498,2.5391,2.6196,2.5896,2.5182,2.5937,2.5736,2.5554,2.5574
Training.gain.without.precipitation_of_wettest_quarter.1,2.3755,2.436,2.4547,2.4288,2.5044,2.4508,2.4133,2.5061,2.445,2.4559,2.447
Training.gain.without.precipitation_of_wettest_quarter.2,2.4379,2.4645,2.4845,2.4371,2.5709,2.5465,2.4548,2.5155,2.4808,2.4773,2.487
Training.gain.without.precipitation_of_wettest_quarter.3,2.335,2.439,2.4636,2.3937,2.4348,2.4333,2.372,2.4975,2.4281,2.4024,2.4199
Training.gain.without.precipitation_of_wettest_quarter.4,2.4019,2.4545,2.4549,2.4613,2.5135,2.469,2.4155,2.5011,2.4683,2.4667,2.4607
Training.gain.without.savannas,2.5186,2.5611,2.5646,2.5511,2.6384,2.6012,2.5364,2.6208,2.5835,2.5692,2.5745
Training.gain.without.snow_ice,2.5268,2.5624,2.5938,2.5489,2.641,2.6098,2.5428,2.6278,2.586,2.5767,2.5816
Training.gain.without.urban_areas,2.5166,2.5663,2.5815,2.5446,2.6469,2.6107,2.5516,2.6147,2.5773,2.5811,2.5791
Training.gain.without.wetlands,2.5491,2.5835,2.6055,2.5656,2.6663,2.6351,2.5716,2.6448,2.6027,2.5966,2.6021
Training.gain.without.woody_savannas,2.5294,2.5555,2.5779,2.556,2.631,2.6034,2.5452,2.6205,2.5701,2.5675,2.5756
Training.gain.with.only.barren_vegetation,0.3195,0.3241,0.3193,0.3181,0.3392,0.3073,0.3181,0.3419,0.3187,0.3087,0.3215
Training.gain.with.only.closed_shrubland,0.0277,0.0345,0.0223,0.0113,0.0258,0.018,0.0256,0.0263,0.0277,0.0248,0.0244
Training.gain.with.only.croplands,0.3577,0.3545,0.3408,0.354,0.384,0.3864,0.379,0.3593,0.309,0.4021,0.3627
Training.gain.with.only.deciduous_broadleaf_forest,1e-04,0,1e-04,4e-04,3e-04,1e-04,0,0.001,2e-04,4e-04,3e-04
Training.gain.with.only.deciduous_needleleaf_forest,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402
Training.gain.with.only.evergreen_broadleaf_forest,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04
Training.gain.with.only.evergreen_needleleaf_forest,0.0094,0.0169,0.0186,0.0079,0.0109,0.0093,0.0141,0.0107,0.0113,0.009,0.0118
Training.gain.with.only.grasslands,0.7413,0.7359,0.7293,0.7752,0.7788,0.7334,0.6987,0.7435,0.7353,0.7531,0.7424
Training.gain.with.only.mixed_forests,0.0499,0.048,0.042,0.0543,0.0475,0.0519,0.0429,0.0464,0.0472,0.0459,0.0476
Training.gain.with.only.open_shrublands,0.0109,0.0104,0.016,0.0237,0.0105,0.0132,0.01,0.0243,0.0132,0.0128,0.0145
Training.gain.with.only.precipitation_of_wettest_quarter.1,0.5446,0.5408,0.5573,0.558,0.5615,0.5826,0.5212,0.5492,0.5482,0.5476,0.5511
Training.gain.with.only.precipitation_of_wettest_quarter.2,0.3226,0.3537,0.3369,0.3704,0.3507,0.3325,0.3215,0.3643,0.3745,0.362,0.3489
Training.gain.with.only.precipitation_of_wettest_quarter.3,0.5318,0.5455,0.5146,0.5545,0.5905,0.5356,0.5276,0.5617,0.5592,0.565,0.5486
Training.gain.with.only.precipitation_of_wettest_quarter.4,0.3389,0.3448,0.3751,0.3248,0.3645,0.3868,0.327,0.3382,0.3434,0.3371,0.3481
Training.gain.with.only.savannas,0.0266,0.0266,0.0379,0.0286,0.0266,0.0286,0.0266,0.0286,0.0347,0.0266,0.0291
Training.gain.with.only.snow_ice,0.0118,0.0118,0.0118,0.0118,0.0118,0.0199,0.0118,0.0118,0.0118,0.0118,0.0126
Training.gain.with.only.urban_areas,0.0199,0.0157,0.012,0.0094,0.0183,0.0157,0.0206,0.02,0.0051,0.012,0.0149
Training.gain.with.only.wetlands,0.073,0.073,0.0823,0.0792,0.073,0.073,0.073,0.073,0.0823,0.073,0.0755
Training.gain.with.only.woody_savannas,0.0036,0.0084,0.0077,5e-04,0.0037,0.0115,0.014,0.0089,0.0124,0.0078,0.0078
Test.gain.without.barren_vegetation,2.7987,2.71,2.475,2.5795,2.3434,2.388,2.652,2.3877,2.4975,2.6335,2.5465
Test.gain.without.closed_shrubland,2.7883,2.7136,2.5053,2.6361,2.368,2.3936,2.6905,2.3214,2.5908,2.6445,2.5652
Test.gain.without.croplands,2.7416,2.6718,2.453,2.5749,2.3066,2.38,2.6659,2.256,2.4479,2.6128,2.5111
Test.gain.without.deciduous_broadleaf_forest,2.7855,2.6629,2.4438,2.5115,2.3149,2.3759,2.6261,2.3468,2.4774,2.5911,2.5136
Test.gain.without.deciduous_needleleaf_forest,2.8056,2.7238,2.4792,2.5866,2.3495,2.3979,2.6638,2.3089,2.5186,2.6569,2.5491
Test.gain.without.evergreen_broadleaf_forest,2.8013,2.7203,2.477,2.5866,2.3502,2.3954,2.6629,2.3108,2.5261,2.6608,2.5491
Test.gain.without.evergreen_needleleaf_forest,2.7928,2.7499,2.4017,2.6196,2.3295,2.3297,2.6282,2.2512,2.4045,2.6232,2.513
