,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503
Regularized.training.gain,2.108,2.0874,2.0947,2.1003,2.1107,2.1008,2.1001,2.1283,2.1391,2.1171,2.1086
Unregularized.training.gain,2.227,2.1961,2.2046,2.2086,2.2265,2.208,2.2116,2.2385,2.2469,2.2375,2.2205
Iterations,2000,1320,1220,1400,1460,1560,1460,1640,1480,1880,1542
Training.AUC,0.9559,0.9548,0.9551,0.9553,0.9555,0.9555,0.9555,0.9565,0.957,0.9562,0.9557
X.Test.samples,375,375,375,375,375,375,375,375,375,375,375
Test.gain,2.1973,2.2766,2.2437,2.2253,2.1908,2.2182,2.2235,2.1219,2.0759,2.1685,2.1942
Test.AUC,0.9551,0.9588,0.9576,0.9553,0.9557,0.9554,0.9565,0.952,0.9494,0.9538,0.955
AUC.Standard.Deviation,0.0031,0.0031,0.0033,0.0035,0.0032,0.0032,0.0033,0.0037,0.0038,0.0035,0.0034
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,0.1727,0.2582,0.3863,3.9616,5.8816,5.0437,5.029,4.7853,5.8682,6.8982,3.8285
closed_shrubland.contribution,1e-04,4e-04,0.1678,0.002,0.0024,0,0,0.0039,5e-04,2e-04,0.0177
croplands.contribution,0.9028,1.1745,1.1169,1.2143,1.6784,1.7325,1.8729,2.2883,2.8388,3.2346,1.8054
deciduous_broadleaf_forest.contribution,1.0076,0.7688,0.5598,0.8341,0.7863,0.614,0.6927,0.7179,0.6472,0.738,0.7366
deciduous_needleleaf_forest.contribution,0.0641,0.1405,0.2002,0.186,0.2248,0.2413,0.3395,0.3856,0.4217,0.4927,0.2696
evergreen_broadleaf_forest.contribution,8e-04,0,0.0017,0.0023,0,6e-04,0.0035,0,1e-04,0.0041,0.0013
evergreen_needleleaf_forest.contribution,11.1122,11.0065,11.7754,11.9816,12.4222,13.4907,13.9827,13.5796,13.1342,13.3445,12.583
grasslands.contribution,0.6012,0.6373,1.1915,1.2569,1.7616,1.5374,1.9018,2.0099,1.8897,2.3188,1.5106
mixed_forests.contribution,35.2249,32.6253,30.8425,31.6272,29.2725,29.0158,28.769,28.2933,29.0478,27.1357,30.1854
open_shrublands.contribution,0.4177,0.2497,0.3312,0.3957,0.3113,0.5072,0.3071,0.3735,0.4135,0.4324,0.3739
precipitation_of_wettest_quarter.1.contribution,10.5005,9.3454,8.4569,5.3252,6.3944,6.9957,7.3237,8.5725,6.5418,7.0408,7.6497
precipitation_of_wettest_quarter.2.contribution,23.4156,22.7769,25.0703,24.9783,22.8278,22.8133,22.1088,21.5377,21.1424,20.529,22.72
precipitation_of_wettest_quarter.3.contribution,11.7811,14.4137,13.6956,12.3085,12.2733,12.3119,12.2888,12.2006,11.8413,11.4009,12.4516
precipitation_of_wettest_quarter.4.contribution,2.3857,4.2934,3.7472,3.7015,3.653,3.4468,2.9415,2.9608,3.793,3.7063,3.4629
savannas.contribution,0.1156,0.0781,0.041,0.0683,0.1058,0.0886,0.1539,0.1666,0.1102,0.1693,0.1097
snow_ice.contribution,0.2595,0.1655,0.1724,0.212,0.3497,0.2924,0.2435,0.2418,0.2319,0.3,0.2469
urban_areas.contribution,1.3991,1.1798,1.1545,1.1432,0.9976,1.1802,1.2894,1.0999,1.3877,1.3365,1.2168
wetlands.contribution,0.3609,0.3305,1.0018,0.6393,0.5749,0.5004,0.5308,0.3989,0.4494,0.5239,0.5311
woody_savannas.contribution,0.2778,0.5554,0.0871,0.1623,0.4822,0.1876,0.2215,0.384,0.2404,0.3942,0.2993
barren_vegetation.permutation.importance,1.4488,1.8593,1.2036,1.314,1.5137,1.4741,1.0073,1.0642,1.137,0.79,1.2812
closed_shrubland.permutation.importance,0.022,0.0135,0,0.0354,0.0228,0,0,0,0.0158,0.0037,0.0113
croplands.permutation.importance,1.5007,1.8414,1.323,1.4375,1.8404,1.7915,2.3804,1.8423,1.9302,2.1912,1.8079
deciduous_broadleaf_forest.permutation.importance,0.4743,0.952,0.6059,0.8339,0.416,0.4755,0.7125,0.6233,0.6,0.5123,0.6206
deciduous_needleleaf_forest.permutation.importance,0.0551,0.2698,0.1918,0.0882,0.1433,0,0.0529,0.1543,0.0565,0.2827,0.1295
