,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,872,872,872,872,872,872,872,872,872,872,872
Regularized.training.gain,2.5644,2.6121,2.6289,2.6075,2.6155,2.5425,2.6207,2.6344,2.5775,2.5881,2.5992
Unregularized.training.gain,2.8103,2.8583,2.9068,2.8596,2.8865,2.7817,2.8976,2.9081,2.8493,2.8536,2.8612
Iterations,2120,2220,1980,2360,1880,2060,2040,2240,1940,2480,2132
Training.AUC,0.972,0.9734,0.9729,0.9735,0.9735,0.9722,0.9733,0.9734,0.9729,0.9721,0.9729
X.Test.samples,218,218,218,218,218,218,218,218,218,218,218
Test.gain,2.8485,2.6733,2.6445,2.7079,2.6824,2.9203,2.6695,2.6167,2.8186,2.7935,2.7375
Test.AUC,0.9719,0.9665,0.9684,0.9659,0.9684,0.974,0.9676,0.968,0.9724,0.9719,0.9695
AUC.Standard.Deviation,0.0029,0.0032,0.003,0.0033,0.0036,0.0028,0.0037,0.0027,0.0032,0.0029,0.0031
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,14.366,10.9551,9.9391,8.7056,8.6838,8.2876,7.7093,7.2301,6.8215,6.5823,8.928
annual_precipitation.contribution,21.0757,24.6323,22.8197,21.5652,20.2785,21.1388,20.3932,19.7431,18.7403,18.2659,20.8653
barren_vegetation.contribution,0,0,0,0,0.0196,0.0186,0.0415,0.066,0.0615,0.1024,0.031
closed_shrubland.contribution,0,0,0,0,0,0,0,0,0,0,0
croplands.contribution,1.1182,1.8778,2.8416,3.0586,3.4864,4.0122,4.2756,4.3084,4.6952,5.011,3.4685
deciduous_broadleaf_forest.contribution,0.8267,0.9901,1.1809,1.1266,1.3535,1.5533,1.7062,1.7533,1.6623,1.7742,1.3927
deciduous_needleleaf_forest.contribution,0.0922,0.0266,0.029,0.065,0.0443,0.0372,0.0636,0.0625,0.0331,0.0645,0.0518
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,9.1564,7.7348,8.3868,9.0671,9.9662,9.531,9.1365,8.5509,8.9685,9.174,8.9672
grasslands.contribution,1.2966,1.748,2.0312,2.3907,2.4662,2.5781,3.0228,3.2164,3.2928,3.6531,2.5696
mixed_forests.contribution,15.8985,13.0127,12.8267,12.6948,11.7225,11.4964,10.9744,10.8741,10.3208,10.6624,12.0483
open_shrublands.contribution,0.1851,0.1871,0.2248,0.2767,0.333,0.3443,0.3547,0.3915,0.4473,0.4213,0.3166
precipitation_seasonality.contribution,4.3583,5.5391,4.7449,5.2525,5.9411,5.8362,6.6072,6.2455,5.774,5.7078,5.6007
savannas.contribution,0,0.0504,0.053,0.053,0.0714,0.0896,0.0828,0.099,0.1129,0.1322,0.0744
snow_ice.contribution,0.0098,0.0088,0.0159,0.0199,0.0187,0.0251,0.0291,0.0588,0.0369,0.0409,0.0264
temperature_seasonality.contribution,22.4513,22.7756,20.8351,22.3748,20.8288,21.7401,21.9481,20.3429,20.6509,20.086,21.4034
urban_areas.contribution,8.8449,10.0869,13.5148,12.831,14.2037,12.6576,12.9184,16.222,17.5255,17.3546,13.6159
wetlands.contribution,0.0431,0.0125,0.0771,0.0279,0.0442,0.0451,0.0689,0.1128,0.0699,0.0647,0.0566
woody_savannas.contribution,0.2774,0.3622,0.4794,0.4903,0.5382,0.6085,0.6678,0.7227,0.7867,0.9028,0.5836
annual_mean_temperature.permutation.importance,53.1249,52.3774,57.7676,55.2958,57.2854,54.1029,58.044,56.7579,54.4831,56.7158,55.5955
annual_precipitation.permutation.importance,4.8157,3.5789,4.3143,4.6958,3.9229,4.5934,2.8086,3.0009,7.235,3.2396,4.2205
barren_vegetation.permutation.importance,0,0,0,0,0.0076,0.0596,0.011,0.0018,0,0,0.008
closed_shrubland.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
croplands.permutation.importance,0.7842,1.4683,0.8096,0.7492,0.9437,0.794,0.8835,0.6197,0.6979,0.8549,0.8605
deciduous_broadleaf_forest.permutation.importance,0.1989,0.2195,0.241,0.4551,0.2805,0.3238,0.33,0.3008,0.2925,0.1916,0.2834
deciduous_needleleaf_forest.permutation.importance,0.0866,0.0115,0.0146,0.0243,0.0305,0.0276,0.0395,0.0615,0.0336,0.0564,0.0386
