,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
Regularized.training.gain,2.2803,2.2776,2.3056,2.2595,2.2053,2.2409,2.2537,2.2256,2.2521,2.2208,2.2521
Unregularized.training.gain,2.671,2.8334,3.5753,2.5106,2.4005,2.48,2.5416,2.4547,2.4602,2.3796,2.6307
Iterations,2420,2880,6260,2100,1640,2140,2280,2240,1840,1660,2546
Training.AUC,0.9607,0.9588,0.956,0.9611,0.9601,0.9591,0.9609,0.9609,0.9604,0.9606,0.9599
X.Test.samples,408,408,408,408,408,408,408,408,408,408,408
Test.gain,2.2815,2.3299,2.2978,2.2942,2.4625,2.341,2.3372,2.3961,2.2896,2.3416,2.3371
Test.AUC,0.9555,0.9579,0.9555,0.9559,0.9609,0.9598,0.956,0.9584,0.9564,0.9576,0.9574
AUC.Standard.Deviation,0.0032,0.003,0.0036,0.0032,0.0028,0.003,0.0034,0.0033,0.0032,0.0033,0.0032
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,8.9099,10.4102,11.8522,12.8168,14.3335,15.0769,16.6105,17.7557,18.4572,19.6133,14.5836
closed_shrubland.contribution,0.0099,0.0056,0.0077,0.0082,0.0023,0.0086,0.0128,0.0261,0.0085,0.0095,0.0099
croplands.contribution,4.3888,4.8103,4.3373,6.3855,6.3392,7.4205,7.2645,6.6092,7.3921,7.1382,6.2086
deciduous_broadleaf_forest.contribution,1.8357,1.7367,1.8058,1.4961,1.6096,1.1274,1.3704,1.3377,1.2844,1.2219,1.4826
deciduous_needleleaf_forest.contribution,0.0847,0.2845,0.4001,0.3694,0.3937,0.4598,0.4463,0.4744,0.5012,0.4986,0.3913
evergreen_broadleaf_forest.contribution,0,0,0,2e-04,8e-04,0,0,0,0,0,1e-04
evergreen_needleleaf_forest.contribution,15.934,15.8014,13.5149,14.132,11.79,13.0015,11.4989,11.8378,11.4077,10.6696,12.9588
grasslands.contribution,3.8283,3.686,3.6855,3.7686,3.931,3.3508,3.657,3.7771,3.8694,3.5568,3.7111
mixed_forests.contribution,4.8987,4.4933,4.1309,4.3051,4.7605,3.6911,2.9144,3.8278,3.9227,3.9378,4.0882
open_shrublands.contribution,1.4271,1.4491,1.6137,1.4071,1.1909,1.77,1.4528,1.6261,1.1668,1.4487,1.4552
precipitation_of_wettest_quarter.1.contribution,11.562,10.6585,11.2367,9.7627,10.0513,9.3258,8.791,9.5132,8.6123,9.0774,9.8591
precipitation_of_wettest_quarter.2.contribution,26.9862,25.3834,24.4279,24.3827,22.3168,21.538,21.9432,19.9637,20.2947,19.9026,22.7139
precipitation_of_wettest_quarter.3.contribution,12.5779,11.1699,11.6107,10.2882,10.753,11.281,10.3569,9.6066,8.8843,9.02,10.5548
precipitation_of_wettest_quarter.4.contribution,1.8707,1.9672,1.6139,1.5855,1.6782,1.3976,1.9633,1.4062,1.5277,1.3151,1.6325
savannas.contribution,0.3595,0.9083,0.9542,0.8783,0.9969,1.2314,1.3982,1.262,1.4797,1.495,1.0963
snow_ice.contribution,0.9663,1.9942,3.0177,3.0373,3.2523,3.552,3.8422,3.9737,4.2036,4.0968,3.1936
urban_areas.contribution,1.5941,1.4312,1.2491,1.2415,1.2523,0.9639,1.2055,1.2145,1.2317,1.2701,1.2654
wetlands.contribution,0.918,0.9849,1.0567,0.8504,0.869,0.8362,0.8103,0.6621,1.0385,0.5586,0.8585
woody_savannas.contribution,1.8482,2.8255,3.485,3.2844,4.4787,3.9674,4.4618,5.1259,4.7176,5.1701,3.9365
barren_vegetation.permutation.importance,43.3536,43.1159,42.7212,37.7441,12.401,11.3778,41.1479,33.8937,6.779,3.6846,27.6219
closed_shrubland.permutation.importance,0.0052,0.0031,0.0018,0.0045,0,0,0,0.0049,0.001,0.009,0.0029
