,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,658,658,658,658,658,658,658,658,658,658,658
Regularized.training.gain,18.2879,61.8953,24.8966,58.002,3719963.7302,33.2321,19.2749,17.8662,83.3127,143.1175,372042.3615
Unregularized.training.gain,53.6247,147.2832,70.6582,126.2922,20509980,99.6007,68.1189,66.0569,209.7872,464.1551,2051129
Iterations,10000,10000,10000,10000,960,10000,10000,10000,10000,10000,9096
Training.AUC,0.974,0.9729,0.9743,0.9753,0.5022,0.974,0.976,0.9758,0.9719,0.9726,0.9269
X.Test.samples,164,164,164,164,164,164,164,164,164,164,164
Test.gain,2.1781,17.3696,39.0767,-4.2604,-35004.3255,70.5758,87.6223,84.9143,65.2403,347.8798,-3429.3729
Test.AUC,0.9721,0.9552,0.9734,0.9665,0.5,0.9731,0.9726,0.9735,0.9775,0.9588,0.9223
AUC.Standard.Deviation,0.0056,0.0093,0.0037,0.0058,0,0.0041,0.004,0.0038,0.0036,0.0075,0.0047
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,13.36,24.3296,7.7402,19.7233,0,2e-04,1e-04,1e-04,8e-04,4e-04,6.5155
annual_precipitation.contribution,3.7046,3.8773,7.392,6.255,2e-04,2e-04,2e-04,2e-04,3e-04,3e-04,2.123
barren_vegetation.contribution,0.5078,0.1744,0.414,0.2863,0,0,0,0,0,0,0.1383
closed_shrubland.contribution,32.595,4.3011,5.9804,3.1826,49.9993,49.999,49.999,49.999,49.9982,49.997,34.6051
croplands.contribution,2.1605,1.713,3.6321,3.5582,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1.1065
deciduous_broadleaf_forest.contribution,0.0206,0.0049,0.0064,0.0025,0,0,0,0,0,0,0.0034
deciduous_needleleaf_forest.contribution,0.1489,0.04,0.1055,0.0653,0,0,0,0,0,0,0.036
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,7.6615,8.9569,13.498,12.3515,3e-04,3e-04,3e-04,3e-04,4e-04,4e-04,4.247
grasslands.contribution,1.1988,1.3313,1.8343,1.076,0,0,0,0,0,1e-04,0.5441
mixed_forests.contribution,1.5944,3.2135,5.6052,4.768,1e-04,1e-04,1e-04,2e-04,3e-04,3e-04,1.5182
open_shrublands.contribution,0.2473,0.1003,0.1096,0.0665,0,0,0,0,0,0,0.0524
precipitation_seasonality.contribution,1.4641,2.5161,3.5707,1.8087,0,0,0,0,1e-04,2e-04,0.936
savannas.contribution,9.8394,2.4803,3.2152,1.886,26.9301,26.9299,26.9299,26.9299,26.9294,26.9288,17.8999
snow_ice.contribution,0.1821,0.0214,0.0295,0.0145,0,0,0,0,0,0,0.0248
temperature_seasonality.contribution,2.7045,0.8017,1.226,0.6785,0,0,0,0,0,0,0.5411
urban_areas.contribution,10.9787,43.4789,41.9534,42.1184,6e-04,0.001,9e-04,0.001,0.0016,0.0038,13.8538
wetlands.contribution,9.5125,2.0681,2.8901,1.575,23.0693,23.0691,23.0691,23.0691,23.0688,23.0682,15.4459
woody_savannas.contribution,2.1193,0.591,0.7975,0.5836,0,0,0,0,0,1e-04,0.4092
annual_mean_temperature.permutation.importance,66.9614,69.8327,65.8618,72.9031,0,60.1817,59.6147,59.8871,67.2836,62.3985,58.4925
annual_precipitation.permutation.importance,3.2411,3.0718,2.8936,0.9556,0,4.2116,3.1236,3.694,5.4284,2.2069,2.8827
barren_vegetation.permutation.importance,0.8579,1.3529,0.7136,0.2824,0,0.9131,1.3162,0.1207,1.1773,1.0341,0.7768
closed_shrubland.permutation.importance,0.1242,0,0,0,49.9923,0,0,0,0,0,5.0117
croplands.permutation.importance,1.8918,2.4892,1.9689,1.0061,0,2.5274,3.146,2.9719,2.6708,1.2243,1.9896
deciduous_broadleaf_forest.permutation.importance,0.0434,0.0473,0.0447,0.0255,0,0.0419,0.0345,0.0335,0.0651,0.0256,0.0362
deciduous_needleleaf_forest.permutation.importance,0.0504,0.0131,0.1821,0.0302,0,0.2275,0.1285,0.2058,0,0.0682,0.0906
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,0.8762,0.9539,0.5946,0.874,0,0.7625,0.5839,0.273,1.0735,0.5699,0.6561
grasslands.permutation.importance,1.5918,1.8879,2.0223,1.5704,0,2.0586,2.2107,2.2283,1.7815,1.6959,1.7047
mixed_forests.permutation.importance,0.5853,0.7675,1.1189,0.7989,0,1.3294,1.6385,1.4919,0.9064,1.216,0.9853
open_shrublands.permutation.importance,0.2512,0.2205,0.3904,0.2033,0.0051,0.4395,0.3366,0.7617,0.2627,0.2804,0.3151
precipitation_seasonality.permutation.importance,9.3126,10.0001,11.6601,10.3803,0,8.6629,9.9279,9.0248,10.6269,9.5858,8.9181
savannas.permutation.importance,0.6409,0.1622,0.5785,0.1538,49.9923,0.5026,0.547,0,0.7216,0.0966,5.3396
snow_ice.permutation.importance,0.0947,0.0994,0.1043,0.1014,0,0.1044,0.1123,0.103,0.1034,0.0545,0.0877
temperature_seasonality.permutation.importance,12.5898,7.8168,10.791,9.2214,0.0051,16.924,16.4483,18.4391,7.2411,17.6039,11.708
urban_areas.permutation.importance,0.6513,1.055,0.7348,1.1953,0,0.6916,0.501,0.4668,0.4576,1.1547,0.6908
wetlands.permutation.importance,0.0971,0.1553,0.1954,0.162,0.0051,0.1642,0.204,0.2335,0.1688,0.1624,0.1548
woody_savannas.permutation.importance,0.1388,0.0743,0.1449,0.1363,0,0.2573,0.1264,0.065,0.0312,0.6225,0.1597
Training.gain.without.annual_mean_temperature,13.5388,2.8113,104919400,2.8886,229251600,40085440,9.9326,2.8543,4552425,2.8579,37880890
Training.gain.without.annual_precipitation,11879.8,12371.26,18.1219,148757.2,1581387,24.3936,422113900,17.1959,2024.43,24.1333,42387040
Training.gain.without.barren_vegetation,30.7786,5937391,26.3779,79.1789,471731900,85730.85,22.8638,15.3217,138.787,25.2255,47775540
Training.gain.without.closed_shrubland,34.4034,374.6952,88.185,54921.1416,10.7863,26.7145,16.9119,17.4679,41.9197,20.9365,5555.3162
Training.gain.without.croplands,69.0119,30087.628,41.5928,1003.546,5.8253,22.6463,21.34,22.8116,83.1704,28.3525,3138.5925
Training.gain.without.deciduous_broadleaf_forest,17.0473,219.3441,26.1846,4789.1732,725928.6691,33.4336,17.5251,47.8807,135.4554,21.0942,73123.5807
Training.gain.without.deciduous_needleleaf_forest,20.1437,106.2374,20.1981,9868.495,150728800,49.6275,24.9533,39246.63,123.3531,30.8448,15077830
Training.gain.without.evergreen_broadleaf_forest,18.2573,564308.7,41.4179,65.7988,78072200,23.024,25.6074,19.4903,34.9417,17.8699,7863676
Training.gain.without.evergreen_needleleaf_forest,29111.7178,13.0388,15.8435,18.5527,6600371.8895,11.834,223980.9172,7.7466,13.4212,11.8386,685355.68
Training.gain.without.grasslands,29.4351,598.0055,963.0563,31319990,693656.9,24.5701,16.3573,22.7157,47.6203,27.8426,3201538
Training.gain.without.mixed_forests,3053.9426,22.6641,28.8996,23.5674,2549853.2959,18.6025,11.223,11.2014,17.4139,19.8593,255306.067
Training.gain.without.open_shrublands,13.7751,45.459,33.3867,365.0058,15499580,25.1771,23.3463,20.2479,44.8474,32.7525,1550018
Training.gain.without.precipitation_seasonality,23108.6085,114.1697,32.6064,246.961,175630.3519,29.5466,17.4649,13.5284,149.1554,28.7164,19937.1109
Training.gain.without.savannas,35.2396,44.0389,24.3972,60.7156,11.004,19.1013,33.0498,29.5892,33567810,28.3837,3356809
Training.gain.without.snow_ice,15.3851,47.6576,27.2336,91.5418,16.3953,25.1053,22.3082,19.7342,702.5834,20.8558,98.88
Training.gain.without.temperature_seasonality,16.9177,385.2258,21.1447,429587.4,459317900,46.6765,33.7738,25.1389,61.9634,24.9054,45974810
Training.gain.without.urban_areas,21841.79,2.94,15765010,3.0228,103990800,6.7083,349155800,3.0076,11368860,3.0159,48030230
Training.gain.without.wetlands,30.1815,2714102.9194,52.4261,31739.3496,10.126,24.1879,11.7819,325.573,46.8111,141.1295,274648.4486
Training.gain.without.woody_savannas,31.7318,68.8189,23.1478,4068002000,57795910,31.1392,20.338,21.6184,62.6632,22.0301,412579800
Training.gain.with.only.annual_mean_temperature,1.3558,1.3802,1.3522,1.3753,1.3542,1.3556,1.352,1.3656,1.3381,1.3675,1.3597
Training.gain.with.only.annual_precipitation,0.8778,0.9042,0.8621,0.8893,0.8705,0.8779,0.8743,0.8922,0.8905,0.8833,0.8822
Training.gain.with.only.barren_vegetation,0.4069,0.4069,0.4069,0.4128,0.4069,0.4069,0.4069,0.4069,0.4069,0.4069,0.4075
Training.gain.with.only.closed_shrubland,4e-04,7e-04,0.0015,4e-04,0.0015,0.0015,0.0015,4e-04,0.0015,4e-04,0.001
Training.gain.with.only.croplands,0.2789,0.2694,0.2693,0.2738,0.2874,0.2684,0.2904,0.2793,0.2681,0.2781,0.2763
Training.gain.with.only.deciduous_broadleaf_forest,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176
Training.gain.with.only.deciduous_needleleaf_forest,0.0106,0.0053,0.0075,0.0087,0.0086,0.0099,0.006,0.0095,0.0093,0.0064,0.0082
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,1.2056,1.1695,1.2185,1.2313,1.1878,1.1838,1.2059,1.215,1.2149,1.2089,1.2041
Training.gain.with.only.grasslands,0.2159,0.2175,0.236,0.209,0.2286,0.2216,0.2137,0.2113,0.2301,0.2327,0.2216
Training.gain.with.only.mixed_forests,0.2756,0.2476,0.3002,0.2802,0.2806,0.2784,0.2594,0.2857,0.27,0.2727,0.275
Training.gain.with.only.open_shrublands,0.0305,0.0352,0.0357,0.0304,0.0365,0.0331,0.0253,0.0332,0.0364,0.0325,0.0329
Training.gain.with.only.precipitation_seasonality,0.8291,0.8349,0.833,0.8391,0.8323,0.8347,0.8331,0.8383,0.8404,0.8393,0.8354
Training.gain.with.only.savannas,0.0436,0.0518,0.046,0.0508,0.0484,0.0511,0.0491,0.0508,0.0394,0.0345,0.0465
Training.gain.with.only.snow_ice,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
Training.gain.with.only.temperature_seasonality,0.4201,0.4326,0.399,0.4405,0.4016,0.4122,0.4274,0.4396,0.3941,0.4221,0.4189
Training.gain.with.only.urban_areas,0.0036,0.0036,0.0052,0.0023,0.0015,0.0043,0.0022,0.0019,0.0024,0.0039,0.0031
Training.gain.with.only.wetlands,0.0117,0.0169,0.0087,0.0136,0.0095,0.0127,0.0101,0.0111,0.0109,0.0145,0.012
Training.gain.with.only.woody_savannas,0.8385,0.8377,0.821,0.8474,0.8459,0.8301,0.8592,0.8431,0.8121,0.8519,0.8387
Test.gain.without.annual_mean_temperature,-14.9666,3.0157,-114184.0071,2.5053,-208400.3526,-176571.9193,2.8039,2.896,3.0738,2.9258,-49915.4025
Test.gain.without.annual_precipitation,-20009.9817,-6999.4307,35.426,-111363.78,3.4128,50.6751,-557741.3209,109.6373,1536.1519,42.2837,-69433.6927
Test.gain.without.barren_vegetation,43.6124,-3338610.6198,42.6433,-4.3266,6.5033,209120.677,111.1185,70.9741,106.9536,54.0175,-312905.8447
Test.gain.without.closed_shrubland,98.9477,-140.7028,153.7911,-46883.7688,91.8408,56.966,77.1591,82.6649,31.6645,44.9234,-4638.6514
Test.gain.without.croplands,117.6038,-9926.4114,102.4789,-1188.2444,4.9835,48.492,112.4451,135.9164,53.4045,64.7242,-1047.4607
Test.gain.without.deciduous_broadleaf_forest,14.2461,76.8055,43.3095,-4398.7017,-3663.7644,71.7848,81.6215,233.2544,98.5328,44.1726,-739.8739
Test.gain.without.deciduous_needleleaf_forest,8.4388,10.6439,32.4457,-8848.9308,-307032.7544,109.4939,121.9862,244353.1308,80.2429,66.4282,-7109.8875
Test.gain.without.evergreen_broadleaf_forest,12.5271,223023.0297,69.3667,-5.1046,-102188.4569,48.5441,123.9282,93.6894,26.7627,37.3807,12124.1667
Test.gain.without.evergreen_needleleaf_forest,-49122.275,22.7231,23.9598,39.1833,-66267.4492,25.8705,-3684.8718,39.8233,35.3706,24.5313,-11886.3134
Test.gain.without.grasslands,49.3108,-31.9215,2278.0982,-3767696.2037,23.5853,54.016,73.0087,114.5866,37.7525,55.2185,-376504.2549
Test.gain.without.mixed_forests,-5178.2413,35.5015,65.8542,6.7959,3.9753,25.7169,40.3198,46.0433,34.1931,27.2861,-489.2555
Test.gain.without.open_shrublands,-12.5204,17.0968,56.4834,-152.971,23.9695,51.6894,107.0952,99.6979,34.4073,73.5545,29.8503
