,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,882,882,882,882,882,882,882,882,882,882,882
Regularized.training.gain,2.2057,2.2173,2.2403,2.2849,2.2431,2.2562,2.2729,2.2491,2.2462,2.2633,2.2479
Unregularized.training.gain,2.3786,2.3841,2.4137,2.4638,2.4122,2.4327,2.4485,2.4196,2.4106,2.4349,2.4199
Iterations,1320,1200,1400,1280,1260,1200,1440,1340,1520,1260,1322
Training.AUC,0.9626,0.9623,0.9633,0.9648,0.9635,0.9636,0.9642,0.9635,0.9642,0.9637,0.9636
X.Test.samples,220,220,220,220,220,220,220,220,220,220,220
Test.gain,2.4856,2.4239,2.3372,2.1843,2.3253,2.2878,2.2208,2.3123,2.3078,2.2459,2.3131
Test.AUC,0.9643,0.9628,0.9608,0.956,0.9591,0.9592,0.957,0.9599,0.9588,0.9584,0.9596
AUC.Standard.Deviation,0.0033,0.0035,0.0034,0.0036,0.0035,0.0033,0.0038,0.0037,0.0036,0.0036,0.0035
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,16.2585,14.6201,13.8233,15.9279,13.5432,8.5891,12.8452,10.0203,10.4086,9.7887,12.5825
annual_precipitation.contribution,22.1334,21.6584,20.2285,16.6935,16.7429,16.1412,15.357,16.1918,15.7027,14.891,17.574
barren_vegetation.contribution,0.0053,0.0164,0,0.0044,2.1958,3.6208,3.4664,3.3656,3.2431,3.8865,1.9804
closed_shrubland.contribution,0,0,0,0,0,0,0,0,0,0,0
croplands.contribution,12.59,12.0069,12.374,12.069,11.0308,10.3148,11.3069,10.4405,11.6918,11.0013,11.4826
deciduous_broadleaf_forest.contribution,0.302,0.2313,0.0754,0.3085,0.1535,0.2766,0.1518,0.3286,0.2384,0.3241,0.239
deciduous_needleleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.3825,0.3785,0.3851,0.3658,0.4247,0.3793,0.3133,0.4109,0.3553,0.4583,0.3854
grasslands.contribution,3.7766,5.5878,6.0365,8.1736,10.1445,10.5489,10.695,11.3846,11.4816,13.5956,9.1425
mixed_forests.contribution,4.5414,3.2409,3.948,4.3656,4.7163,6.5352,5.1732,6.1112,5.8991,5.7943,5.0325
open_shrublands.contribution,2.0194,3.0489,2.9732,2.6632,2.6626,3.878,2.3674,2.3321,3.0035,3.1945,2.8143
precipitation_seasonality.contribution,1.0047,1.5409,1.6019,2.7451,2.6535,2.7313,2.3509,2.335,2.3822,2.2502,2.1596
savannas.contribution,0.0112,0,0.0084,0.0099,0.0015,5e-04,3e-04,0.0072,0.0018,0.0034,0.0044
snow_ice.contribution,0.0243,0.0026,0.0393,0.0215,0.0058,0.0247,0.0313,0.018,0.0127,0.0359,0.0216
