annual_precipitation,precipitation_seasonality,annual_mean_temperature,temperature_seasonality,urban_areas,croplands,snow_ice,wetlands,mixed_forests,evergreen_needleleaf_forest,evergreen_broadleaf_forest,deciduous_needleleaf_forest,deciduous_broadleaf_forest,closed_shrubland,open_shrublands,woody_savannas,savannas,barren_vegetation,grasslands
B_cullumanus,3.2119,6.1866,28.7224,15.3535,0.1175,10.3524,0.0113,0.2732,2.8565,0.4391,0.0521,0.0705,0.4929,0.1366,3.2749,3.9672,0.4667,0.3757,23.6391
B_distinguendus,3.88,10.3056,50.5637,21.7868,1.5633,1.2318,0.1562,0.5734,1.2168,0.5121,0,0.058,0.2649,0.0347,0.4918,0.6626,0.2612,2.1244,4.3126
B_flavidus,2.7031,5.7626,47.593,10.6781,0.4611,2.8857,0.8673,0.2845,1.1782,1.0232,0,0.2833,0.1193,0.0561,1.138,7.3142,0.0352,15.7081,1.9092
B_fragrans,4.3093,8.0694,42.5133,22.1581,0.1124,4.7325,0.0068,0.586,4.4483,1.8522,0,0.1492,1.8043,0.359,1.0095,0.5192,0.306,1.6882,5.3763
B_gerstaeckeri,9.6165,3.4756,33.6256,32.1949,0.0427,0.5828,0.0247,0,1.966,0.0282,0,0,0.0171,0,16.1701,0.4587,0.1652,1.1407,0.4913
B_haematurus,1.3998,5.0581,10.6084,21.4054,0.0037,4.1232,0,0.7856,3.7563,0.1781,0,0,0.1007,0.0992,5.4509,0.4928,0.8266,45.307,0.4041
B_handlirschianus,33.1129,2.3324,2.1574,15.2724,0.2875,0.9643,0.4726,1.0808,0,0.3549,0,0,0,0.2489,5.0297,2.0034,0.4037,0.7614,35.5178
B_hortorum,14.3857,12.3542,23.4937,40.9684,0.8055,1.2622,0.4083,0.3957,1.2658,0.1644,0.0153,0.0262,0.85,0.0358,0.4837,0.6188,0.2198,1.1127,1.1338
B_humilis,9.5066,6.9178,22.2324,24.552,1.3711,9.1239,0.8191,0.3709,3.7586,2.6385,0.097,0.1713,0.2283,0.0698,1.8161,1.7285,0.1977,7.9226,6.4777
B_hyperboreus,1.044,0.3036,83.2952,11.366,0,0.0253,0.0013,0.077,0.1812,0.0163,0,0,0,0.1239,2.0673,0.1074,0.0924,1.1127,0.1864
B_hypnorum,7.8137,8.5209,50.6722,20.3144,1.4507,1.4791,0.108,0.4814,0.9557,0.4677,0.001,0.0275,0.3974,0.4013,0.3968,1.6592,0.0649,1.9005,2.8875
B_incertus,11.7239,7.8383,9.3956,16.0482,0.6674,1.9342,0.2467,0.2132,1.4161,0.3118,0,0.0922,0.4439,0.159,0.8092,0.4421,0.0755,0.9741,47.2084
B_inexspectatus,0.0369,0.1332,8.4172,69.1211,0.0071,0.1652,0.0484,5e-04,0.467,0.542,0,0.0067,0.1899,0,16.5766,0.8503,2e-04,0.104,3.3336
