,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,511,511,511,511,511,511,511,511,511,511,511
Regularized.training.gain,2.4648,2.4279,2.4061,2.4079,2.3936,2.3807,2.4311,2.4388,2.3988,2.4099,2.416
Unregularized.training.gain,2.7382,2.6959,2.6495,2.637,2.5818,2.6032,2.6695,2.7006,2.6488,2.6094,2.6534
Iterations,2520,2000,2440,2480,1820,2120,2000,2400,2300,1920,2200
Training.AUC,0.9691,0.9689,0.9687,0.9696,0.9683,0.9676,0.9683,0.9682,0.9687,0.968,0.9685
X.Test.samples,127,127,127,127,127,127,127,127,127,127,127
Test.gain,2.3447,2.4354,2.5315,2.4536,2.4681,2.6231,2.4724,2.4497,2.5607,2.4793,2.4819
Test.AUC,0.9622,0.9631,0.9653,0.9616,0.9624,0.9699,0.9645,0.9643,0.9671,0.9651,0.9645
AUC.Standard.Deviation,0.0046,0.0048,0.004,0.0051,0.0061,0.0039,0.0047,0.004,0.0041,0.0045,0.0046
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,3.9042,0.6534,0.5844,4.3234,4.1214,3.9588,6.2701,8.338,6.012,6.6433,4.4809
closed_shrubland.contribution,0.3927,0.4954,0.3834,0.5444,0.3752,0.3364,0.5051,0.4528,0.3269,0.4244,0.4237
croplands.contribution,1.8786,0.8253,1.8862,1.7869,1.9018,1.839,2.5735,2.109,2.4255,3.1303,2.0356
deciduous_broadleaf_forest.contribution,1.5092,1.7173,1.7746,2.0228,1.9335,1.7285,1.6707,1.5714,1.7022,1.623,1.7253
deciduous_needleleaf_forest.contribution,0.0123,0.1918,0.2014,0.2656,0.2442,0.2977,0.3463,0.3268,0.3481,0.405,0.2639
evergreen_broadleaf_forest.contribution,0.0543,0.1133,0.0658,0.0553,0.0175,0.0302,0.1046,0.0827,0.009,0.0352,0.0568
evergreen_needleleaf_forest.contribution,19.5083,21.4974,21.8277,22.0967,21.5032,20.4658,21.474,20.1856,21.9499,18.4785,20.8987
grasslands.contribution,1.2434,2.0995,2.9512,2.9783,3.3846,2.9388,3.2759,3.7788,3.5282,3.9176,3.0096
mixed_forests.contribution,34.8006,32.2164,31.0914,29.213,27.9801,28.4335,27.2749,27.9552,24.4854,26.4379,28.9888
open_shrublands.contribution,0.2318,0.4342,0.5572,0.5621,0.5942,0.6045,0.6156,0.6246,0.6872,0.7927,0.5704
precipitation_of_wettest_quarter.1.contribution,7.7568,6.3448,5.8085,7.0743,5.8278,6.4956,7.4564,6.1733,6.7246,6.8582,6.652
precipitation_of_wettest_quarter.2.contribution,13.9699,11.3247,11.0117,14.4733,10.3302,12.5485,12.4782,11.4613,10.9369,12.9787,12.1513
precipitation_of_wettest_quarter.3.contribution,0.1919,6.6459,7.5392,0.5175,8.7859,5.0954,0.6547,0.624,4.6593,0.7111,3.5425
precipitation_of_wettest_quarter.4.contribution,2.7443,2.8013,3.2403,2.5026,2.2223,3.0953,2.8095,3.7004,3.868,5.5437,3.2528
savannas.contribution,0.8201,1.1965,1.0237,1.0702,1.081,1.5559,1.4092,1.6183,1.9355,1.9242,1.3635
snow_ice.contribution,0.1928,0.1958,0.2619,0.3016,0.2748,0.3395,0.4969,0.3895,0.5026,0.5532,0.3509
urban_areas.contribution,8.4087,7.9267,7.3454,7.5574,6.8429,8.0364,8.0218,8.9235,7.5349,7.7243,7.8322
wetlands.contribution,1.8185,2.5114,2.1712,2.0787,2.0996,1.5559,1.9687,1.1506,1.5613,1.2252,1.8141
woody_savannas.contribution,0.5615,0.8088,0.2747,0.5758,0.4799,0.6443,0.594,0.5341,0.8026,0.5935,0.5869
barren_vegetation.permutation.importance,0.3568,0.6302,0.1104,0.5873,0.9849,1.1788,0.5988,0.2608,0.5978,0.2773,0.5583
closed_shrubland.permutation.importance,0.1421,0.1074,0.1175,0.1074,0.0599,0.0847,0.0584,0.0799,0.1077,0.1055,0.097
croplands.permutation.importance,2.8973,2.606,3.6541,3.4029,2.9065,2.2896,1.3965,1.7619,3.8519,3.1573,2.7924
deciduous_broadleaf_forest.permutation.importance,1.2145,1.37,1.3311,1.1138,1.0585,1.3068,0.7095,0.5352,1.4189,0.9336,1.0992
deciduous_needleleaf_forest.permutation.importance,0.0537,0.2033,0.1622,0.2294,0.1428,0.2632,0.1807,0.049,0.1004,0.2989,0.1684
evergreen_broadleaf_forest.permutation.importance,0.0047,0.0112,0.0101,0,0.0174,7e-04,0.0052,0.0053,0,0.0207,0.0075
evergreen_needleleaf_forest.permutation.importance,0.398,0.5785,0.4424,0.4669,0.5683,0.5482,0.7998,0.8367,0.6949,0.3792,0.5713
grasslands.permutation.importance,0.9706,1.0317,1.1819,2.7684,1.4774,1.3568,0.8542,0.5305,2.1181,1.2681,1.3558
mixed_forests.permutation.importance,2.9377,3.611,4.2469,2.4185,2.2407,3.5935,2.7757,3.4353,3.1262,2.8401,3.1226
open_shrublands.permutation.importance,0.266,0.4742,0.4056,0.6531,0.3714,0.351,0.4309,0.1886,0.2751,0.5401,0.3956
precipitation_of_wettest_quarter.1.permutation.importance,56.0047,55.5474,51.8043,55.5461,56.9088,48.9282,54.7613,55.1965,52.8324,53.5333,54.1063
precipitation_of_wettest_quarter.2.permutation.importance,18.5177,19.6914,17.9342,15.6477,17.4201,19.4841,20.1373,16.8833,14.3841,21.9399,18.204
precipitation_of_wettest_quarter.3.permutation.importance,0.4362,1.0652,1.7924,1.3213,1.7618,0.5394,0.0708,0.3127,3.5263,0.4777,1.1304
precipitation_of_wettest_quarter.4.permutation.importance,10.7579,6.6884,11.3337,9.7942,9.3245,13.6998,11.9659,14.6605,11.3589,8.7148,10.8299
savannas.permutation.importance,0.8815,0.965,0.9269,0.9023,0.4895,1.1079,0.7945,0.8049,0.9563,1.0648,0.8894
snow_ice.permutation.importance,0.2045,0.2024,0.2778,0.1703,0.3496,0.4401,0.2247,0.2863,0.2936,0.1229,0.2572
urban_areas.permutation.importance,3.0084,4.1126,3.57,3.6856,3.0419,3.964,3.2364,3.2895,3.3411,3.2919,3.4541
wetlands.permutation.importance,0.5103,0.5232,0.4728,0.8606,0.5017,0.518,0.6519,0.3328,0.7719,0.6478,0.5791
woody_savannas.permutation.importance,0.4374,0.5809,0.2257,0.3243,0.3742,0.345,0.3476,0.5504,0.2446,0.3859,0.3816
Training.gain.without.barren_vegetation,2.4634,2.426,2.406,2.4073,2.3918,2.3965,2.414,2.4227,2.3982,2.4095,2.4135
Training.gain.without.closed_shrubland,2.447,2.4246,2.4041,2.4045,2.3915,2.3959,2.4292,2.4219,2.3965,2.4061,2.4121
Training.gain.without.croplands,2.4233,2.4079,2.3873,2.402,2.3756,2.3814,2.4155,2.3987,2.3678,2.3912,2.3951
Training.gain.without.deciduous_broadleaf_forest,2.4291,2.3912,2.377,2.3744,2.3709,2.3737,2.4133,2.4025,2.3704,2.3838,2.3886
Training.gain.without.deciduous_needleleaf_forest,2.4638,2.4137,2.4008,2.3969,2.3911,2.3708,2.4205,2.4216,2.3916,2.3969,2.4068
Training.gain.without.evergreen_broadleaf_forest,2.464,2.4273,2.4056,2.4075,2.3934,2.381,2.431,2.424,2.3987,2.4091,2.4142
Training.gain.without.evergreen_needleleaf_forest,2.4364,2.4143,2.3889,2.3903,2.3819,2.3686,2.4188,2.409,2.383,2.3987,2.399
Training.gain.without.grasslands,2.4308,2.4139,2.3823,2.3874,2.3686,2.3798,2.4121,2.4051,2.3711,2.3897,2.3941
Training.gain.without.mixed_forests,2.4019,2.3722,2.3555,2.3644,2.369,2.3327,2.378,2.3816,2.3423,2.361,2.3659
Training.gain.without.open_shrublands,2.4447,2.4188,2.3919,2.3964,2.3862,2.3917,2.4239,2.436,2.3936,2.3993,2.4082
Training.gain.without.precipitation_of_wettest_quarter.1,2.3296,2.3202,2.3034,2.2978,2.274,2.2719,2.305,2.315,2.2884,2.3031,2.3008
Training.gain.without.precipitation_of_wettest_quarter.2,2.3224,2.2988,2.2727,2.2874,2.2637,2.2691,2.2888,2.3093,2.2966,2.2748,2.2884
Training.gain.without.precipitation_of_wettest_quarter.3,2.4349,2.4179,2.3939,2.3912,2.3707,2.3873,2.4225,2.4153,2.3869,2.4,2.4021
Training.gain.without.precipitation_of_wettest_quarter.4,2.4201,2.4,2.3808,2.3868,2.3659,2.3587,2.3964,2.4017,2.3759,2.3836,2.387
Training.gain.without.savannas,2.4263,2.3947,2.3882,2.3883,2.3864,2.3506,2.4069,2.395,2.3709,2.3852,2.3892
Training.gain.without.snow_ice,2.4466,2.424,2.4026,2.404,2.389,2.3738,2.4267,2.4171,2.3913,2.4071,2.4082
Training.gain.without.urban_areas,2.3243,2.2957,2.2991,2.2981,2.3027,2.2656,2.2941,2.2946,2.2828,2.2947,2.2952
Training.gain.without.wetlands,2.4315,2.4118,2.3905,2.3835,2.3795,2.3823,2.4119,2.4106,2.3764,2.39,2.3968
Training.gain.without.woody_savannas,2.4393,2.4122,2.4005,2.3965,2.3861,2.3884,2.4203,2.4264,2.3898,2.3995,2.4059
Training.gain.with.only.barren_vegetation,0.4632,0.4629,0.4599,0.4578,0.4646,0.4624,0.4641,0.4605,0.4578,0.4578,0.4611
