,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,165,165,165,165,165,165,165,165,165,165,165
Regularized.training.gain,2.2487,2.1248,2.6473,2.3037,1.8022,2.4469,2.6664,1.929,2.5141,1.9018,2.2585
Unregularized.training.gain,13.5189,9.8711,23.448,12.1515,2.1147,17.2959,23.0627,2.2324,16.958,2.2194,12.2873
Iterations,10000,10000,10000,10000,1840,10000,10000,2060,10000,1600,7550
Training.AUC,0.948,0.9454,0.9496,0.9513,0.9456,0.9465,0.951,0.9468,0.9519,0.9458,0.9482
X.Test.samples,41,41,41,41,41,41,41,41,41,41,41
Test.gain,2.2674,2.2817,1.8961,1.749,2.4116,1.8858,1.8648,1.8399,1.5508,1.9733,1.972
Test.AUC,0.9446,0.9407,0.9294,0.9095,0.9441,0.9249,0.9231,0.9216,0.9143,0.9387,0.9291
AUC.Standard.Deviation,0.0131,0.0126,0.0172,0.0231,0.0116,0.017,0.013,0.0136,0.0196,0.0154,0.0156
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,15.3915,14.0353,10.9378,11.1244,10.802,9.0765,8.1887,8.2008,5.8156,7.0523,10.0625
annual_precipitation.contribution,0.9771,1.761,2.2158,2.1315,1.8604,2.0881,1.9636,1.9897,2.0319,1.8554,1.8874
barren_vegetation.contribution,10.2315,11.6362,8.3728,7.9351,8.4458,8.4774,6.7035,6.1112,8.2148,6.8739,8.3002
closed_shrubland.contribution,0.0895,0.102,0.0763,0.0245,0.0551,0.028,0.0719,0.0562,0.0331,0.0383,0.0575
croplands.contribution,10.524,9.9339,16.8569,18.1407,17.8845,17.7089,19.2337,19.488,18.9801,19.5271,16.8278
deciduous_broadleaf_forest.contribution,1.1847,1.1716,0.9603,1.0786,1.2834,1.3227,1.3996,1.402,1.3487,1.4085,1.256
deciduous_needleleaf_forest.contribution,0.0866,0.1406,0.1484,0.1739,0.2037,0.2171,0.2048,0.2556,0.3453,0.3021,0.2078
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
