,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
Regularized.training.gain,2.2823,2.2867,2.2534,2.2695,2.2739,2.2722,2.2713,2.2714,2.2745,2.274,2.2729
Unregularized.training.gain,2.4456,2.4633,2.4311,2.4416,2.4404,2.4372,2.4273,2.4655,2.4474,2.4998,2.4499
Iterations,1940,1760,1760,1580,1740,1820,1940,1820,1960,2080,1840
Training.AUC,0.9609,0.9614,0.96,0.9601,0.9606,0.9607,0.9605,0.9604,0.9609,0.9595,0.9605
X.Test.samples,366,366,366,366,366,366,366,366,366,366,366
Test.gain,2.276,2.2577,2.411,2.3477,2.319,2.3334,2.3154,2.324,2.3185,2.2897,2.3192
Test.AUC,0.9554,0.9538,0.9606,0.9591,0.9563,0.9561,0.9552,0.9561,0.9548,0.9573,0.9565
AUC.Standard.Deviation,0.0032,0.0039,0.003,0.0031,0.0033,0.0035,0.0036,0.0036,0.0037,0.0039,0.0035
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,1.8826,1.7558,3.6233,4.8863,4.3885,4.1664,4.8277,4.4181,4.2854,3.9734,3.8207
closed_shrubland.contribution,3e-04,0.0018,0.0107,0.0029,0.0202,0.0123,0.0332,0.0013,0.0108,0.0039,0.0097
croplands.contribution,8.6615,8.2442,8.2413,8.3873,7.7577,7.9015,8.3389,7.3385,7.4275,7.5216,7.982
deciduous_broadleaf_forest.contribution,0.9651,0.8046,0.7785,0.5815,0.5284,0.6525,0.6083,0.5252,0.6098,0.4725,0.6526
deciduous_needleleaf_forest.contribution,0.1509,0.2792,0.4482,0.5434,0.6135,0.5814,0.6203,0.8327,0.7434,1.0001,0.5813
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.2829,0.2464,0.2681,0.5849,0.5747,0.4918,0.674,0.6626,0.6214,0.5782,0.4985
grasslands.contribution,1.9382,2.2332,2.7369,2.6739,3.3477,3.0872,3.5763,3.3238,3.4296,3.4609,2.9808
mixed_forests.contribution,24.2233,24.2182,23.9281,20.6742,20.926,18.9777,17.1148,17.4344,17.4726,15.9452,20.0915
open_shrublands.contribution,0.304,0.3827,0.5204,0.4746,0.3892,0.4316,0.739,0.8919,1.1062,1.2608,0.65
precipitation_of_wettest_quarter.1.contribution,10.0836,8.8792,8.1853,3.5751,8.2143,7.1256,4.3398,5.7967,6.0425,5.2371,6.7479
precipitation_of_wettest_quarter.2.contribution,25.3549,25.3675,23.8105,23.4683,23.4504,28.6699,25.7221,27.3751,26.3335,29.5654,25.9118
