,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,186,186,186,186,186,186,186,186,186,186,186
Regularized.training.gain,2.1176,2.1753,2.0501,2.0334,2.1172,2.1349,2.0661,2.1325,2.2082,2.0584,2.1094
Unregularized.training.gain,2.4722,2.5532,2.4335,2.39,2.4744,2.4917,2.4065,2.4762,2.6016,2.4036,2.4703
Iterations,2040,2000,2120,2060,2540,2360,2400,2180,2060,1820,2158
Training.AUC,0.9603,0.9618,0.9576,0.9563,0.9607,0.9625,0.9599,0.9598,0.9622,0.9578,0.9599
X.Test.samples,46,46,46,46,46,46,46,46,46,46,46
Test.gain,1.8665,1.7213,2.1466,2.2837,1.7659,1.5032,2.1606,1.7987,1.4877,1.8612,1.8595
Test.AUC,0.9382,0.9316,0.9543,0.9626,0.9403,0.9178,0.9481,0.9328,0.9231,0.9343,0.9383
AUC.Standard.Deviation,0.0128,0.0137,0.0088,0.0078,0.0096,0.0163,0.0106,0.0124,0.0155,0.0159,0.0123
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,18.0976,19.3866,19.4735,19.1184,16.3813,17.4477,16.5141,15.2195,15.4066,16.9604,17.4006
closed_shrubland.contribution,0.0718,0.0711,0.09,0.1302,0.0999,0.2224,0.1493,0.1001,0.1122,0.0909,0.1138
croplands.contribution,4.5809,4.3761,2.444,3.6744,3.6687,4.9718,4.6684,4.168,5.4932,4.8599,4.2905
deciduous_broadleaf_forest.contribution,5.8099,9.9252,9.1573,9.0879,8.3055,8.2224,9.234,8.2741,9.488,8.8044,8.6309
deciduous_needleleaf_forest.contribution,0.1976,0.2438,0.5585,0.295,0.3917,0.4024,0.3656,0.4398,0.4583,0.4892,0.3842
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.613,1.0645,1.3323,1.4781,1.8747,1.6904,1.5523,1.7446,1.8306,1.6468,1.4827
