,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.deciduous_broadleaf_forest,3.7367,3.7978,3.9224,3.7041,3.8503,3.8635,3.6372,3.8555,4.059,3.596,3.8022
Training.gain.without.deciduous_needleleaf_forest,3.7858,3.8565,4.0441,3.798,3.8928,3.9002,3.6844,3.9069,4.1511,3.6543,3.8674
Training.gain.without.evergreen_broadleaf_forest,3.7858,3.8565,4.0441,3.798,3.8928,3.9002,3.6844,3.9069,4.1511,3.6543,3.8674
Training.gain.without.evergreen_needleleaf_forest,3.7658,3.8362,4.0425,3.7875,3.8896,3.884,3.673,3.889,4.1358,3.6509,3.8554
Training.gain.without.grasslands,3.4076,3.5033,3.5826,3.2829,3.5603,3.6857,3.391,3.5345,3.7405,3.257,3.4945
Training.gain.without.mixed_forests,3.7777,3.8366,4.042,3.7977,3.8517,3.798,3.6414,3.8814,4.15,3.6455,3.8422
Training.gain.without.open_shrublands,3.721,3.7536,3.9482,3.7053,3.7481,3.8015,3.5655,3.8369,4.0624,3.5717,3.7714
Training.gain.without.precipitation_of_wettest_quarter.1,3.584,3.6682,3.8052,3.6938,3.5904,3.7249,3.548,3.7175,4.0556,3.4647,3.6852
Training.gain.without.precipitation_of_wettest_quarter.2,3.3653,3.441,3.4391,3.3798,3.5446,3.3783,3.2491,3.568,3.5535,3.1547,3.4073
Training.gain.without.precipitation_of_wettest_quarter.3,3.7222,3.7579,3.9302,3.6007,3.8555,3.8007,3.5576,3.7833,4.0205,3.6093,3.7638
Training.gain.without.precipitation_of_wettest_quarter.4,3.574,3.5981,3.6668,3.5285,3.6293,3.5467,3.4771,3.6542,3.6837,3.3835,3.5742
Training.gain.without.savannas,3.7858,3.855,4.0442,3.7973,3.8937,3.8996,3.6841,3.9077,4.1512,3.6543,3.8673
Training.gain.without.snow_ice,3.7819,3.8532,4.008,3.7828,3.8894,3.8637,3.6778,3.9073,4.1222,3.6513,3.8538
Training.gain.without.urban_areas,3.7858,3.8418,4.0257,3.7913,3.8847,3.8998,3.6696,3.8987,4.1446,3.6403,3.8582
Training.gain.without.wetlands,3.7709,3.8301,4.0194,3.7678,3.8758,3.8643,3.6597,3.8835,4.1182,3.6233,3.8413
Training.gain.without.woody_savannas,3.7622,3.8178,3.9736,3.7198,3.8603,3.8702,3.6468,3.8921,4.0563,3.6257,3.8225
Training.gain.with.only.barren_vegetation,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246,0.4246
Training.gain.with.only.closed_shrubland,4e-04,0.0256,1e-04,0.0256,1e-04,0.0256,0.0256,1e-04,0.0256,1e-04,0.0129
Training.gain.with.only.croplands,0.4012,0.4121,0.3704,0.3249,0.3875,0.4111,0.3434,0.4743,0.5763,0.508,0.4209
Training.gain.with.only.deciduous_broadleaf_forest,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232
Training.gain.with.only.deciduous_needleleaf_forest,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.13,0.063,0.0586,0.0944,0.0607,0.0585,0.0609,0.0885,0.1372,0.0926,0.0844
Training.gain.with.only.grasslands,1.3399,1.3575,1.3407,1.3399,1.3575,1.3863,1.3719,1.3531,1.4729,1.3777,1.3697
Training.gain.with.only.mixed_forests,0.0504,0.1226,0.0792,0.0301,0.0633,0.1363,0.1236,0.0738,0.073,0.0799,0.0832
Training.gain.with.only.open_shrublands,0.1867,0.1978,0.2032,0.2032,0.1978,0.1867,0.1978,0.1867,0.2032,0.1867,0.195
Training.gain.with.only.precipitation_of_wettest_quarter.1,0.8529,0.7942,0.9025,0.8189,0.9111,0.7569,0.7505,0.8288,0.8206,0.8135,0.825
Training.gain.with.only.precipitation_of_wettest_quarter.2,0.4132,0.3797,0.4701,0.4488,0.3586,0.4188,0.4053,0.3645,0.4759,0.3956,0.413
Training.gain.with.only.precipitation_of_wettest_quarter.3,0.6686,0.7136,0.6908,0.7506,0.6765,0.6931,0.6956,0.7585,0.6966,0.5971,0.6941
Training.gain.with.only.precipitation_of_wettest_quarter.4,0.238,0.2416,0.2367,0.1685,0.2485,0.2338,0.1702,0.2389,0.2408,0.23,0.2247
Training.gain.with.only.savannas,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164
Training.gain.with.only.snow_ice,0.0307,0.0307,0.0031,0.0031,0.0307,0.0028,0.0307,0.0307,0.0031,0.0307,0.0196
Training.gain.with.only.urban_areas,0.0151,0,0,0.008,0.008,0.0151,0,0.008,0.0262,0,0.008
Training.gain.with.only.wetlands,0.0533,0.0533,0.0533,0.0533,0.0533,0.0533,0.0533,0.0533,0.0533,0.0533,0.0533
Training.gain.with.only.woody_savannas,0.0711,0.068,0.0711,0.0703,0.069,0.0716,0.068,0.0703,0.0703,0.0696,0.0699
Test.gain.without.barren_vegetation,3.6485,3.9136,2.9069,3.8776,3.3809,3.7559,4.6214,3.6434,2.2753,4.5558,3.6579
Test.gain.without.closed_shrubland,3.7341,4.124,2.9155,4.0889,3.3321,3.8675,4.6871,3.6026,2.417,4.581,3.735
Test.gain.without.croplands,3.5263,3.6534,2.951,3.7604,3.1472,3.6569,4.1945,3.6179,2.4703,4.4858,3.5464
Test.gain.without.deciduous_broadleaf_forest,3.5441,3.9022,3.0903,4.0025,3.3847,3.6369,4.4866,3.5961,2.3626,4.5887,3.6595
Test.gain.without.deciduous_needleleaf_forest,3.7417,4.0005,3.0437,4.0912,3.5015,3.831,4.6508,3.7335,2.3773,4.6619,3.7633
Test.gain.without.evergreen_broadleaf_forest,3.7417,4.0005,3.0437,4.0912,3.5015,3.831,4.6508,3.7335,2.3773,4.6619,3.7633
Test.gain.without.evergreen_needleleaf_forest,3.9026,4.0966,3.0229,4.1042,3.4614,3.8624,4.6541,3.7776,2.5352,4.6202,3.8037
Test.gain.without.grasslands,3.3102,3.8233,3.3329,4.4273,3.1723,3.0382,4.2846,3.6042,2.5758,4.5797,3.6148
Test.gain.without.mixed_forests,3.6813,3.9548,3.0482,4.0846,3.595,4.0966,4.7325,3.7189,2.425,4.647,3.7984
Test.gain.without.open_shrublands,3.4689,4.0312,2.8228,3.8623,3.7394,3.8375,4.7034,3.553,2.2051,4.5965,3.682
Test.gain.without.precipitation_of_wettest_quarter.1,3.8051,4.073,3.3446,3.69,4.0132,3.6398,4.5092,3.6536,2.0038,4.7107,3.7443
Test.gain.without.precipitation_of_wettest_quarter.2,2.9079,3.081,2.9513,2.9837,2.4436,3.2045,3.7876,2.6101,2.1882,4.1892,3.0347
Test.gain.without.precipitation_of_wettest_quarter.3,3.4379,3.7591,2.8487,4.2323,3.139,3.5648,4.5595,3.5803,2.2775,4.2998,3.5699
Test.gain.without.precipitation_of_wettest_quarter.4,2.9343,3.4714,3.0548,3.5242,3.0896,3.5528,3.9649,3.1266,2.793,4.1749,3.3687
Test.gain.without.savannas,3.73,3.9994,3.0457,4.0693,3.494,3.8374,4.6451,3.7342,2.3768,4.6701,3.7602
Test.gain.without.snow_ice,3.6814,3.9822,3.0105,4.0523,3.4424,3.9293,4.6131,3.7139,2.3603,4.6249,3.741
Test.gain.without.urban_areas,3.7456,4.0224,3.0869,4.0692,3.4915,3.8836,4.6704,3.7209,2.5535,4.6808,3.7925
Test.gain.without.wetlands,3.6187,3.9396,3.0093,4.0551,3.3832,3.7741,4.5777,3.6166,2.4607,4.6341,3.7069
Test.gain.without.woody_savannas,3.6785,3.9426,3.1374,4.1337,3.4963,3.7824,4.5574,3.6094,2.6687,4.5691,3.7575
Test.gain.with.only.barren_vegetation,0.4561,0.4561,0.4561,0.4561,0.4561,0.4561,0.4561,0.4561,0.4561,0.4561,0.4561
Test.gain.with.only.closed_shrubland,-0.003,-0.0342,0.0129,-0.0342,0.0129,-0.0342,-0.0342,0.0129,-0.0342,0.0129,-0.0122
Test.gain.with.only.croplands,0.759,0.7242,0.5375,0.9808,0.7869,0.7101,0.9484,0.48,0.0869,0.3561,0.637
Test.gain.with.only.deciduous_broadleaf_forest,0.0458,0.0458,0.0458,0.0458,0.0458,0.0458,0.0458,0.0458,0.0458,0.0458,0.0458
Test.gain.with.only.deciduous_needleleaf_forest,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,-0.2583,0.0901,0.1323,-0.0186,0.1265,0.1391,0.1257,-0.0401,-0.2435,-0.015,0.0038
Test.gain.with.only.grasslands,1.5808,1.588,1.5722,1.5808,1.588,1.4308,1.4628,1.5894,1.0509,1.4987,1.4942
Test.gain.with.only.mixed_forests,0.285,0.0573,0.2088,0.1975,0.2524,-0.0432,0.0457,0.2406,0.2426,0.2066,0.1693
Test.gain.with.only.open_shrublands,0.2225,0.1492,0.1137,0.1137,0.1492,0.2225,0.1492,0.2225,0.1137,0.2225,0.1679
Test.gain.with.only.precipitation_of_wettest_quarter.1,0.547,0.747,0.3,0.5873,0.2748,0.8919,0.9207,0.5892,0.6286,0.7427,0.6229
Test.gain.with.only.precipitation_of_wettest_quarter.2,0.4883,0.6213,0.2812,0.33,0.6811,0.4842,0.5404,0.6705,0.2618,0.5364,0.4895
Test.gain.with.only.precipitation_of_wettest_quarter.3,0.8969,0.7195,0.8184,0.5119,0.7264,0.8046,0.7857,0.5169,0.7867,1.1146,0.7682
Test.gain.with.only.precipitation_of_wettest_quarter.4,0.0458,0.0543,0.0849,0.3249,0.0095,0.0926,0.3276,0.0635,0.0588,0.1046,0.1166
Test.gain.with.only.savannas,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038
Test.gain.with.only.snow_ice,-0.0376,-0.0376,0.0452,0.0452,-0.0376,0.0393,-0.0376,-0.0376,0.0452,-0.0376,-0.0051
Test.gain.with.only.urban_areas,-0.2984,0,0,-0.0447,-0.0447,-0.2984,0,-0.0447,-0.2704,0,-0.1001
Test.gain.with.only.wetlands,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845
Test.gain.with.only.woody_savannas,0.0479,0.0748,0.0479,0.0656,0.0579,0.0655,0.0748,0.0656,0.0656,0.0772,0.0643
AUC.without.barren_vegetation,0.9752,0.9878,0.9527,0.968,0.9724,0.9862,0.9966,0.9854,0.9623,0.985,0.9772
AUC.without.closed_shrubland,0.9772,0.9895,0.9526,0.9766,0.9675,0.9877,0.9974,0.9857,0.9682,0.9855,0.9788
AUC.without.croplands,0.9731,0.9877,0.9604,0.9706,0.9672,0.9868,0.9948,0.9861,0.9621,0.9861,0.9775
