,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,316,316,316,316,316,316,316,316,316,316,316
Regularized.training.gain,2.9334,2.7558,2.7911,2.7562,2.987,2.7327,2.9275,2.7981,2.9512,2.8087,2.8442
Unregularized.training.gain,3.7279,3.189,3.2605,3.1531,4.2936,3.1752,3.7442,3.2518,3.6085,3.3136,3.4717
Iterations,4620,2780,2880,2480,4880,3080,4040,3000,3200,2640,3360
Training.AUC,0.9678,0.9724,0.9741,0.9747,0.9645,0.9736,0.9709,0.9751,0.9725,0.9746,0.972
X.Test.samples,78,78,78,78,78,78,78,78,78,78,78
Test.gain,2.6229,3.118,3.0821,3.0998,2.0932,3.2331,2.7488,2.9277,2.5582,3.1117,2.8595
Test.AUC,0.9638,0.9704,0.9684,0.9711,0.9564,0.9697,0.955,0.9655,0.9568,0.9668,0.9644
AUC.Standard.Deviation,0.007,0.0045,0.0039,0.004,0.0091,0.0044,0.0086,0.0046,0.006,0.0053,0.0057
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,5.9925,5.9992,8.8268,7.8601,9.3156,8.8537,7.3798,8.138,8.0393,8.9593,7.9364
closed_shrubland.contribution,0.3827,0.0203,0.2999,0.1981,0.293,0.1968,0.2056,0.0911,0.1355,0.1724,0.1995
croplands.contribution,8.364,10.7555,8.956,10.4231,10.2616,9.4762,8.8751,9.0808,8.1615,9.1998,9.3554
deciduous_broadleaf_forest.contribution,0.3492,0.2036,0.3141,0.3273,0.3867,0.3635,0.4879,0.4926,0.5888,0.6206,0.4134
deciduous_needleleaf_forest.contribution,0.3414,0.3783,0.3617,0.366,0.4738,0.8388,0.5173,0.4558,0.4266,0.4372,0.4597
evergreen_broadleaf_forest.contribution,0.1548,0,0,0.0837,0,0.0808,0.0765,0,0.0674,0.0579,0.0521
evergreen_needleleaf_forest.contribution,10.2272,9.6575,8.9632,8.4654,8.3409,8.723,5.9952,6.6506,7.5132,8.0086,8.2545
grasslands.contribution,4.3634,4.4314,4.8706,5.3353,6.6396,5.8955,6.0261,6.335,6.5197,6.8737,5.729
mixed_forests.contribution,3.2448,3.2621,3.7773,4.178,4.8893,4.6277,4.9999,5.2216,5.5408,5.6574,4.5399
open_shrublands.contribution,1.0231,1.5568,3.2275,1.9571,1.8973,1.7311,1.7432,1.6596,2.089,1.9356,1.882
precipitation_of_wettest_quarter.1.contribution,20.5238,19.8486,17.5779,20.1657,17.6612,20.8661,22.3588,20.8172,20.0084,20.4722,20.03
precipitation_of_wettest_quarter.2.contribution,8.1903,8.6453,8.7415,7.2608,7.3452,6.5537,7.1487,6.4574,6.731,5.87,7.2944
precipitation_of_wettest_quarter.3.contribution,0.8953,1.1169,1.0265,1.1674,1.0812,1.0593,0.9844,1.2119,1.1155,1.3212,1.098
precipitation_of_wettest_quarter.4.contribution,5.7786,3.5487,4.5374,3.9639,4.3122,3.3766,4.1574,4.0937,4.3016,3.277,4.1347
savannas.contribution,0.3361,0.3138,0.4905,0.4071,0.6225,0.7051,0.6993,0.7544,0.6786,0.7987,0.5806
snow_ice.contribution,2.6879,3.1968,3.7486,3.7269,5.1418,5.6727,5.9772,5.7238,6.2625,6.4752,4.8613
urban_areas.contribution,0.4361,0.4454,0.6864,0.8803,1.059,1.0203,1.1923,1.2695,1.3641,1.4252,0.9779
wetlands.contribution,2.7977,2.5605,3.0556,2.8058,2.6399,2.6763,2.613,2.9652,2.9208,3.0988,2.8134
woody_savannas.contribution,23.9111,24.0594,20.5385,20.4278,17.6394,17.283,18.5622,18.5817,17.5357,15.3394,19.3878
barren_vegetation.permutation.importance,21.9949,18.7293,16.6765,10.1418,36.3595,17.1035,24.5742,9.7104,20.0122,18.7605,19.4063
closed_shrubland.permutation.importance,0.069,0,0.0355,0,0.0932,0,0.076,0,0.0448,0.0381,0.0357
croplands.permutation.importance,1.1319,0.9875,1.1728,0.9369,1.7741,1.6578,0.8925,1.3024,0.9473,1.286,1.2089
deciduous_broadleaf_forest.permutation.importance,0.2465,0.0186,0.2322,0.1301,0.1031,0.093,0.0238,0.2682,0.1679,0.161,0.1444
deciduous_needleleaf_forest.permutation.importance,0,0.0145,0.1451,0.106,0.045,0.1923,0.0353,0.0991,0.0371,0.0353,0.071
evergreen_broadleaf_forest.permutation.importance,0.0261,0,0,0.0262,0,0.025,0.0149,0,0.0124,0.0257,0.013
evergreen_needleleaf_forest.permutation.importance,1.9846,1.7467,1.3269,1.5306,1.0655,1.8226,1.8497,2.1898,2.1515,2.5553,1.8223
grasslands.permutation.importance,3.8637,2.27,2.0548,1.7663,1.752,1.6643,2.0119,1.7748,3.0747,1.5998,2.1832
mixed_forests.permutation.importance,1.1831,1.7894,1.9119,1.6766,1.9597,2.1942,1.6027,2.189,1.9691,2.404,1.888
open_shrublands.permutation.importance,0.4162,0.6858,0.4428,0.4873,0.6931,1.1075,0.5483,0.461,0.4271,0.5915,0.5861
precipitation_of_wettest_quarter.1.permutation.importance,26.7921,33.5676,37.656,51.2762,15.5577,43.5545,26.2231,50.6255,29.3562,33.3318,34.7941
precipitation_of_wettest_quarter.2.permutation.importance,4.3981,4.9972,5.6012,5.4708,3.1048,5.2157,4.4746,5.3503,4.7979,5.2872,4.8698
precipitation_of_wettest_quarter.3.permutation.importance,2.8479,1.7751,1.0812,0.7261,0.7951,0.6511,0.8633,0.9244,1.6242,1.2622,1.2551
