,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,204,204,204,204,204,204,204,204,204,204,204
Regularized.training.gain,2.2261,2.5774,2.2115,2.151,2.6083,2.8067,2.6619,2.2141,3.1159,2.0251,2.4598
Unregularized.training.gain,3.1763,5.4014,3.0582,2.9126,7.1344,7.1594,10.5981,3.3667,9.7291,2.5987,5.5135
Iterations,3320,10000,3140,3620,10000,10000,10000,4360,10000,2960,6740
Training.AUC,0.9384,0.9072,0.9443,0.9465,0.9007,0.9018,0.9109,0.9335,0.8915,0.9469,0.9222
X.Test.samples,51,51,51,51,51,51,51,51,51,51,51
Test.gain,1.6569,0.6455,1.8336,2.1058,-0.912,-1.8274,-7.5827,2.0421,-12.4193,2.3411,-1.2116
Test.AUC,0.8954,0.8905,0.9028,0.9028,0.8352,0.8615,0.8532,0.9105,0.8288,0.9221,0.8803
AUC.Standard.Deviation,0.0184,0.0197,0.0192,0.0158,0.0319,0.0274,0.0341,0.0171,0.0375,0.017,0.0238
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,4.179,3.3464,7.939,8.2948,8.4542,9.1055,8.2322,8.163,9.5412,9.1814,7.6437
closed_shrubland.contribution,1.4047,1.924,2.2459,2.1979,2.0776,2.5167,2.294,2.2075,2.2916,2.3943,2.1554
croplands.contribution,24.6417,19.7358,17.2415,17.4238,15.5144,12.1957,12.4819,12.7264,10.2434,11.307,15.3512
deciduous_broadleaf_forest.contribution,1.5309,1.4266,1.5607,1.8895,2.1801,2.1709,2.0273,2.0933,2.1877,2.3046,1.9372
deciduous_needleleaf_forest.contribution,2.025,2.6745,1.4136,1.1054,2.4017,2.3248,1.4093,1.6578,3.2298,2.275,2.0517
evergreen_broadleaf_forest.contribution,0.2336,7e-04,7e-04,0.1058,0.0912,0.1032,0.0761,0.1055,0.0046,0.061,0.0782
evergreen_needleleaf_forest.contribution,1.8982,1.9539,2.4357,2.4435,2.4421,2.0463,2.0815,2.0313,2.2188,2.1553,2.1707
grasslands.contribution,5.8168,6.4417,7.6738,8.5062,8.7291,7.466,7.1004,6.9702,7.2275,6.9551,7.2887
mixed_forests.contribution,2.0952,2.0898,2.1827,2.7703,2.9807,3.1199,3.2613,3.512,3.7429,3.7684,2.9523
open_shrublands.contribution,3.6097,3.5288,5.3777,5.1505,4.7273,5.0862,4.8743,5.2861,4.9835,5.2954,4.7919
precipitation_of_wettest_quarter.1.contribution,10.5248,8.9135,6.6797,4.2691,5.1693,4.1534,4.2288,5.3571,4.7284,4.3562,5.838
precipitation_of_wettest_quarter.2.contribution,4.3981,4.9197,5.3461,5.4504,6.6261,6.0985,6.2916,7.0754,7.2071,7.0164,6.0429
precipitation_of_wettest_quarter.3.contribution,9.7417,7.8686,5.8021,6.5351,3.3749,5.9785,5.7656,5.4437,2.9685,5.4682,5.8947
precipitation_of_wettest_quarter.4.contribution,11.5605,9.8943,10.7543,8.8284,6.9731,8.0059,6.9864,5.553,5.251,4.9541,7.8761
savannas.contribution,0.7603,0.5564,0.9555,0.6209,0.4845,0.4296,0.378,0.454,0.3382,0.341,0.5318
snow_ice.contribution,9e-04,0.0017,0.0019,0.0035,0.0029,0.0023,0.0021,0.0024,0.0021,0.002,0.0022
urban_areas.contribution,8.9697,16.888,13.8154,16.2282,19.4895,21.6846,25.4218,23.8366,25.4665,23.8159,19.5616
wetlands.contribution,0.8228,0.7821,0.9948,0.9728,1.0941,1.0877,1.0984,1.3077,1.4592,1.4389,1.1058
woody_savannas.contribution,5.7863,7.0536,7.5789,7.2038,7.1872,6.424,5.989,6.2168,6.908,6.9101,6.7258
barren_vegetation.permutation.importance,15.4929,15.1217,9.1357,0.1272,11.7473,9.4754,9.239,12.2498,18.0466,4.0248,10.466
closed_shrubland.permutation.importance,1.2657,0.1692,1.0329,1.0548,0.0783,1.3348,0.1236,0.1008,1.3905,0.8552,0.7406
croplands.permutation.importance,8.0412,9.8679,12.7197,15.3154,8.8324,7.8488,9.4896,10.4564,6.4516,13.9619,10.2985
deciduous_broadleaf_forest.permutation.importance,0.6269,0.2878,0.0908,1.292,0.691,0.6155,0.7284,0.1988,0.477,0.9212,0.5929
deciduous_needleleaf_forest.permutation.importance,0.7323,0.7507,0,0.0288,2.5198,3.1718,0,0,2.42,0,0.9623
evergreen_broadleaf_forest.permutation.importance,0.2791,0,0,0.2304,0.3046,0.2764,0.1869,0.2493,0,0.3192,0.1846
evergreen_needleleaf_forest.permutation.importance,1.8322,1.3148,1.7197,1.7936,0.6554,0.8025,0.291,0.5635,0.5331,0.8029,1.0309
grasslands.permutation.importance,3.8727,4.2105,3.8582,5.2321,2.7647,5.3047,3.0954,3.6937,4.9141,3.2397,4.0186
mixed_forests.permutation.importance,1.1558,2.5365,3.6236,3.9163,1.8589,2.9748,2.7135,1.8297,3.3006,3.2593,2.7169
open_shrublands.permutation.importance,3.5394,3.6111,4.9572,5.6763,2.9664,4.3648,4.0171,4.9243,2.643,5.1714,4.1871
precipitation_of_wettest_quarter.1.permutation.importance,22.892,14.0934,22.1686,24.6175,11.2443,14.796,13.1924,25.3876,12.0095,23.7393,18.4141
precipitation_of_wettest_quarter.2.permutation.importance,2.8082,2.2149,3.8088,1.9401,2.6928,1.8069,1.7013,2.3858,0.3523,5.1234,2.4834
precipitation_of_wettest_quarter.3.permutation.importance,12.9462,9.8681,14.3432,12.3954,11.11,11.8551,9.4546,18.601,11.2085,14.3208,12.6103
precipitation_of_wettest_quarter.4.permutation.importance,15.7449,28.9498,12.8867,16.3468,36.9112,29.6296,39.7343,11.3762,28.1584,14.148,23.3886
savannas.permutation.importance,0,0.0664,0.0672,0,0.0129,0.1102,0.0085,0.09,0.0631,0.0191,0.0437
snow_ice.permutation.importance,0.0162,0,0,0.1289,0,0,0,0.0046,0,0.0042,0.0154
urban_areas.permutation.importance,4.5695,2.2781,3.7054,4.5659,1.4155,2.6483,1.9907,3.1059,2.7882,4.0232,3.1091
wetlands.permutation.importance,0,1.2406,0.8884,0.3563,0.3528,0.0557,0.2405,0.7725,1.2576,0.1023,0.5267
woody_savannas.permutation.importance,4.1846,3.4185,4.9939,4.9822,3.8416,2.9287,3.7932,4.0101,3.9859,5.9642,4.2103
Training.gain.without.barren_vegetation,2.2004,2.5362,2.182,2.148,2.5669,2.7705,2.6279,2.1855,2.9519,2.0112,2.4181
Training.gain.without.closed_shrubland,2.155,2.4627,2.1194,2.0712,2.4463,2.4893,2.5162,2.1822,2.7964,1.9797,2.3218
Training.gain.without.croplands,2.1556,2.4348,2.1292,2.082,2.4673,2.7038,2.4945,2.1526,2.8828,1.9575,2.346
Training.gain.without.deciduous_broadleaf_forest,2.1336,2.4975,2.1339,2.065,2.5082,2.663,2.5879,2.1608,2.9095,1.9528,2.3612
Training.gain.without.deciduous_needleleaf_forest,2.1641,2.4929,2.2081,2.1356,2.3698,2.6228,2.6498,2.194,2.4486,2.0194,2.3305
Training.gain.without.evergreen_broadleaf_forest,2.2158,2.5744,2.2122,2.1413,2.5726,2.7972,2.6366,2.2026,3.0662,2.0158,2.4435
Training.gain.without.evergreen_needleleaf_forest,2.1954,2.4949,2.1565,2.0992,2.5453,2.7375,2.596,2.1708,3.034,1.9958,2.4025
Training.gain.without.grasslands,2.1009,2.2117,2.0874,2.0371,2.1639,2.2268,2.1151,2.0605,2.6128,1.9627,2.1579
Training.gain.without.mixed_forests,2.1637,2.4346,2.1552,2.0509,2.3541,2.4699,2.5168,2.1812,2.5883,1.987,2.2902
Training.gain.without.open_shrublands,2.1666,2.4818,2.1048,2.069,2.5098,2.7023,2.5332,2.1054,2.9958,1.966,2.3635
Training.gain.without.precipitation_of_wettest_quarter.1,2.083,2.2953,2.0488,2.0147,2.208,2.3928,2.3963,2.035,2.7896,1.9081,2.2172
Training.gain.without.precipitation_of_wettest_quarter.2,2.1223,2.3893,2.1124,2.0599,2.4183,2.5803,2.4601,2.1565,2.8235,1.9586,2.3081
Training.gain.without.precipitation_of_wettest_quarter.3,2.1734,2.4233,2.1372,2.1121,2.3364,2.4966,2.5647,2.1343,2.8814,1.9815,2.3241
Training.gain.without.precipitation_of_wettest_quarter.4,2.0026,2.1808,1.9792,1.9339,2.1091,2.2388,1.8893,1.9638,2.671,1.8326,2.0801
Training.gain.without.savannas,2.2252,2.561,2.2086,2.1505,2.598,2.8105,2.7024,2.2104,3.0185,2.025,2.451
Training.gain.without.snow_ice,2.2262,2.5777,2.2123,2.1501,2.5929,2.8365,2.6707,2.2142,3.069,2.0249,2.4575
Training.gain.without.urban_areas,1.8864,1.8829,1.9304,1.8661,1.8029,1.88,1.7218,1.8101,1.8798,1.8638,1.8524
Training.gain.without.wetlands,2.2165,2.5455,2.1837,2.1399,2.582,2.8238,2.6428,2.1816,3.0019,2.0174,2.4335
Training.gain.without.woody_savannas,2.1276,2.4644,2.0847,2.0514,2.4824,2.7187,2.5996,2.1133,2.8217,1.9086,2.3372
Training.gain.with.only.barren_vegetation,0.4029,0.4042,0.4257,0.4237,0.4049,0.4078,0.4029,0.4078,0.4229,0.4078,0.4111
