,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,814,814,814,814,814,814,814,814,814,814,814
Regularized.training.gain,12863.2973,2.0516,2.8865,2.0609,2.0367,23312.9514,2.0489,2.2146,2.1205,2.0998,3619.3768
Unregularized.training.gain,107501.4168,2.2844,23.6763,2.2402,2.2538,167675.8878,2.3115,5.4893,2.3451,2.3388,27522.0244
Iterations,3420,1580,10000,1520,1780,5200,1700,10000,1560,1640,3840
Training.AUC,0.6038,0.9524,0.9515,0.9533,0.9514,0.6453,0.9508,0.9546,0.9539,0.9531,0.887
X.Test.samples,203,203,203,203,203,203,203,203,203,203,203
Test.gain,11506.7104,2.2964,14.3178,2.1337,2.2473,-5987.1727,2.2969,3.9759,1.8983,2.0079,555.0712
Test.AUC,0.5839,0.955,0.9467,0.9483,0.9496,0.6392,0.9542,0.9407,0.9393,0.9422,0.8799
AUC.Standard.Deviation,0.017,0.0043,0.0062,0.0057,0.006,0.02,0.0048,0.0056,0.0065,0.0062,0.0082
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,5.4671,0.5563,1.6046,0.5211,0.4919,1.362,0.0225,0.0208,0.0177,0.0183,1.0082
closed_shrubland.contribution,1e-04,0.0414,0.0622,0.0347,0.0508,0,0.003,0.0017,0.0019,0.001,0.0197
croplands.contribution,2e-04,0.1305,0.2137,0.2266,0.2714,0.438,0.0185,0.0193,0.0224,0.0236,0.1364
deciduous_broadleaf_forest.contribution,5e-04,0.3634,0.41,0.3634,0.4963,4e-04,0.0192,0.0162,0.0187,0.0224,0.171
deciduous_needleleaf_forest.contribution,1e-04,0.072,0.0829,0.0907,0.1331,2e-04,0.0124,0.0148,0.0176,0.0181,0.0442
evergreen_broadleaf_forest.contribution,10.7859,0.0939,1.0594,0.0543,0.0336,2.7055,0.0019,0.0072,0.0018,0.001,1.4744
evergreen_needleleaf_forest.contribution,0.0185,0.6774,0.7951,0.9859,0.9985,0.0916,0.0609,0.069,0.0695,0.0766,0.3843
grasslands.contribution,57.483,0.115,0.2058,0.1864,0.257,86.9472,46.268,46.2395,46.2316,46.2243,33.0158
mixed_forests.contribution,0.0709,62.7328,59.7306,62.4973,62.5281,0.9045,47.1649,47.1457,47.1598,47.1549,43.709
open_shrublands.contribution,0,0.0549,0.0619,0.0504,0.0231,0.0382,0.0032,0.0034,0.0032,0.0034,0.0242
precipitation_of_wettest_quarter.1.contribution,0.0017,1.5617,1.4759,1.4687,1.1678,7e-04,0.0634,0.0624,0.0464,0.05,0.5899
precipitation_of_wettest_quarter.2.contribution,26.1385,30.6954,31.4317,30.5871,29.7851,6.3273,1.2718,1.2942,1.2724,1.2711,16.0075
precipitation_of_wettest_quarter.3.contribution,0.0014,1.3113,1.128,1.2457,1.8474,0.0012,0.0514,0.0519,0.0818,0.0803,0.58
precipitation_of_wettest_quarter.4.contribution,1e-04,0.0418,0.0825,0.0865,0.0767,0.4655,0.0207,0.0284,0.0294,0.0308,0.0862
savannas.contribution,0,0.0219,0.0227,0.0192,0.0287,0,0.0018,0.0016,0.0023,0.002,0.01
snow_ice.contribution,1e-04,0.0445,0.0509,0.0391,0.0756,0,0.0019,0.0017,0.0016,0.0037,0.0219
urban_areas.contribution,0.0318,1.2552,1.3173,1.3094,1.4831,0.0743,4.8599,4.8641,4.8646,4.8616,2.4921
wetlands.contribution,2e-04,0.1648,0.194,0.1694,0.1744,0.4068,0.0067,0.0082,0.0093,0.0075,0.1141
woody_savannas.contribution,1e-04,0.0657,0.0707,0.0642,0.0775,0.2365,0.1479,0.1499,0.1482,0.1494,0.111
barren_vegetation.permutation.importance,13.6639,4.0992,47.1051,2.965,1.8512,4.2259,2.4865,44.8521,2.0079,2.0218,12.5279
closed_shrubland.permutation.importance,0,0.136,0.1374,0.1393,0.2264,0,0.3092,0.1201,0.1732,0.1315,0.1373
croplands.permutation.importance,0,2.6337,1.6378,2.484,3.3703,3.8454,4.0519,1.9367,3.6557,3.5466,2.7162
deciduous_broadleaf_forest.permutation.importance,0,0.8156,0.4911,0.8174,0.7974,0.0011,1.0908,0.4242,0.9536,0.9755,0.6367
deciduous_needleleaf_forest.permutation.importance,0,0.1892,0.066,0.1784,2.247,0,1.4,0.3204,1.5998,2.2031,0.8204
evergreen_broadleaf_forest.permutation.importance,0.3711,0.8431,0.4065,0.0411,0.0358,0.1525,0.6324,0.4818,0,0.1479,0.3112
evergreen_needleleaf_forest.permutation.importance,0,0.2414,0.2707,0.3763,0.0994,0,0.1392,0.3591,0.1378,0.1701,0.1794
grasslands.permutation.importance,0,2.5622,2.5745,3.6185,2.4157,0,2.808,4.2699,3.0183,2.1741,2.3441
mixed_forests.permutation.importance,84.9534,1.4114,0.7939,1.5239,1.3096,51.4506,1.3515,0.6149,1.7446,1.3435,14.6497
open_shrublands.permutation.importance,0,0.166,0.016,0.1134,0.0208,0,0.0101,0.0716,0.1138,0.1612,0.0673
precipitation_of_wettest_quarter.1.permutation.importance,0.0032,61.6121,29.9744,63.0879,61.5036,0.9632,63.0696,31.0653,61.7382,62.708,43.5725
precipitation_of_wettest_quarter.2.permutation.importance,0.6356,13.9754,9.6859,14.3403,16.0284,5.9755,11.4984,8.6448,13.2817,13.3391,10.7405
precipitation_of_wettest_quarter.3.permutation.importance,9e-04,5.3886,2.096,4.494,3.3702,9e-04,2.5894,2.6261,4.5542,3.6947,2.8815
precipitation_of_wettest_quarter.4.permutation.importance,0.0032,1.1009,1.6078,2.106,2.2007,14.8698,3.4508,1.3986,1.7762,2.0338,3.0548
savannas.permutation.importance,0,0.377,0.1748,0.088,0.2612,0,0.3334,0.1457,0.2997,0.1544,0.1834
snow_ice.permutation.importance,0,0.0967,0.0327,0.094,0.0106,0,0.0263,0.104,0.0668,0.3251,0.0756
