,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.barren_vegetation,2.8415,2.7604,2.8173,2.7773,2.8316,2.8447,2.8749,2.7586,2.7965,2.8156,2.8118
Training.gain.without.closed_shrubland,2.8405,2.7599,2.8164,2.7766,2.8304,2.8434,2.874,2.7572,2.7951,2.8142,2.8108
Training.gain.without.croplands,2.8262,2.7447,2.8046,2.7639,2.8171,2.8231,2.8627,2.7425,2.7725,2.8045,2.7962
Training.gain.without.deciduous_broadleaf_forest,2.8297,2.7513,2.8068,2.7641,2.8239,2.8313,2.861,2.7481,2.7808,2.7985,2.7995
Training.gain.without.deciduous_needleleaf_forest,2.8371,2.7606,2.8147,2.7729,2.8256,2.8399,2.8734,2.7547,2.7916,2.8143,2.8085
Training.gain.without.evergreen_broadleaf_forest,2.842,2.7606,2.8163,2.7774,2.8318,2.8449,2.8752,2.7589,2.7968,2.8156,2.812
Training.gain.without.evergreen_needleleaf_forest,2.793,2.6948,2.7591,2.7314,2.7865,2.7759,2.7894,2.7159,2.7385,2.7455,2.753
Training.gain.without.grasslands,2.8005,2.727,2.7815,2.7415,2.7915,2.8046,2.837,2.7309,2.7515,2.7838,2.775
Training.gain.without.mixed_forests,2.8101,2.7321,2.766,2.7425,2.8064,2.8222,2.8312,2.7151,2.7527,2.7626,2.7741
Training.gain.without.open_shrublands,2.8005,2.7275,2.7765,2.7414,2.7833,2.7903,2.8259,2.7072,2.7667,2.776,2.7695
Training.gain.without.precipitation_seasonality,2.8136,2.7418,2.7788,2.7492,2.7962,2.8166,2.8486,2.728,2.7723,2.7888,2.7834
Training.gain.without.savannas,2.8239,2.74,2.7794,2.7636,2.8009,2.8059,2.839,2.7222,2.7825,2.7884,2.7846
Training.gain.without.snow_ice,2.8353,2.7595,2.8163,2.7714,2.82,2.8353,2.8634,2.758,2.7861,2.8079,2.8053
Training.gain.without.temperature_seasonality,2.6157,2.5553,2.5429,2.5762,2.5652,2.5979,2.6276,2.5318,2.5458,2.5843,2.5743
Training.gain.without.urban_areas,2.7427,2.6772,2.7426,2.6904,2.7445,2.7371,2.745,2.6938,2.688,2.697,2.7158
Training.gain.without.wetlands,2.8365,2.759,2.8123,2.7661,2.8272,2.8367,2.8633,2.7504,2.7897,2.8,2.8041
Training.gain.without.woody_savannas,2.8209,2.7428,2.8047,2.7576,2.8167,2.8208,2.8458,2.7391,2.7775,2.7913,2.7917
