,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Training.gain.without.deciduous_broadleaf_forest,519.7281,1067.5093,11272.9847,4962.9287,999.6063,409352.4851,515.0058,27843.7585,10739.2076,1910531.1839,237780.4398
Training.gain.without.deciduous_needleleaf_forest,10369.93,871.306,3995.933,450.5142,14526.52,35486170,1576252,34724.79,4832.963,24567.77,3715676
Training.gain.without.evergreen_broadleaf_forest,133003.6,435.9381,1522.752,383.5715,16220020,1308.382,162665.1,1013.684,219.5983,325.099,1652090
Training.gain.without.evergreen_needleleaf_forest,248505.1,30781720,17479540,70825.26,24181.88,273922.1,175289.6,436.7595,14897.82,539.9996,4906986
Training.gain.without.grasslands,308402.6584,754.6523,2625.1803,54818.1986,3093.1678,31324.4239,1543877.6044,5751.2997,628.4247,462822.6538,241409.8264
Training.gain.without.mixed_forests,642.1782,449.5966,1820.9515,19567.4518,1131.7446,375.7732,25714.175,30926.4158,276.9187,1463.9743,8236.918
Training.gain.without.open_shrublands,27699.0356,24896.7365,401892.4254,494.6388,771.531,648.7785,1225371.3344,31238.1131,655.5243,32519.6545,174618.7772
Training.gain.without.precipitation_of_wettest_quarter.1,204388.4108,745.6918,73243.0837,65730.8183,16516.5028,678.0369,1254.8418,767.434,807.0007,454.361,36458.6182
Training.gain.without.precipitation_of_wettest_quarter.2,165657.5521,21057.1088,49800.9566,620.6376,62369.1035,18436.2918,3636.0466,200584.7669,41702.5074,1273.2106,56513.8182
Training.gain.without.precipitation_of_wettest_quarter.3,6.4597,4.4534,5.2055,5.451,5.4625,6.1142,5.3921,7.1161,5.1301,6.2001,5.6985
Training.gain.without.precipitation_of_wettest_quarter.4,4747929.3689,450.5679,669545.2669,11073.5576,52097.5216,1114142.8962,52007.9396,718.8785,1397919.6568,24154.5782,807004.0232
Training.gain.without.savannas,351.9606,431.3516,23760.1573,906.7296,689.2287,1138.806,101176.6142,1652.5511,248.2866,642.1238,13099.781
Training.gain.without.snow_ice,4955.941,26459.6305,5464008.6959,13535.9239,10119.7557,16286.0559,7624578.0412,16549.5483,392633.1518,750.5991,1356987.7343
Training.gain.without.urban_areas,2.4497,2.4085,2.439,2.4421,2.4329,2.4087,2.4075,2.4498,2.4505,2.4343,2.4323
Training.gain.without.wetlands,64276.7039,45801.0079,54594.3024,3386795.7412,901031.7887,332241.4553,100599.4194,11431.3871,387.0385,424.4669,489758.3311
Training.gain.without.woody_savannas,1460.513,677.0076,12166.71,85642.11,526.2831,23093.88,513181.1,360470.6,29670010,812.8138,3066804
Training.gain.with.only.barren_vegetation,0.4564,0.4573,0.456,0.4566,0.4576,0.4555,0.4579,0.4579,0.4575,0.4578,0.4571
Training.gain.with.only.closed_shrubland,0.0031,0.0037,0.0036,0.0031,0.0028,0.0047,0.0044,0.0048,0.0038,0.0043,0.0038
Training.gain.with.only.croplands,0.6345,0.6356,0.6466,0.6398,0.6385,0.6387,0.644,0.6342,0.6485,0.6477,0.6408
Training.gain.with.only.deciduous_broadleaf_forest,0.0399,0.0468,0.0445,0.0454,0.0484,0.0471,0.0432,0.0423,0.0429,0.0417,0.0442
Training.gain.with.only.deciduous_needleleaf_forest,0.0249,0.0238,0.0238,0.0243,0.0235,0.024,0.023,0.0248,0.0234,0.0258,0.0241
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.2995,0.299,0.2933,0.2943,0.2901,0.2922,0.3063,0.2942,0.2986,0.2997,0.2967
Training.gain.with.only.grasslands,0.0958,0.0926,0.0937,0.0917,0.0943,0.0961,0.0969,0.0942,0.0968,0.0952,0.0947
Training.gain.with.only.mixed_forests,0.8228,0.8186,0.817,0.8255,0.8213,0.8215,0.8313,0.815,0.8199,0.8095,0.8202
Training.gain.with.only.open_shrublands,0.1008,0.0977,0.0985,0.1014,0.0993,0.0964,0.0961,0.097,0.0979,0.0984,0.0984
Training.gain.with.only.precipitation_of_wettest_quarter.1,0.9497,0.9429,0.9567,0.9358,0.9502,0.9347,0.9434,0.9382,0.9443,0.9427,0.9439
Training.gain.with.only.precipitation_of_wettest_quarter.2,0.9095,0.9045,0.9058,0.9141,0.9114,0.9003,0.8932,0.9101,0.9083,0.893,0.905
Training.gain.with.only.precipitation_of_wettest_quarter.3,0.9966,0.9758,0.9801,0.9962,0.9946,0.9824,0.9716,1.0021,0.9855,0.9854,0.987
