,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,682,682,682,682,682,682,682,682,682,682,682
Regularized.training.gain,2.0394,2.0759,2.0094,2.0743,2.0688,2.0205,2.0951,2.0814,2.0496,1.9982,2.0513
Unregularized.training.gain,2.249,2.2802,2.2069,2.2615,2.2661,2.1978,2.2966,2.2914,2.2409,2.1941,2.2484
Iterations,1880,1820,2060,1460,1520,1500,1600,1640,1520,1280,1628
Training.AUC,0.9539,0.9562,0.9525,0.9549,0.9557,0.9523,0.9562,0.9552,0.953,0.953,0.9543
X.Test.samples,170,170,170,170,170,170,170,170,170,170,170
Test.gain,2.1182,1.9565,2.2546,1.9852,2.0142,2.1723,1.8964,1.9729,2.0779,2.2801,2.0728
Test.AUC,0.9507,0.9406,0.957,0.9445,0.9422,0.9542,0.939,0.9446,0.9522,0.9552,0.948
AUC.Standard.Deviation,0.0054,0.0068,0.0043,0.006,0.0062,0.0047,0.0064,0.0057,0.0046,0.0057,0.0056
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,0.1558,6.4269,12.2475,8.8537,10.2707,10.2268,10.1955,12.0223,13.8362,16.7383,10.0974
closed_shrubland.contribution,0.3128,0.3071,0.2692,0.1632,0.2181,0.1687,0.2214,0.154,0.1217,0.1272,0.2063
croplands.contribution,9.031,10.2309,6.9579,10.7723,11.6067,12.4501,11.7641,11.5735,14.0969,11.4396,10.9923
deciduous_broadleaf_forest.contribution,4.0932,3.6174,3.4134,3.235,2.7644,2.5098,2.2968,2.3229,2.286,2.2995,2.8838
deciduous_needleleaf_forest.contribution,0.085,0.1484,0.1475,0.2046,0.2255,0.1981,0.1607,0.1855,0.2067,0.1867,0.1749
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.8737,0.7956,0.7991,1.087,0.8075,0.7658,0.9334,0.9296,0.8245,0.9164,0.8733
grasslands.contribution,0.8027,2.0588,2.6993,3.0607,3.0933,3.109,3.1014,3.2422,3.9066,4.3576,2.9432
mixed_forests.contribution,38.8217,38.1507,32.982,32.01,33.053,33.977,30.6679,29.6872,28.1379,26.4563,32.3944
open_shrublands.contribution,2.7658,4.0405,3.8965,4.1397,2.3684,2.2021,2.4039,2.2667,1.8952,2.4682,2.8447
precipitation_of_wettest_quarter.1.contribution,7.6147,7.6155,7.1853,7.0186,6.4099,5.1502,5.5892,5.365,4.9255,4.2937,6.1168
precipitation_of_wettest_quarter.2.contribution,5.5659,9.4973,7.5235,10.5642,10.6475,8.9134,9.3377,8.8831,9.0285,7.9042,8.7865
precipitation_of_wettest_quarter.3.contribution,13.0138,2.0803,2.6419,2.089,2.085,2.4433,2.4107,2.4083,2.7784,3.1191,3.507
precipitation_of_wettest_quarter.4.contribution,0.5825,0.384,0.8967,0.962,0.6049,0.6872,1.8824,1.7017,1.5969,1.3482,1.0646
savannas.contribution,0.1119,0.165,0.0587,0.0871,0.0546,0.0458,0.1424,0.0986,0.0756,0.1066,0.0946
snow_ice.contribution,0.2827,0.3619,0.2707,0.2319,0.2527,0.2236,0.2367,0.2457,0.2206,0.1796,0.2506
urban_areas.contribution,13.8269,12.4272,15.6342,13.6418,13.6515,14.6487,16.6389,16.7989,14.1542,15.6966,14.7119
wetlands.contribution,1.4382,0.7851,1.026,0.594,0.5783,0.8224,0.6027,0.6617,0.5671,0.594,0.767
woody_savannas.contribution,0.6218,0.9073,1.3508,1.2852,1.308,1.458,1.4143,1.4532,1.3417,1.7682,1.2909
barren_vegetation.permutation.importance,0.224,0.4356,0.5892,0.4942,0.2336,0.2175,0.9454,0.7201,0.2675,0.5989,0.4726
closed_shrubland.permutation.importance,0.0412,0.0537,0.0863,0.0306,0.0756,0.0316,0.1018,0.066,0.0555,0.0394,0.0582
croplands.permutation.importance,3.2952,3.7999,4.6774,3.7726,3.8551,3.7517,4.0004,3.4228,3.5993,4.253,3.8427
deciduous_broadleaf_forest.permutation.importance,2.0162,2.035,2.1756,2.4769,1.7764,2.3011,1.9152,1.943,1.8912,1.8474,2.0378
deciduous_needleleaf_forest.permutation.importance,0.1113,0,0,0.0311,0.1094,0,0.0646,0,0,0.0222,0.0339
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
