,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694
Regularized.training.gain,2.5494,2.5608,2.5448,2.6169,2.5709,2.568,2.5687,2.5831,2.5565,2.5619,2.5681
Unregularized.training.gain,2.8437,2.8592,2.8286,2.9437,2.8564,2.8727,2.8554,2.8653,2.8647,2.8496,2.8639
Iterations,2720,3500,2660,3140,3200,2580,2780,2780,3180,2660,2920
Training.AUC,0.9599,0.9605,0.9602,0.9607,0.9599,0.9593,0.9617,0.9603,0.9593,0.9599,0.9602
X.Test.samples,423,423,423,423,423,423,423,423,423,423,423
Test.gain,2.9066,2.8801,2.9078,2.6731,2.822,2.8485,2.8401,2.7578,2.9061,2.8565,2.8399
Test.AUC,0.961,0.9597,0.9602,0.9554,0.9593,0.9596,0.9541,0.9573,0.961,0.9613,0.9589
AUC.Standard.Deviation,0.0032,0.0032,0.0032,0.0034,0.003,0.0029,0.0038,0.0034,0.003,0.0031,0.0032
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,15.7712,15.1673,14.8381,13.6578,13.3557,12.8657,11.7471,12.0566,11.9543,12.0263,13.344
annual_precipitation.contribution,33.4226,33.1773,31.0852,29.2311,27.3909,27.7122,27.8446,26.6401,26.343,25.4286,28.8276
barren_vegetation.contribution,0.356,0.3477,0.3254,0.2961,0.2764,0.2623,0.383,0.369,0.3743,0.3465,0.3337
closed_shrubland.contribution,0,0,0,0,0,0,0,0,0,0,0
croplands.contribution,0.3005,0.7701,1.0243,1.0335,1.1098,1.3193,1.4914,1.5332,1.8383,1.9887,1.2409
deciduous_broadleaf_forest.contribution,0.8852,0.7022,0.8416,0.6919,0.8385,0.7768,0.7529,0.7807,0.6712,0.6898,0.7631
deciduous_needleleaf_forest.contribution,0.3375,0.2215,0.1261,0.3383,0.2085,0.1549,0.2636,0.1781,0.1165,0.2384,0.2183
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,2.5882,3.2517,3.2131,3.6737,3.9276,3.5999,3.9193,3.7349,3.9466,4.2556,3.6111
grasslands.contribution,2.8263,3.1838,4.0862,3.9703,4.3443,4.2876,4.9348,5.5217,5.2964,5.5614,4.4013
mixed_forests.contribution,1.2055,1.3041,2.5125,2.1176,1.9129,2.7607,2.3972,2.9265,2.8034,2.4689,2.2409
open_shrublands.contribution,0.9569,0.9622,0.3036,0.6622,0.5231,0.5561,0.7913,0.5243,0.4288,0.859,0.6567
precipitation_seasonality.contribution,2.0019,2.0919,2.0365,3.4447,3.6542,3.2613,2.8801,3.1538,3.0497,3.769,2.9343
savannas.contribution,0.0178,0.0012,0.0072,0.0073,0.0194,0.0013,0.0082,9e-04,0.0068,1e-04,0.007
snow_ice.contribution,0.5107,0.4099,0.3469,0.4808,0.3591,0.3345,0.4815,0.4873,0.2565,0.4245,0.4092
temperature_seasonality.contribution,30.7598,27.6764,28.7262,29.0879,28.1301,26.7061,27.0241,25.6366,24.9636,24.0034,27.2714
urban_areas.contribution,7.8698,10.3908,10.1203,10.8795,13.4469,14.8936,14.4807,15.8136,17.2562,17.2649,13.2416
wetlands.contribution,0.0689,0.1102,0.1608,0.1431,0.1311,0.1355,0.1474,0.1825,0.188,0.1509,0.1418
woody_savannas.contribution,0.1213,0.2318,0.2459,0.284,0.3714,0.3722,0.4526,0.4601,0.5065,0.5241,0.357
annual_mean_temperature.permutation.importance,52.3521,52.5547,50.6842,51.6582,51.7509,52.4862,51.5402,51.7738,50.7866,52.3649,51.7952
annual_precipitation.permutation.importance,2.5961,2.3319,2.7682,2.4667,2.8737,2.3183,2.8748,2.3709,3.2604,2.3004,2.6161
barren_vegetation.permutation.importance,1.4826,1.8412,2.1464,1.8883,1.813,1.5318,1.3499,1.5949,1.6846,1.8873,1.722
closed_shrubland.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
croplands.permutation.importance,2.8167,3.1863,2.4587,3.2957,2.6903,2.1652,2.6749,2.5349,2.6171,2.8173,2.7257
deciduous_broadleaf_forest.permutation.importance,0.5738,0.6086,0.5149,0.6244,0.5742,0.6517,0.6301,0.6552,0.6253,0.5638,0.6022
deciduous_needleleaf_forest.permutation.importance,0.0864,0.036,0.0459,0.0652,0.0528,0.0428,0.0639,0.0565,0.0172,0.0895,0.0556
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,0.8689,0.8053,0.8995,0.7022,0.9159,0.7132,0.9461,0.9238,0.835,0.7061,0.8316
grasslands.permutation.importance,6.8943,7.0052,6.9951,6.8421,6.1726,6.3583,6.4346,6.7139,6.2652,6.5854,6.6267
mixed_forests.permutation.importance,1.6714,1.6293,1.6091,1.9252,1.6537,1.0278,1.2658,1.3536,1.4304,1.5814,1.5148
open_shrublands.permutation.importance,0.8084,0.6723,1.0093,0.8008,0.6797,0.8058,0.8192,0.8911,1.1305,0.8205,0.8438
precipitation_seasonality.permutation.importance,6.263,6.5176,5.4804,6.3585,6.9702,7.4768,5.9067,6.5405,6.7596,5.5222,6.3796
