,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,443,443,443,443,443,443,443,443,443,443,443
Regularized.training.gain,345302900,3850825,257560.2,6337756,11317370,2236.845,80631.72,3160822,80407010,1539.699,45071860
Unregularized.training.gain,988361300,30546630,536332,13864940,85975620,15911.6,226072.5,13683290,542992900,3448.669,167620600
Iterations,700,2040,940,460,2040,10000,2380,5340,1840,10000,3574
Training.AUC,0.5067,0.5056,0.551,0.509,0.5045,0.9759,0.505,0.5056,0.9745,0.9443,0.6482
X.Test.samples,110,110,110,110,110,110,110,110,110,110,110
Test.gain,1844817000,118282300,147262.2,-2032346,330085700,59644.2,322921.9,40003390,2005929000,2670.323,433761700
Test.AUC,0.5045,0.509,0.5575,0.5,0.5136,0.972,0.5176,0.509,0.9697,0.9471,0.65
AUC.Standard.Deviation,0.0045,0.0064,0.0176,0,0.0078,0.005,0.0089,0.0064,0.0084,0.0114,0.0076
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,19.7265,30.8567,14.517,15.4079,26.9982,16.8313,15.0175,31.3957,20.467,31.62,22.2838
closed_shrubland.contribution,0,0,0,0,0,3e-04,0,0,0,0.0451,0.0045
croplands.contribution,0,3e-04,0.2465,2.4512,0,0.0052,2.7288,0,0,1.1054,0.6537
deciduous_broadleaf_forest.contribution,0,0,0,0,0,0.0014,0,0,0,0.048,0.0049
deciduous_needleleaf_forest.contribution,0,0,0,0,0,1e-04,0,0,0,0.0354,0.0036
evergreen_broadleaf_forest.contribution,0,0,0,0,0,7e-04,0,0,0,0.0027,3e-04
evergreen_needleleaf_forest.contribution,0,0,0.0437,0.3117,0,0.0105,0.7842,0,0,2.7487,0.3899
grasslands.contribution,0,0,13.4927,0.3486,0.0011,6.0785,7.2285,0.004,2e-04,12.9979,4.0152
mixed_forests.contribution,0,0,0.348,3e-04,2e-04,1.0034,1.4793,7e-04,0,2.5118,0.5344
